"","crosstype","yearcross","flat","row","posi","varb","resp","id","root"
"1.lds1","Wr","2000","3","11",-0.324999999999999,"lds1",1,1,1
"2.lds1","Wr","2000","1","12",-0.344999999999999,"lds1",1,2,1
"3.lds1","Wr","2000","2","10",-0.154999999999999,"lds1",1,3,1
"4.lds1","Wr","2000","3","12",0.275,"lds1",1,4,1
"5.lds1","Br","2000","1","11",0.0250000000000004,"lds1",1,5,1
"6.lds1","Br","2000","1","12",0.120000000000001,"lds1",1,6,1
"7.lds1","Br","2000","2","10",0.205,"lds1",1,7,1
"8.lds1","Br","2000","2","12",-0.194999999999999,"lds1",1,8,1
"9.lds1","Br","2000","2","13",-0.324999999999999,"lds1",1,9,1
"10.lds1","Br","2000","3","13",-0.129999999999999,"lds1",1,10,1
"11.lds1","Br","2000","3","13",-0.145,"lds1",1,11,1
"12.lds1","Br","2000","1","11",-0.299999999999999,"lds1",1,12,1
"13.lds1","Br","2000","2","12",-0.25,"lds1",1,13,1
"14.lds1","Br","2000","1","11",-0.114999999999998,"lds1",1,14,1
"15.lds1","Br","2000","3","12",0.100000000000001,"lds1",1,15,1
"16.lds1","Br","2000","2","0",0,"lds1",1,16,1
"17.lds1","Br","2000","2","11",-0.315,"lds1",1,17,1
"18.lds1","Br","2000","3","13",0.0150000000000006,"lds1",1,18,1
"19.lds1","Br","2000","1","11",-0.274999999999999,"lds1",1,19,1
"20.lds1","Br","2000","3","10",0.23,"lds1",1,20,1
"21.lds1","Wi","2000","2","13",0.34,"lds1",1,21,1
"22.lds1","Wi","2000","1","12",0.105,"lds1",1,22,1
"23.lds1","Wi","2000","1","10",-0.285,"lds1",1,23,1
"24.lds1","Wi","2000","3","10",0.265000000000001,"lds1",1,24,1
"25.lds1","Wi","2000","1","12",0.335000000000001,"lds1",1,25,1
"26.lds1","Wi","2000","2","13",0.360000000000001,"lds1",1,26,1
"27.lds1","Wi","2000","1","10",-0.0599999999999987,"lds1",1,27,1
"28.lds1","Wi","2000","1","12",-0.129999999999999,"lds1",1,28,1
"29.lds1","Wi","2000","2","13",0.365,"lds1",1,29,1
"30.lds1","Wi","2000","2","11",-0.0249999999999986,"lds1",1,30,1
"31.lds1","Wi","2000","1","10",0.0950000000000006,"lds1",1,31,1
"32.lds1","Wi","2000","3","12",0.0850000000000009,"lds1",1,32,1
"33.lds1","Br","2000","3","10",-0.119999999999999,"lds1",1,33,1
"34.lds1","Br","2000","1","10",0.220000000000001,"lds1",1,34,1
"35.lds1","Br","2000","2","10",0,"lds1",1,35,1
"36.lds1","Br","2000","2","13",0.155000000000001,"lds1",1,36,1
"37.lds1","Br","2000","3","13",-0.119999999999999,"lds1",1,37,1
"38.lds1","Wi","2000","1","10",-0.135,"lds1",1,38,1
"39.lds1","Wi","2000","1","11",-0.34,"lds1",1,39,1
"40.lds1","Wi","2000","1","10",-0.0549999999999997,"lds1",1,40,1
"41.lds1","Wi","2000","1","12",0.265000000000001,"lds1",1,41,1
"42.lds1","Br","2000","3","11",0.0600000000000005,"lds1",1,42,1
"43.lds1","Br","2000","2","10",0.105,"lds1",1,43,1
"44.lds1","Br","2000","1","10",-0.0649999999999995,"lds1",1,44,1
"45.lds1","Br","2000","3","12",-0.35,"lds1",1,45,1
"46.lds1","Wr","2000","1","12",0.285,"lds1",1,46,1
"47.lds1","Wr","2000","1","13",0.115,"lds1",1,47,1
"48.lds1","Wr","2000","1","13",-0.194999999999999,"lds1",1,48,1
"49.lds1","Wr","2000","1","13",0.15,"lds1",1,49,1
"50.lds1","Wr","2000","3","0",0,"lds1",1,50,1
"51.lds1","Br","2000","1","12",-0.324999999999999,"lds1",1,51,1
"52.lds1","Br","2000","2","10",0.17,"lds1",1,52,1
"53.lds1","Br","2000","2","13",0.00500000000000078,"lds1",1,53,1
"54.lds1","Br","2000","2","0",0,"lds1",0,54,1
"55.lds1","Wi","2000","2","12",0.34,"lds1",1,55,1
"56.lds1","Wi","2000","1","13",0.335000000000001,"lds1",1,56,1
"57.lds1","Wi","2000","2","11",0.195,"lds1",1,57,1
"58.lds1","Wi","2000","2","0",0,"lds1",0,58,1
"59.lds1","Wi","2000","2","11",-0.0899999999999999,"lds1",1,59,1
"60.lds1","Wi","2000","3","11",0.100000000000001,"lds1",1,60,1
"61.lds1","Wi","2000","1","11",-0.0999999999999996,"lds1",1,61,1
"62.lds1","Wi","2000","1","0",0,"lds1",0,62,1
"63.lds1","Wi","2000","1","11",-0.135,"lds1",1,63,1
"64.lds1","Wi","2000","2","13",-0.289999999999999,"lds1",1,64,1
"65.lds1","Wi","2000","3","10",0.195,"lds1",1,65,1
"66.lds1","Br","2000","2","11",0,"lds1",1,66,1
"67.lds1","Br","2000","2","0",0,"lds1",0,67,1
"68.lds1","Br","2000","3","12",0.115,"lds1",1,68,1
"69.lds1","Wi","2000","1","11",-0.109999999999999,"lds1",1,69,1
"70.lds1","Wi","2000","2","11",-0.209999999999999,"lds1",1,70,1
"71.lds1","Wi","2000","1","0",0,"lds1",1,71,1
"72.lds1","Wi","2000","1","10",0.155000000000001,"lds1",1,72,1
"73.lds1","Wi","2000","2","0",0,"lds1",1,73,1
"74.lds1","Wi","2000","1","0",0,"lds1",0,74,1
"75.lds1","Br","2000","2","10",0.100000000000001,"lds1",1,75,1
"76.lds1","Br","2000","2","10",-0.324999999999999,"lds1",1,76,1
"77.lds1","Br","2000","2","11",0.00500000000000078,"lds1",1,77,1
"78.lds1","Br","2000","1","13",-0.0499999999999989,"lds1",1,78,1
"79.lds1","Br","2000","3","12",0.0600000000000005,"lds1",1,79,1
"80.lds1","Br","2000","3","11",-0.174999999999999,"lds1",1,80,1
"81.lds1","Wr","2000","3","12",-0.229999999999999,"lds1",1,81,1
"82.lds1","Wr","2000","2","13",-0.18,"lds1",1,82,1
"83.lds1","Wr","2000","1","12",0.185,"lds1",1,83,1
"84.lds1","Wr","2000","1","0",0,"lds1",1,84,1
"85.lds1","Wr","2000","1","11",0.0500000000000007,"lds1",1,85,1
"86.lds1","Br","2000","2","12",-0.0899999999999999,"lds1",1,86,1
"87.lds1","Br","2000","2","0",0,"lds1",0,87,1
"88.lds1","Br","2000","1","13",-0.0149999999999988,"lds1",1,88,1
"89.lds1","Br","2000","2","13",-0.219999999999999,"lds1",1,89,1
"90.lds1","Wi","2000","2","12",-0.289999999999999,"lds1",1,90,1
"91.lds1","Wi","2000","2","0",0,"lds1",0,91,1
"92.lds1","Br","2000","1","13",0.105,"lds1",1,92,1
