"","Plant.id","Env","Gen","Fam","Site","Year","varb","resp","id","root","fit"
"1.Surv","S031424","SF 2003","M","M.686","SF","2003","Surv",0,1,1,0
"2.Surv","S031372","SF 2003","M","M.286","SF","2003","Surv",1,2,1,0
"3.Surv","S031236","SF 2003","M","M.2084","SF","2003","Surv",1,3,1,0
"4.Surv","S031417","SF 2003","M","M.286","SF","2003","Surv",1,4,1,0
"5.Surv","S031676","SF 2003","M","M.686","SF","2003","Surv",1,5,1,0
"6.Surv","S031512","SF 2003","M","M.286","SF","2003","Surv",1,6,1,0
"7.Surv","S031235","SF 2003","M","M.1086","SF","2003","Surv",1,7,1,0
"8.Surv","S031542","SF 2003","M","M.686","SF","2003","Surv",1,8,1,0
"9.Surv","S031363","SF 2003","M","M.686","SF","2003","Surv",1,9,1,0
"10.Surv","S031513","SF 2003","M","M.289","SF","2003","Surv",1,10,1,0
"11.Surv","S031552","SF 2003","M","M.389","SF","2003","Surv",1,11,1,0
"12.Surv","S031572","SF 2003","M","M.389","SF","2003","Surv",1,12,1,0
"13.Surv","S031616","SF 2003","M","M.1086","SF","2003","Surv",1,13,1,0
"14.Surv","S031713","SF 2003","M","M.686","SF","2003","Surv",1,14,1,0
"15.Surv","S031133","SF 2003","M","M.686","SF","2003","Surv",1,15,1,0
"16.Surv","S031123","SF 2003","M","M.2084","SF","2003","Surv",1,16,1,0
"17.Surv","S031175","SF 2003","M","M.286","SF","2003","Surv",1,17,1,0
"18.Surv","S031723","SF 2003","M","M.289","SF","2003","Surv",1,18,1,0
"19.Surv","S031471","SF 2003","X","X.589","SF","2003","Surv",0,19,1,0
"20.Surv","S031377","SF 2003","X","X.287","SF","2003","Surv",1,20,1,0
"21.Surv","S031224","SF 2003","X","X.187","SF","2003","Surv",1,21,1,0
"22.Surv","S031312","SF 2003","X","X.189","SF","2003","Surv",1,22,1,0
"23.Surv","S031464","SF 2003","X","X.489","SF","2003","Surv",1,23,1,0
"24.Surv","S031452","SF 2003","X","X.189","SF","2003","Surv",1,24,1,0
"25.Surv","S031547","SF 2003","X","X.589","SF","2003","Surv",1,25,1,0
"26.Surv","S031772","SF 2003","X","X.589","SF","2003","Surv",1,26,1,0
"27.Surv","S031454","SF 2003","X","X.187","SF","2003","Surv",1,27,1,0
"28.Surv","S031443","SF 2003","X","X.287","SF","2003","Surv",1,28,1,0
"29.Surv","S031161","SF 2003","X","X.489","SF","2003","Surv",1,29,1,0
"30.Surv","S031567","SF 2003","X","X.287","SF","2003","Surv",1,30,1,0
"31.Surv","S031543","SF 2003","X","X.489","SF","2003","Surv",1,31,1,0
"32.Surv","S031371","SF 2003","X","X.187","SF","2003","Surv",1,32,1,0
"33.Surv","S031725","SF 2003","X","X.189","SF","2003","Surv",1,33,1,0
"34.Surv","S031111","SF 2003","X","X.589","SF","2003","Surv",1,34,1,0
"35.Surv","S031737","SF 2003","X","X.189","SF","2003","Surv",1,35,1,0
"36.Surv","S032362","SF 2003","M","M.286","SF","2003","Surv",0,36,1,0
"37.Surv","S032446","SF 2003","M","M.1086","SF","2003","Surv",1,37,1,0
"38.Surv","S032224","SF 2003","M","M.389","SF","2003","Surv",1,38,1,0
"39.Surv","S032727","SF 2003","M","M.289","SF","2003","Surv",1,39,1,0
"40.Surv","S032234","SF 2003","M","M.389","SF","2003","Surv",1,40,1,0
"41.Surv","S032175","SF 2003","M","M.1086","SF","2003","Surv",1,41,1,0
"42.Surv","S032731","SF 2003","M","M.286","SF","2003","Surv",1,42,1,0
