"","SIRE","DAM","POP","SITE","ROW","BLK","varb","resp","id","root","fit"
"1.fecund","3030","3149","3","M",1,"1","fecund",1,1,1,0
"2.fecund","3136","3119","3","M",1,"1","fecund",1,2,1,0
"3.fecund","3004","3190","3","M",1,"1","fecund",1,3,1,0
"4.fecund","1129","1086","1","M",1,"1","fecund",1,4,1,0
"5.fecund","3175","3008","3","M",1,"1","fecund",1,5,1,0
"6.fecund","1145","1096","1","M",1,"1","fecund",1,6,1,0
"7.fecund","2178","2145","2","M",1,"1","fecund",1,7,1,0
"8.fecund","1065","1031","1","M",1,"1","fecund",1,8,1,0
"9.fecund","2192","2103","2","M",1,"1","fecund",1,9,1,0
"10.fecund","1107","1068","1","M",1,"1","fecund",1,10,1,0
"11.fecund","2224","2206","2","M",1,"1","fecund",1,11,1,0
"12.fecund","2214","2203","2","M",1,"1","fecund",1,12,1,0
"13.fecund","2173","2052","2","M",1,"1","fecund",1,13,1,0
"14.fecund","3199","3047","3","M",1,"1","fecund",0,14,1,0
"15.fecund","1084","1043","1","M",1,"1","fecund",1,15,1,0
"16.fecund","1073","1136","1","M",1,"1","fecund",1,16,1,0
"17.fecund","2079","2219","2","M",1,"1","fecund",1,17,1,0
"18.fecund","2084","2181","2","M",1,"1","fecund",1,18,1,0
"19.fecund","3084","3088","3","M",1,"1","fecund",1,19,1,0
"20.fecund","1045","1176","1","M",1,"1","fecund",1,20,1,0
"21.fecund","2003","2099","2","M",1,"1","fecund",1,21,1,0
"22.fecund","3037","3013","3","M",1,"1","fecund",1,22,1,0
"23.fecund","1146","1112","1","M",1,"1","fecund",1,23,1,0
"24.fecund","2215","2189","2","M",1,"1","fecund",1,24,1,0
"25.fecund","3046","3135","3","M",1,"1","fecund",1,25,1,0
"26.fecund","2049","2078","2","M",1,"1","fecund",1,26,1,0
"27.fecund","1120","1017","1","M",1,"1","fecund",1,27,1,0
"28.fecund","3005","3171","3","M",1,"1","fecund",1,28,1,0
"29.fecund","1082","1167","1","M",1,"1","fecund",1,29,1,0
"30.fecund","1042","1014","1","M",1,"1","fecund",1,30,1,0
"31.fecund","2196","2220","2","M",1,"1","fecund",1,31,1,0
"32.fecund","1071","1162","1","M",1,"1","fecund",1,32,1,0
"33.fecund","2151","2213","2","M",1,"1","fecund",1,33,1,0
"34.fecund","1134","1050","1","M",1,"1","fecund",1,34,1,0
"35.fecund","1127","1135","1","M",1,"1","fecund",1,35,1,0
"36.fecund","2024","2067","2","M",1,"1","fecund",1,36,1,0
"37.fecund","1122","1113","1","M",1,"1","fecund",1,37,1,0
"38.fecund","3187","3071","3","M",1,"1","fecund",1,38,1,0
"39.fecund","2204","2135","2","M",1,"1","fecund",1,39,1,0
"40.fecund","3070","3105","3","M",1,"1","fecund",1,40,1,0
"41.fecund","2192","2053","2","M",1,"1","fecund",1,41,1,0
"42.fecund","3151","3200","3","M",1,"1","fecund",1,42,1,0
"43.fecund","3128","3019","3","M",1,"1","fecund",1,43,1,0
"44.fecund","3007","3131","3","M",1,"1","fecund",1,44,1,0
"45.fecund","3084","3088","3","M",1,"1","fecund",1,45,1,0
"46.fecund","1160","1194","1","M",1,"1","fecund",1,46,1,0
"47.fecund","2117","2119","2","M",2,"1","fecund",1,47,1,0
"48.fecund","2195","2057","2","M",2,"1","fecund",1,48,1,0
"49.fecund","2082","2070","2","M",2,"1","fecund",1,49,1,0
"50.fecund","2003","2099","2","M",2,"1","fecund",1,50,1,0
"51.fecund","1039","1164","1","M",2,"1","fecund",1,51,1,0
"52.fecund","1071","1162","1","M",2,"1","fecund",1,52,1,0
"53.fecund","2191","2182","2","M",2,"1","fecund",1,53,1,0
"54.fecund","3104","3068","3","M",2,"1","fecund",1,54,1,0
"55.fecund","1082","1011","1","M",2,"1","fecund",1,55,1,0
"56.fecund","2024","2067","2","M",2,"1","fecund",1,56,1,0
"57.fecund","2016","2152","2","M",2,"1","fecund",1,57,1,0
"58.fecund","2150","2223","2","M",2,"1","fecund",1,58,1,0
"59.fecund","3016","3024","3","M",2,"1","fecund",1,59,1,0
"60.fecund","3128","3085","3","M",2,"1","fecund",1,60,1,0
"61.fecund","1084","1038","1","M",2,"1","fecund",1,61,1,0
"62.fecund","2020","2164","2","M",2,"1","fecund",1,62,1,0
"63.fecund","2172","2080","2","M",2,"1","fecund",1,63,1,0
"64.fecund","2087","2025","2","M",2,"1","fecund",1,64,1,0
"65.fecund","1022","1151","1","M",2,"1","fecund",1,65,1,0
"66.fecund","2094","2036","2","M",2,"1","fecund",1,66,1,0
"67.fecund","2003","2130","2","M",2,"1","fecund",1,67,1,0
"68.fecund","3003","3117","3","M",2,"1","fecund",1,68,1,0
