"","hdct02","hdct03","hdct04","pop","ewloc","nsloc","ld02","fl02","ld03","fl03","ld04","fl04"
"1",0,0,0,"NWLF",-8,-11,0,0,0,0,0,0
"2",0,0,0,"Eriley",-8,-10,1,0,1,0,1,0
"3",0,0,0,"NWLF",-8,-9,0,0,0,0,0,0
"4",0,0,0,"SPP",-8,-8,0,0,0,0,0,0
"5",0,0,0,"SPP",-8,-7,0,0,0,0,0,0
"6",0,0,1,"Eriley",-8,-6,1,0,1,0,1,1
"7",0,0,0,"Eriley",-8,-5,0,0,0,0,0,0
"8",0,0,1,"Stevens",-8,-4,1,0,1,0,1,1
"9",0,0,0,"Stevens",-8,-3,1,0,1,0,1,0
"10",0,0,0,"NWLF",-8,-1,0,0,0,0,0,0
"11",0,0,0,"Stevens",-8,0,0,0,0,0,0,0
"12",0,0,0,"NWLF",-8,1,0,0,0,0,0,0
"13",0,0,0,"NWLF",-8,2,1,0,1,0,1,0
"14",0,0,1,"Lf",-8,3,1,0,1,0,1,1
"15",0,0,0,"AA",-8,4,1,0,1,0,1,0
"16",4,0,3,"SPP",-8,5,1,1,1,0,1,1
"17",0,0,0,"NWLF",-8,6,1,0,1,0,1,0
"18",1,1,2,"SPP",-8,7,1,1,1,1,1,1
"19",1,1,2,"Stevens",-8,8,1,1,1,1,1,1
"20",0,0,0,"Stevens",-8,9,0,0,0,0,0,0
"21",0,2,3,"NWLF",-8,10,1,0,1,1,1,1
"22",0,0,0,"NWLF",-8,11,0,0,0,0,0,0
"23",0,0,0,"Nessman",-3,-12,0,0,0,0,0,0
"24",1,0,2,"Eriley",-3,-11,1,1,1,0,1,1
"25",0,0,0,"Lf",-3,-10,0,0,0,0,0,0
"26",0,0,0,"Eriley",-3,-9,0,0,0,0,0,0
"27",2,0,0,"Nessman",-3,-8,1,1,1,0,1,0
"28",0,0,0,"Lf",-3,-7,0,0,0,0,0,0
"29",0,0,0,"AA",-3,-6,0,0,0,0,0,0
"30",0,0,0,"SPP",-3,-5,0,0,0,0,0,0
"31",0,0,0,"Lf",-3,-4,0,0,0,0,0,0
"32",0,0,0,"SPP",-3,-3,1,0,1,0,1,0
"33",1,0,0,"Eriley",-3,-2,1,1,1,0,1,0
"34",0,0,0,"Eriley",-3,-1,1,0,1,0,1,0
"35",3,0,7,"Lf",-3,0,1,1,1,0,1,1
"36",2,1,7,"Lf",-3,1,1,1,1,1,1,1
"37",0,0,0,"Eriley",-3,2,0,0,0,0,0,0
"38",0,2,0,"Lf",-3,3,1,0,1,1,1,0
"39",1,4,3,"SPP",-3,4,1,1,1,1,1,1
"40",1,0,0,"Lf",-3,5,1,1,1,0,1,0
"41",3,2,3,"SPP",-3,6,1,1,1,1,1,1
"42",2,4,4,"SPP",-3,7,1,1,1,1,1,1
"43",2,1,3,"Lf",-3,8,1,1,1,1,1,1
"44",1,0,4,"Eriley",-3,9,1,1,1,0,1,1
"45",2,4,2,"AA",-3,10,1,1,1,1,1,1
"46",1,3,0,"Eriley",-3,11,1,1,1,1,1,0
"47",1,0,1,"Lf",-3,12,1,1,1,0,1,1
"48",0,0,0,"SPP",1,-12,1,0,1,0,1,0
"49",0,0,1,"NWLF",1,-11,1,0,1,0,1,1
"50",0,0,0,"NWLF",1,-10,1,0,1,0,1,0
"51",0,0,0,"Stevens",1,-9,1,0,1,0,1,0
"52",0,0,0,"Stevens",1,-8,1,0,0,0,0,0
"53",0,0,0,"Stevens",1,-7,1,0,0,0,0,0
"54",0,0,0,"NWLF",1,-6,0,0,0,0,0,0
"55",4,0,0,"NWLF",1,-5,1,1,1,0,1,0
"56",0,0,0,"Stevens",1,-4,0,0,0,0,0,0
"57",3,0,0,"AA",1,-3,1,1,0,0,0,0
"58",0,0,0,"NWLF",1,-2,0,0,0,0,0,0
"59",0,0,0,"NWLF",1,-1,0,0,0,0,0,0
"60",0,0,0,"NWLF",1,0,0,0,0,0,0,0
"61",3,3,3,"NWLF",1,1,1,1,1,1,1,1
