"","varb","resp","id","root","STG1N","LOGLVS","LOGSLA","BLK"
"1.fecund","fecund",0,1,1,1,2.33445375115093,-0.773335127897891,"1"
"2.fecund","fecund",0,2,1,1,2.40993312333129,-0.868611952433382,"1"
"3.fecund","fecund",0,3,1,2,2.56466606425209,-0.704602213052334,"1"
"4.fecund","fecund",1,4,1,3,2.17026171539496,-0.825769013959387,"1"
"5.fecund","fecund",0,5,1,2,1.67209785793572,-0.749856821983492,"1"
"6.fecund","fecund",1,6,1,3,2.32014628611105,-0.560560323909829,"1"
"7.fecund","fecund",0,7,1,1,2.45636603312904,-0.614798766323955,"1"
"8.fecund","fecund",1,8,1,3,2.47275644931721,-0.849412388960944,"1"
"9.fecund","fecund",0,9,1,1,2.43136376415899,-0.789367787146851,"1"
"10.fecund","fecund",1,10,1,3,2.62013605497376,-0.730522957816454,"1"
"11.fecund","fecund",1,11,1,1,2.0899051114394,-0.660379172641289,"1"
"12.fecund","fecund",1,12,1,1,2.71516735784846,-0.728812682803485,"1"
"13.fecund","fecund",1,13,1,1,2.79169064902012,-0.583849761188247,"1"
"14.fecund","fecund",0,14,1,2,1.39794000867204,-0.578120149812141,"1"
"15.fecund","fecund",1,15,1,3,2.16435285578444,-0.702152310728,"1"
"16.fecund","fecund",1,16,1,3,2.30319605742049,-0.746703488798427,"1"
"17.fecund","fecund",1,17,1,2,2.63848925695464,-0.762266098093477,"1"
"18.fecund","fecund",1,18,1,1,2.64640372622307,-0.714556208920444,"1"
"19.fecund","fecund",0,19,1,2,2.02530586526477,-0.765138896845329,"1"
"20.fecund","fecund",1,20,1,3,2.55630250076729,-0.656677848061856,"1"
"21.fecund","fecund",0,21,1,2,2.55870857053317,-0.598760223610149,"1"
"22.fecund","fecund",0,22,1,2,1.9912260756925,-0.613148963493575,"1"
"23.fecund","fecund",1,23,1,3,2.58433122436753,-0.71527164562018,"1"
"24.fecund","fecund",0,24,1,1,2.71933128698373,-0.711791727105407,"1"
