"","pref","citycode","population","total.W","life.W","industrial.W","RR","cityname"
"1","Gunma",10201,338981,1080.512548,797.5929402,282.9196078,15.70761473,"Maebashi-City"
"2","Gunma",10202,371915,1059.242266,793.2507641,265.9915021,13.85372958,"Takasaki-City"
"3","Gunma",10203,120330,1330.47144,830.1169961,500.3544442,9.773871491,"Kiryu-City"
"4","Gunma",10204,207182,1008.102324,809.6152413,198.4870829,10.29394451,"Isesaki-City"
"5","Gunma",10205,216781,1072.359723,749.8187022,322.5410208,20.20380099,"Oota-City"
"6","Gunma",10206,50723,1165.550511,901.8768929,263.6736183,15.56983085,"Numata-City"
"7","Gunma",10207,78085,1097.33998,820.4594195,276.8805607,20.93045502,"Tatebayashi-City"
"8","Gunma",10208,82587,1212.134566,892.9480625,319.1865032,13.78039794,"Shibukawa-City"
"9","Gunma",10209,67766,1144.528367,945.474696,199.0536705,13.146863,"Fujioka-City"
"10","Gunma",10210,51561,1029.498404,875.8790983,153.6193058,18.24171299,"Tomioka-City"
"11","Gunma",10211,60684,992.8707093,822.5446666,170.3260427,11.95809904,"Annaka-City"
"12","Gunma",10212,51584,1113.521455,735.6031946,377.9182599,9.413499501,"Midori-City"
"13","Gunma",10344,14465,858.6771536,744.9675966,113.7095571,8.446986362,"Shintou-Villege"
"14","Gunma",10345,20028,1092.459628,756.8638878,335.5957397,9.165834166,"Yoshioka-Town"
"15","Gunma",10366,1317,765.525225,734.4063134,31.11891158,32.24932249,"Ueno-Villege"
"16","Gunma",10367,2260,903.0900914,753.1795541,149.9105373,50.20080321,"Kanna-Town"
"17","Gunma",10382,8687,744.1557355,652.6302414,91.5254941,19.14623838,"Shimonita-Town"
"18","Gunma",10383,2338,724.5462237,702.3423878,22.20383589,16.93548387,"Nanmoku-Villege"
"19","Gunma",10384,13489,580.9226461,517.1183806,63.80426553,27.16178522,"Kanra-Town"
"20","Gunma",10421,17879,1029.690479,798.0177618,231.6727167,15.03413476,"Nakanojyou-Town"
"21","Gunma",10424,5975,1153.256968,919.1302558,234.1267119,11.77636796,"Naganohara-Town"
"22","Gunma",10425,10145,1306.196759,758.1327581,548.0640009,9.422680412,"Tsumakoi-Villege"
"23","Gunma",10426,6974,2178.662041,1297.559554,881.1024868,8.577593958,"Kusatsu-Town"
"24","Gunma",10428,3862,686.9511819,598.5177136,88.43346832,13.69721936,"Takayama-Villege"
"25","Gunma",10429,15372,929.942881,745.9805565,183.9623245,17.10626911,"HigashiAgatsuma-Town"
"26","Gunma",10443,4809,1659.002303,923.2461448,735.7561585,8.938356164,"Katashina-Villege"
"27","Gunma",10444,3841,689.2842967,547.017156,142.2671407,18.47265222,"Kawaba-Villege"
"28","Gunma",10448,7549,570.7700582,525.8902312,44.87982702,22.82815472,"Shouwa-Villege"
"29","Gunma",10449,20875,895.7822061,642.9108995,252.8713066,59.68731736,"Minakami-Town"
"30","Gunma",10464,37365,1015.239562,819.6355697,195.6039922,14.11696917,"Tamamura-Town"
"31","Gunma",10521,15635,534.9144853,431.6363211,103.2781643,65.82816073,"Itakura-Town"
"32","Gunma",10522,11172,722.4345016,654.4464205,67.98808105,28.8761002,"Meiwa-Town"
"33","Gunma",10523,11513,1129.395661,1096.883115,32.51254581,8.489178399,"Chiyoda-Town"
"34","Gunma",10524,40160,1170.318725,939.2076503,231.1110748,9.876758516,"Ooizumi-Town"
"35","Gunma",10525,26987,972.9436618,816.2197504,156.7239114,7.877211238,"Oura-Town"
"36","Ibaraki",8201,267751,1212.242849,798.5969674,413.6458813,14.59810922,"Mito-City"
"37","Ibaraki",8202,194289,991.4248919,755.3392027,236.0856891,20.08794326,"Hitachi-City"
"38","Ibaraki",8203,143265,1341.985571,839.4013234,502.5842477,21.50501438,"Tsuchiura-City"
"39","Ibaraki",8204,144367,977.8887376,775.7248612,202.1638764,15.93761663,"Furukawa-City"
"40","Ibaraki",8205,79690,982.6328389,719.4202672,263.2125717,23.85563994,"Ishioka-City"
"41","Ibaraki",8207,53694,1172.043319,795.4913911,376.5519282,19.94534209,"Yuuki-City"
"42","Ibaraki",8208,79225,1117.657912,823.3105201,294.347392,28.23213085,"Ryugasaki-City"
"43","Ibaraki",8210,44547,986.0648194,697.6729067,288.3919127,11.93556412,"Shimotsuma-City"
"44","Ibaraki",8211,66279,883.8279843,708.7113203,175.1166641,18.17630597,"Jyousou-City"
"45","Ibaraki",8212,55311,890.3949283,730.9883023,159.406626,16.56328219,"HitachiTakata-City"
"46","Ibaraki",8214,31486,880.1726086,662.5375004,217.6351082,25.66161166,"Takahagi-City"
"47","Ibaraki",8215,48053,898.086232,737.6304329,160.4557991,15.6821779,"KitaIbaraki-City"
"48","Ibaraki",8216,79227,1045.036187,790.6657642,254.3704225,25.3641101,"Kasama-City"
"49","Ibaraki",8217,110117,884.5038196,792.1777785,92.32604109,14.78624327,"Toride-City"
"50","Ibaraki",8219,81607,982.618214,790.6412186,191.9769954,24.9106652,"Ushiku-City"
"51","Ibaraki",8220,207628,1052.73134,734.1840141,318.5473263,8.277069267,"Tsukuba-City"
"52","Ibaraki",8221,158498,1129.472458,850.3839355,279.0885227,16.24443398,"Hitachinaka-City"
"53","Ibaraki",8222,66562,953.9156804,786.0291477,167.8865327,54.81441857,"Kashima-City"
"54","Ibaraki",8223,30086,1077.058153,735.6870232,341.3711295,35.95818228,"Itako-City"
"55","Ibaraki",8224,62719,854.2743821,689.0827219,165.1916602,16.93008686,"Moriya-City"
"56","Ibaraki",8225,44586,983.3026074,731.8085341,251.4940733,20.85333982,"HitachiOmiya-City"
"57","Ibaraki",8226,55865,923.5769877,738.607269,184.9697187,19.42385088,"Naka-City"
"58","Ibaraki",8227,108918,827.6141363,707.2799641,120.3341723,13.52805301,"Chikusei-City"
"59","Ibaraki",8228,56105,828.7544383,626.3626504,202.3917878,21.9239951,"Bando-City"
"60","Ibaraki",8229,45906,922.2933345,724.7525771,197.5407574,12.59159275,"Inaki-City"
"61","Ibaraki",8230,43786,1059.861687,746.1151717,313.7465153,19.6384076,"Kasumigaura-City"
"62","Ibaraki",8231,46864,687.9574334,595.6661947,92.29123873,17.04526613,"Sakuragawa-City"
"63","Ibaraki",8232,92257,1103.445229,721.76021,381.6850185,60.50673043,"Kamisu-City"
"64","Ibaraki",8233,38012,912.7114877,669.9782467,242.733241,18.89422698,"Namegata-City"
"65","Ibaraki",8234,50743,680.1659579,582.7070928,97.45886509,21.49675142,"Hokota-City"
"66","Ibaraki",8235,46005,825.1063231,725.0934354,100.0128876,17.22450155,"Tsukubamira-City"
"67","Ibaraki",8236,52671,825.2589302,632.4962057,192.7627245,17.21644253,"Omitama-City"
"68","Ibaraki",8302,34444,779.2009585,627.1365955,152.064363,12.4872475,"Ibaraki-Town"
"69","Ibaraki",8309,17969,1484.797589,1057.680699,427.1168895,13.58766396,"Ooarai-Town"
"70","Ibaraki",8310,22008,768.101217,639.8567436,128.2444734,14.09846547,"Shirosato-Town"
"71","Ibaraki",8341,38128,1011.691421,787.1816304,224.5097904,23.37110482,"Tokai-Villege"
"72","Ibaraki",8364,20349,857.9790846,679.1327402,178.8463444,21.14241002,"Daigo-Town"
"73","Ibaraki",8442,17611,945.9127787,778.6675802,167.2451985,15.86025914,"Miho-Villege"
"74","Ibaraki",8443,46857,1159.38145,847.363639,312.0178112,11.33128804,"Ami-Town"
"75","Ibaraki",8447,10317,823.3532538,666.0448483,157.3084055,27.69379222,"Kawachi-Town"
"76","Ibaraki",8521,22811,601.521699,455.2735918,146.2481072,10.88990643,"Yachiyo-Town"
"77","Ibaraki",8542,9430,1013.79738,765.2011659,248.5962137,14.54701343,"Goka-Town"
"78","Ibaraki",8546,25831,885.0085455,734.7041182,150.3044273,17.80592734,"Sakai-Town"
"79","Ibaraki",8564,17679,807.6638116,760.0632655,47.60054611,21.35476464,"Tone-Town"
"80","Tochigi",9201,513019,999.4090804,757.7079586,241.7011217,18.61953131,"Utsunomiya-City"
"81","Tochigi",9202,153428,1129.185246,786.8627366,342.3225091,14.97122132,"Ashikaga-City"
"82","Tochigi",9203,146341,924.313947,690.5609299,233.7530171,17.05302694,"Tochigi-City"
"83","Tochigi",9204,124068,908.8088658,648.0008936,260.8079722,15.4540257,"Sano-City"
"84","Tochigi",9205,101781,874.0238001,655.5648276,218.4589725,18.83441031,"Kanuma-CIty"
"85","Tochigi",9206,90611,1177.283811,829.7946672,347.4891437,17.61602295,"Nikko-City"
"86","Tochigi",9208,159565,951.3227475,745.1611528,206.1615947,18.92116934,"Oyama-City"
"87","Tochigi",9209,79130,856.8248003,700.479739,156.3450613,15.18033448,"Mooka-City"
"88","Tochigi",9210,73627,1123.407374,901.5684657,221.8389087,16.27619298,"Ootawara-City"
"89","Tochigi",9211,34780,868.9278745,633.3330191,235.5948554,16.23722991,"Yaita-City"
"90","Tochigi",9213,117329,1042.512421,686.4076156,356.1048058,14.89927618,"NasuShiobara-City"
"91","Tochigi",9214,44214,785.7338662,591.7567835,193.9770826,13.72995913,"Sakura-City"
"92","Tochigi",9215,29989,906.4343629,791.8203888,114.6139741,14.51405904,"NasuKarasuyama-City"
"93","Tochigi",9216,59657,770.9830451,691.4299056,79.55313944,28.98550725,"Simotsuke-City"
"94","Tochigi",9301,31604,892.1019197,724.9030523,167.1988674,19.5799458,"Kaminokawa-Town"
"95","Tochigi",9342,24689,725.6389707,583.432767,142.2062036,22.98307153,"Mashiko-Town"
"96","Tochigi",9343,15202,487.2453509,418.4091394,68.83621151,24.60346736,"Motegi-Town"
"97","Tochigi",9344,12453,567.3792476,498.0475221,69.33172554,19.37647987,"Ichikai-Town"
"98","Tochigi",9345,16481,563.4903978,469.1608784,94.32951937,33.53092784,"Haga-Town"
"99","Tochigi",9361,39708,984.1652809,813.7959013,170.3693795,14.56386293,"Mibu-Town"
"100","Tochigi",9364,25813,813.014326,714.8937323,98.1205937,58.41793013,"Nogi-Town"
