"","HEMOCUE1","HEMOCUE2","SIGMA1","SIGMA2"
"1",1340,1330,1096.5,1122
"2",100,100,129.9,130.8
"3",80,80,86.1,84.3
"4",1340,1340,1387.2,1473.9
"5",530,550,518.5,520.2
"6",240,240,195,207.5
"7",60,60,93.5,92.5
"8",70,80,88.8,77.1
"9",50,50,56.1,54.9
"10",1720,1770,1640.9,1665.3
"11",460,460,441.1,443.3
"12",130,140,177.3,177.6
"13",50,50,86.8,83.8
"14",60,60,51.2,51.8
"15",100,100,78,79.2
"16",1610,1600,1504.5,1443.3
"17",150,140,94.5,90.9
"18",1380,1380,1417.8,1320.9
"19",520,510,498,501
"20",1430,1420,1250,1310
"21",330,330,353,341
"22",90,90,85.5,85.5
"23",90,90,79.5,78.6
"24",1920,1950,1705,1660
"25",70,60,85,91.5
"26",880,990,900,910
"27",1490,1490,1590,1575
"28",330,320,455,467.5
"29",180,180,257.5,257.5
"30",50,50,89.4,90
"31",70,70,58.2,59.2
"32",1550,1560,1610,1735
"33",80,80,59.8,59.9
"34",90,90,69.8,70.8
"35",70,70,61.5,61
"36",1560,1560,1495,1610
"37",710,720,692,742
"38",190,190,196,212.5
"39",100,100,90,88.6
"40",720,720,650,698
"41",710,710,712,694
"42",80,80,57.8,57.7
"43",50,50,54.9,53.9
"44",60,60,66.2,65.6
"45",1610,1600,1535,1595
"46",200,200,171,165
"47",90,90,70.4,81.2
"48",160,160,56.8,55
"49",50,50,50.2,51.4
"50",1040,1040,1075,1090
"51",1250,1250,1230,1235
"52",150,150,132,132.3
"53",1530,1530,1367.5,1390
"54",440,440,470,487.5
"55",1680,1740,1720,1760
"56",500,500,470,482
"57",50,50,72,68.2
"58",1170,1180,1430,1415
"59",330,330,350,356
"60",60,60,56.2,54
"61",90,90,77.6,78.2
"62",310,310,250,249
"63",90,90,87.4,90.2
"64",360,360,359,350
"65",1120,1120,1086,1113
"66",1200,1210,1150,1140
"67",210,210,212,211.5
"68",60,60,51.6,51.6
"69",1450,1450,1277.5,1235
"70",100,100,129,141
"71",320,310,292,303
"72",1430,1430,1570,1630
"73",90,90,64.8,65.8
"74",210,220,187,185.5
"75",1770,1770,1615,1740
"76",600,600,585,595
"77",360,350,392,406
"78",70,70,108.6,111
"79",130,130,108,110.5
"80",680,680,560,596
"81",110,110,66.8,69
"82",360,360,452,420
"83",70,70,119.2,118
"84",70,70,51.6,51.1
"85",270,270,245,257.5
"86",80,80,65,62.4
"87",70,70,72.3,74.7
"88",210,200,76.4,79
"89",50,50,52.6,55.6
"90",1200,1220,1308,1376
"91",1070,1080,1086,1134
"92",400,400,421,437
"93",120,120,169.5,165.5
"94",80,90,130,130.5
"95",790,790,775,772.5
"96",680,680,727.5,677.5
"97",80,80,89.4,89.4
"98",850,850,920,927.5
"99",270,270,349.5,349.5
"100",80,80,73.2,74
"101",910,910,940,880
"102",650,700,736,692
"103",90,80,124.2,114.8
"104",900,890,842,904
"105",130,140,175,183.5
"106",80,80,146,153
"107",1840,1830,1880,1850
"108",430,430,398,419
"109",80,90,127.5,135.5
"110",90,100,103.5,109.5
"111",160,160,146.7,147.6
"112",500,500,482,496
"113",60,60,106.6,106.2
"114",200,200,198.5,211.5
"115",130,130,115.5,117.5
"116",110,110,97.5,98.1
"117",90,90,138.5,145
"118",910,910,852,894
"119",770,770,785,790
"120",800,810,789,828
"121",50,50,61.2,59.4
"122",620,610,632,610
"123",210,210,232.5,230
"124",190,190,169.5,176
"125",90,90,51,52.8
