"","Country","Popul","PopDens","GDPpp","LifeEx","InfMor","Illit"
"AFG","Afghanistan",28717213,44.350908,661.6241,46.97,14.248,64
"DZ","Algeria",32818500,13.779206,5295.7935,70.54,3.774,30
"RA","Argentina",38740807,16.265758,10423.1179,75.48,1.616,2.9
"BD","Bangladesh",138448210,961.445903,1720.499,61.33,6.608,56.9
"BR","Brazil",182032604,21.385497,7559.0854,71.13,3.174,13.6
"CDN","Canada",32207113,3.225656,29002.91,79.83,0.488,3
"VRC","China",1286975468,134.10241,4653.5464,72.22,2.526,14
"CO","Colombia",41662073,36.580654,6039.0658,71.14,2.247,7.5
"RDC","Democratic Republic of the Congo",56625039,24.142917,600.4411,48.93,9.656,34.5
"ET","Egypt",74718797,74.610612,3878.5421,70.41,3.526,42.3
"ETH","Ethiopia",66557553,59.050624,729.1434,41.24,10.322,57.3
"F","France",60180529,110.013215,25888.7721,79.28,0.437,1
"D","Germany",82398326,230.79406,26214.1248,78.42,0.423,1
"IND","India",1049700118,319.291675,2537.8677,63.62,5.959,40.5
"RI","Indonesia",234893453,122.376033,3040.5275,68.94,3.809,11.5
"IR","Iran",68278826,41.431326,6712.1834,69.35,4.417,20.6
"I","Italy",57998353,192.538436,25086.9193,79.4,0.619,1.4
"J","Japan",127214499,336.693263,28699.5588,80.93,0.33,1
"EAK","Kenya",31639091,54.302053,1039.5368,45.22,6.336,14.9
"ROK","Korea",48289037,490.343593,19497.179,75.36,0.731,1.9
"MAL","Malaysia",23092940,70.03166,8591.3703,71.67,1.9,11.1
"MEX","Mexico",104907991,53.183945,8811.5309,72.3,2.368,7.8
"MA","Morocco",31689265,70.964651,3843.5729,70.04,4.487,48.3
"MYA","Myanmar",42510537,62.653702,1733.4526,55.79,7.035,16.9
"WAN","Nigeria",133881703,144.930007,840.2941,51.01,7.135,32
"PK","Pakistan",150694740,187.445257,1959.5906,62.2,7.653,54.3
"PE","Peru",28409897,22.105085,4885.6214,70.88,3.697,9.1
"RP","Philippines",84619974,282.06658,4487.1203,69.29,2.498,4.1
"PL","Poland",38622660,123.519389,9662.7213,73.91,0.895,0.2
"RUS","Russian Federation",144526278,8.464105,9749.0921,67.66,1.951,0.4
"SA","South Africa",42768678,35.058822,10000.3091,46.56,6.084,13.6
"E","Spain",40217413,79.672835,21152.5291,79.23,0.454,2.1
"SUD","Sudan",38114160,15.210315,1387.9356,57.73,6.559,38.9
"THA","Thailand",64265276,125.02972,6936.8721,71.24,2.183,4
"TR","Turkey",68109469,87.25495,7189.896,71.8,4.42,13.5
"UA","Ukraine",48055439,79.601522,4536.4272,66.5,2.087,0.3
"GB","United Kingdom",60094648,245.464619,25426.5571,78.16,0.528,1
"EAT","United Rep. of Tanzania",35922454,38.00968,568.4467,44.56,10.368,21.8
"USA","USA",290342554,30.152644,35991.9683,77.14,0.675,3
"UZB","Uzbekistan",25981647,58.072523,2542.564,64,7.151,0.7
"YV","Venezuela",24654694,27.032174,5341.782,73.81,2.379,6.6
"VN","Viet Nam",81624716,247.677861,2251.7689,70.05,3.083,6
