"","y","x","yield","nitro","gen","block"
"1",1,1,91,0.2,"Victory","B2"
"2",2,1,61,0,"Victory","B2"
"3",3,1,121,0.4,"Marvellous","B2"
"4",4,1,144,0.6,"Marvellous","B2"
"5",5,1,149,0.6,"GoldenRain","B2"
"6",6,1,108,0.2,"GoldenRain","B2"
"7",7,1,132,0.4,"GoldenRain","B4"
"8",8,1,103,0.2,"GoldenRain","B4"
"9",9,1,89,0.2,"Victory","B4"
"10",10,1,122,0.6,"Victory","B4"
"11",11,1,89,0.2,"Marvellous","B4"
"12",12,1,104,0.4,"Marvellous","B4"
"13",13,1,161,0.4,"GoldenRain","B1"
"14",14,1,117,0,"GoldenRain","B1"
"15",15,1,174,0.6,"Victory","B1"
"16",16,1,111,0,"Victory","B1"
"17",17,1,140,0.2,"Marvellous","B1"
"18",18,1,156,0.6,"Marvellous","B1"
"19",1,2,97,0.4,"Victory","B2"
"20",2,2,100,0.6,"Victory","B2"
"21",3,2,96,0,"Marvellous","B2"
"22",4,2,124,0.2,"Marvellous","B2"
"23",5,2,70,0,"GoldenRain","B2"
"24",6,2,126,0.4,"GoldenRain","B2"
"25",7,2,133,0.6,"GoldenRain","B4"
"26",8,2,64,0,"GoldenRain","B4"
"27",9,2,81,0.4,"Victory","B4"
"28",10,2,74,0,"Victory","B4"
"29",11,2,117,0.6,"Marvellous","B4"
"30",12,2,70,0,"Marvellous","B4"
"31",13,2,141,0.6,"GoldenRain","B1"
"32",14,2,114,0.2,"GoldenRain","B1"
"33",15,2,157,0.4,"Victory","B1"
"34",16,2,130,0.2,"Victory","B1"
"35",17,2,105,0,"Marvellous","B1"
"36",18,2,118,0.4,"Marvellous","B1"
"37",1,3,119,0.4,"Marvellous","B6"
"38",2,3,97,0,"Marvellous","B6"
"39",3,3,89,0,"GoldenRain","B6"
"40",4,3,104,0.6,"GoldenRain","B6"
"41",5,3,113,0.6,"Victory","B6"
"42",6,3,118,0.4,"Victory","B6"
"43",7,3,129,0.2,"Marvellous","B3"
"44",8,3,132,0.4,"Marvellous","B3"
"45",9,3,68,0,"Victory","B3"
"46",10,3,112,0.4,"Victory","B3"
"47",11,3,89,0.4,"GoldenRain","B3"
"48",12,3,96,0.6,"GoldenRain","B3"
"49",13,3,116,0.6,"Victory","B5"
"50",14,3,90,0.2,"Victory","B5"
"51",15,3,126,0.6,"GoldenRain","B5"
"52",16,3,80,0,"GoldenRain","B5"
"53",17,3,63,0,"Marvellous","B5"
"54",18,3,109,0.4,"Marvellous","B5"
"55",1,4,121,0.6,"Marvellous","B6"
"56",2,4,99,0.2,"Marvellous","B6"
"57",3,4,82,0.2,"GoldenRain","B6"
"58",4,4,86,0.4,"GoldenRain","B6"
"59",5,4,74,0.2,"Victory","B6"
"60",6,4,53,0,"Victory","B6"
"61",7,4,89,0,"Marvellous","B3"
"62",8,4,124,0.6,"Marvellous","B3"
"63",9,4,64,0.2,"Victory","B3"
"64",10,4,86,0.6,"Victory","B3"
"65",11,4,102,0.2,"GoldenRain","B3"
"66",12,4,60,0,"GoldenRain","B3"
"67",13,4,62,0,"Victory","B5"
"68",14,4,100,0.4,"Victory","B5"
"69",15,4,82,0.2,"GoldenRain","B5"
"70",16,4,94,0.4,"GoldenRain","B5"
"71",17,4,70,0.2,"Marvellous","B5"
"72",18,4,99,0.6,"Marvellous","B5"
