"","col","row","yield"
"1",1,1,295
"2",2,1,273
"3",3,1,200
"4",4,1,311
"5",5,1,184
"6",6,1,336
"7",7,1,277
"8",8,1,319
"9",9,1,237
"10",10,1,328
"11",11,1,279
"12",12,1,282
"13",13,1,291
"14",14,1,365
"15",15,1,215
"16",16,1,273
"17",17,1,248
"18",18,1,233
"19",19,1,212
"20",20,1,240
"21",21,1,322
"22",22,1,177
"23",23,1,262
"24",24,1,195
"25",25,1,202
"26",26,1,222
"27",27,1,208
"28",28,1,234
"29",29,1,307
"30",30,1,286
"31",31,1,233
"32",32,1,301
"33",33,1,291
"34",34,1,267
"35",35,1,214
"36",36,1,409
"37",37,1,305
"38",38,1,333
"39",39,1,245
"40",40,1,279
"41",41,1,254
"42",42,1,296
"43",43,1,220
"44",44,1,211
"45",45,1,298
"46",46,1,227
"47",47,1,229
"48",48,1,277
"49",49,1,221
"50",50,1,302
"51",51,1,234
"52",52,1,248
"53",53,1,275
"54",54,1,257
"55",55,1,275
"56",56,1,266
"57",57,1,263
"58",58,1,285
"59",59,1,298
"60",60,1,193
"61",61,1,240
"62",62,1,240
"63",63,1,237
"64",64,1,251
"65",65,1,319
"66",66,1,228
"67",67,1,276
"68",68,1,250
"69",69,1,166
"70",70,1,276
"71",71,1,205
"72",72,1,287
"73",73,1,252
"74",74,1,279
"75",75,1,277
"76",76,1,351
"77",77,1,274
"78",78,1,345
"79",79,1,274
"80",80,1,332
"81",81,1,290
"82",82,1,396
"83",83,1,234
"84",84,1,306
"85",85,1,259
"86",86,1,287
"87",87,1,235
"88",88,1,281
"89",89,1,212
"90",90,1,232
"91",91,1,204
"92",92,1,242
"93",93,1,232
"94",94,1,314
"95",95,1,212
"96",96,1,254
"97",97,1,220
"98",98,1,224
"99",99,1,270
"100",100,1,175
"101",1,2,333
"102",2,2,280
"103",3,2,198
"104",4,2,146
"105",5,2,343
"106",6,2,306
"107",7,2,228
"108",8,2,265
"109",9,2,272
"110",10,2,255
"111",11,2,232
"112",12,2,256
"113",13,2,289
"114",14,2,177
"115",15,2,209
"116",16,2,207
"117",17,2,227
"118",18,2,226
"119",19,2,212
"120",20,2,208
"121",21,2,271
"122",22,2,176
"123",23,2,237
"124",24,2,181
"125",25,2,278
"126",26,2,192
"127",27,2,256
"128",28,2,159
"129",29,2,268
"130",30,2,211
"131",31,2,242
"132",32,2,221
"133",33,2,260
"134",34,2,212
"135",35,2,233
"136",36,2,253
"137",37,2,264
"138",38,2,237
"139",39,2,247
"140",40,2,156
"141",41,2,246
"142",42,2,201
"143",43,2,246
"144",44,2,230
"145",45,2,183
"146",46,2,213
"147",47,2,267
"148",48,2,255
"149",49,2,243
"150",50,2,290
"151",51,2,186
"152",52,2,241
"153",53,2,270
"154",54,2,261
"155",55,2,262
"156",56,2,226
"157",57,2,297
"158",58,2,164
"159",59,2,272
"160",60,2,184
"161",61,2,313
"162",62,2,178
"163",63,2,293
"164",64,2,228
"165",65,2,182
"166",66,2,237
"167",67,2,252
"168",68,2,254
"169",69,2,304
"170",70,2,274
"171",71,2,199
"172",72,2,207
"173",73,2,225
"174",74,2,229
"175",75,2,257
"176",76,2,207
"177",77,2,236
"178",78,2,244
"179",79,2,205
"180",80,2,230
"181",81,2,193
"182",82,2,256
"183",83,2,263
"184",84,2,182
"185",85,2,200
"186",86,2,282
"187",87,2,225
"188",88,2,216
"189",89,2,248
"190",90,2,290
"191",91,2,248
"192",92,2,220
"193",93,2,243
"194",94,2,273
"195",95,2,263
"196",96,2,244
"197",97,2,241
"198",98,2,218
"199",99,2,208
"200",100,2,145
"201",1,3,243
"202",2,3,235
"203",3,3,241
"204",4,3,292
"205",5,3,257
"206",6,3,292
"207",7,3,246
"208",8,3,201
"209",9,3,289
"210",10,3,303
"211",11,3,255
"212",12,3,226
"213",13,3,262
"214",14,3,301
"215",15,3,251
"216",16,3,189
"217",17,3,180
"218",18,3,236
"219",19,3,238
"220",20,3,308
"221",21,3,282
"222",22,3,182
"223",23,3,330
"224",24,3,178
"225",25,3,263
"226",26,3,214
"227",27,3,232
"228",28,3,183
"229",29,3,266
"230",30,3,147
"231",31,3,342
"232",32,3,254
"233",33,3,379
"234",34,3,178
"235",35,3,375
"236",36,3,200
"237",37,3,360
"238",38,3,271
"239",39,3,376
"240",40,3,189
"241",41,3,252
"242",42,3,254
"243",43,3,247
"244",44,3,186
"245",45,3,260
"246",46,3,202
"247",47,3,206
"248",48,3,219
"249",49,3,234
"250",50,3,284
"251",51,3,210
"252",52,3,311
"253",53,3,236
"254",54,3,275
"255",55,3,166
"256",56,3,232
"257",57,3,258
"258",58,3,228
"259",59,3,249
"260",60,3,158
"261",61,3,321
"262",62,3,188
"263",63,3,302
"264",64,3,170
"265",65,3,156
"266",66,3,174
"267",67,3,302
"268",68,3,228
"269",69,3,231
"270",70,3,246
"271",71,3,279
"272",72,3,287
"273",73,3,288
"274",74,3,245
"275",75,3,290
"276",76,3,281
