"","row","col","yield"
"1",1,1,4.3
"2",2,1,3.7
"3",3,1,3.4
"4",4,1,4
"5",5,1,4.9
"6",6,1,4
"7",7,1,3.7
"8",8,1,3.8
"9",9,1,3.7
"10",10,1,4.6
"11",11,1,4.4
"12",12,1,3.9
"13",13,1,4.5
"14",14,1,3.8
"15",15,1,3.7
"16",16,1,4.4
"17",17,1,3.9
"18",18,1,3.1
"19",19,1,4.9
"20",20,1,4
"21",21,1,5
"22",22,1,5.1
"23",23,1,3.5
"24",24,1,3.9
"25",25,1,2.7
"26",26,1,4.5
"27",27,1,6
"28",28,1,5.2
"29",29,1,5.8
"30",30,1,5.2
"31",31,1,4.6
"32",32,1,3.5
"33",33,1,3.9
"34",34,1,4.9
"35",35,1,4.5
"36",36,1,5.5
"37",1,2,1.9
"38",2,2,4.1
"39",3,2,4.4
"40",4,2,5.2
"41",5,2,4.3
"42",6,2,4.7
"43",7,2,3.8
"44",8,2,3.5
"45",9,2,4.7
"46",10,2,4
"47",11,2,4.5
"48",12,2,3.9
"49",13,2,4
"50",14,2,3.9
"51",15,2,3.8
"52",16,2,5.2
"53",17,2,5.6
"54",18,2,4.8
"55",19,2,5.1
"56",20,2,4.4
"57",21,2,5.2
"58",22,2,4.6
"59",23,2,4.2
"60",24,2,3.4
"61",25,2,3.6
"62",26,2,4.7
"63",27,2,5.7
"64",28,2,5.1
"65",29,2,5.4
"66",30,2,4.9
"67",31,2,4.5
"68",32,2,4.3
"69",33,2,5.5
"70",34,2,4.2
"71",35,2,4.2
"72",36,2,5.1
"73",1,3,3.4
"74",2,3,3
"75",3,3,2.3
"76",4,3,3.4
"77",5,3,4.4
"78",6,3,4.6
"79",7,3,3.2
"80",8,3,3.7
"81",9,3,3.9
"82",10,3,3.7
"83",11,3,3.9
"84",12,3,6.7
"85",13,3,4.5
"86",14,3,3.4
"87",15,3,3.4
"88",16,3,4.2
"89",17,3,5.9
"90",18,3,4.9
"91",19,3,4.1
"92",20,3,4.9
"93",21,3,4.6
"94",22,3,4.2
"95",23,3,4.2
"96",24,3,4.2
"97",25,3,3.6
"98",26,3,4.8
"99",27,3,5.5
"100",28,3,3.8
"101",29,3,4.2
"102",30,3,5.2
"103",31,3,4.1
"104",32,3,4.5
"105",33,3,5.4
"106",34,3,3.6
"107",35,3,2.4
"108",36,3,5.5
"109",1,4,4.1
"110",2,4,3.7
"111",3,4,4.3
"112",4,4,3.6
"113",5,4,3.8
"114",6,4,3.7
"115",7,4,3.4
"116",8,4,3.4
"117",9,4,5.4
"118",10,4,3.3
"119",11,4,3.7
"120",12,4,4.3
"121",13,4,4.1
"122",14,4,4.2
"123",15,4,4.5
"124",16,4,3.2
"125",17,4,4.5
"126",18,4,5.4
"127",19,4,4.4
"128",20,4,4.9
"129",21,4,4.9
"130",22,4,4.9
"131",23,4,5.5
"132",24,4,4.8
"133",25,4,4.4
"134",26,4,3.6
"135",27,4,4.9
"136",28,4,4.5
"137",29,4,5.1
"138",30,4,4.7
"139",31,4,4.9
"140",32,4,5
"141",33,4,4.7
"142",34,4,3.9
"143",35,4,3.8
"144",36,4,5
"145",1,5,5.7
"146",2,5,3.3
"147",3,5,4.8
"148",4,5,3.8
"149",5,5,4.2
"150",6,5,4.9
"151",7,5,4.9
"152",8,5,3.1
"153",9,5,4.5
"154",10,5,3.6
"155",11,5,4.4
"156",12,5,5.9
"157",13,5,4.9
"158",14,5,4.7
"159",15,5,4.2
"160",16,5,5.2
"161",17,5,4.8
"162",18,5,6.9
"163",19,5,4.7
"164",20,5,5.9
"165",21,5,5.6
"166",22,5,5
"167",23,5,5.4
"168",24,5,4.6
"169",25,5,3.3
"170",26,5,4.5
"171",27,5,5.7
"172",28,5,4.7
"173",29,5,4.2
"174",30,5,4.9
"175",31,5,3.7
"176",32,5,5
"177",33,5,5
"178",34,5,3.6
"179",35,5,3.3
"180",36,5,4.6
"181",1,6,3.8
"182",2,6,2.9
"183",3,6,2.4
"184",4,6,4.7
"185",5,6,2.9
"186",6,6,3.3
"187",7,6,2.8
"188",8,6,4.6
"189",9,6,3.6
"190",10,6,4.9
"191",11,6,3.6
"192",12,6,4.4
"193",13,6,3.7
"194",14,6,3.6
"195",15,6,3
"196",16,6,3.8
"197",17,6,5.2
"198",18,6,4.9
"199",19,6,4.4
"200",20,6,4.6
"201",21,6,4.8
"202",22,6,4.9
"203",23,6,4.6
"204",24,6,5
"205",25,6,3.5
"206",26,6,4.4
"207",27,6,4.2
"208",28,6,2.9
"209",29,6,3
"210",30,6,3.3
"211",31,6,3.6
"212",32,6,4.9
"213",33,6,3.4
"214",34,6,3.5
"215",35,6,3.3
"216",36,6,4
"217",1,7,3.6
"218",2,7,4.8
"219",3,7,4.5
"220",4,7,4.8
"221",5,7,4.2
"222",6,7,4.4
"223",7,7,3.8
"224",8,7,3.7
"225",9,7,4.6
"226",10,7,3
"227",11,7,4.6
"228",12,7,3.3
"229",13,7,3.9
"230",14,7,3.2
"231",15,7,2.5
"232",16,7,4.1
"233",17,7,4.1
"234",18,7,4.7
"235",19,7,5.4
"236",20,7,4.6
"237",21,7,4.4
"238",22,7,4.5
"239",23,7,5
"240",24,7,5
"241",25,7,4.1
"242",26,7,4.6
"243",27,7,3.4
"244",28,7,3.6
"245",29,7,3
"246",30,7,4.2
"247",31,7,3.3
"248",32,7,3.9
"249",33,7,3.1
"250",34,7,4.6
"251",35,7,3.3
"252",36,7,4.4
"253",1,8,3.4
"254",2,8,3.6
