"","isle","site","block","plot","trt","ears","yield"
"1","Antigua","DBAN","B1",1,"T111",42,4.96
"2","Antigua","DBAN","B1",2,"T000",41,3.94
"3","Antigua","DBAN","B1",3,"T311",49,6.35
"4","Antigua","DBAN","B1",4,"T202",48,5.56
"5","Antigua","DBAN","B1",5,"T111",45,5.36
"6","Antigua","DBAN","B1",6,"T220",46,6.18
"7","Antigua","DBAN","B1",7,"T113",42,4.71
"8","Antigua","DBAN","B1",8,"T131",44,6.03
"9","Antigua","DBAN","B1",9,"T022",42,2.88
"10","Antigua","DBAN","B2",10,"T222",44,5.68
"11","Antigua","DBAN","B2",11,"T311",42,5.8
"12","Antigua","DBAN","B2",12,"T020",42,4.16
"13","Antigua","DBAN","B2",13,"T200",46,4.9
"14","Antigua","DBAN","B2",14,"T111",44,5.25
"15","Antigua","DBAN","B2",15,"T131",48,5.8
"16","Antigua","DBAN","B2",16,"T002",46,2.18
"17","Antigua","DBAN","B2",17,"T111",48,4.36
"18","Antigua","DBAN","B2",18,"T113",45,4.36
"19","Antigua","DBAN","B3",19,"T131",43,4.81
"20","Antigua","DBAN","B3",20,"T111",47,5.19
"21","Antigua","DBAN","B3",21,"T311",47,5.96
"22","Antigua","DBAN","B3",22,"T000",45,3.88
"23","Antigua","DBAN","B3",23,"T220",50,5.72
"24","Antigua","DBAN","B3",24,"T022",44,2.51
"25","Antigua","DBAN","B3",25,"T111",47,4.94
"26","Antigua","DBAN","B3",26,"T113",44,3.7
"27","Antigua","DBAN","B3",27,"T202",40,2.77
"28","Antigua","DBAN","B4",28,"T111",41,4.34
"29","Antigua","DBAN","B4",29,"T200",45,4.33
"30","Antigua","DBAN","B4",30,"T111",41,4.68
"31","Antigua","DBAN","B4",31,"T113",46,4.76
"32","Antigua","DBAN","B4",32,"T131",47,5.24
"33","Antigua","DBAN","B4",33,"T020",42,1.86
"34","Antigua","DBAN","B4",34,"T222",41,3.84
"35","Antigua","DBAN","B4",35,"T002",41,1.36
"36","Antigua","DBAN","B4",36,"T311",36,3.98
"37","Antigua","LFAN","B1",1,"T111",37,2.92
"38","Antigua","LFAN","B1",2,"T022",36,1.68
"39","Antigua","LFAN","B1",3,"T113",42,4.5
"40","Antigua","LFAN","B1",4,"T220",41,4.74
"41","Antigua","LFAN","B1",5,"T202",40,4.44
"42","Antigua","LFAN","B1",6,"T311",44,4.66
"43","Antigua","LFAN","B1",7,"T111",44,2.94
"44","Antigua","LFAN","B1",8,"T000",44,1.6
"45","Antigua","LFAN","B1",9,"T131",38,1.82
"46","Antigua","LFAN","B2",10,"T113",39,4.44
"47","Antigua","LFAN","B2",11,"T222",40,5.78
"48","Antigua","LFAN","B2",12,"T311",46,6.24
"49","Antigua","LFAN","B2",13,"T111",47,5.4
"50","Antigua","LFAN","B2",14,"T200",46,5.62
