"","tree","N","E","S","W"
"1",1,72,66,76,77
"2",2,60,53,66,63
"3",3,56,57,64,58
"4",4,41,29,36,38
"5",5,32,32,35,36
"6",6,30,35,34,26
"7",7,39,39,31,27
"8",8,42,43,31,25
"9",9,37,40,31,25
"10",10,33,29,27,36
"11",11,32,30,34,28
"12",12,63,45,74,63
"13",13,54,46,60,52
"14",14,47,51,52,43
"15",15,91,79,100,75
"16",16,56,68,47,50
"17",17,79,65,70,61
"18",18,81,80,68,58
"19",19,78,55,67,60
"20",20,46,38,37,38
"21",21,39,35,34,37
"22",22,32,30,30,32
"23",23,60,50,67,54
"24",24,35,37,48,39
"25",25,39,36,39,31
"26",26,50,34,37,40
"27",27,43,37,39,50
"28",28,48,54,57,43
