"","roots","leaves","col","row"
"1",376,67,1,20
"2",371,52,2,20
"3",355,50,3,20
"4",356,50,4,20
"5",335,48,5,20
"6",332,44,6,20
"7",335,51,7,20
"8",340,50,8,20
"9",352,46,9,20
"10",352,49,10,20
"11",316,56,1,19
"12",338,51,2,19
"13",336,48,3,19
"14",356,50,4,19
"15",332,49,5,19
"16",340,48,6,19
"17",339,47,7,19
"18",359,48,8,19
"19",365,52,9,19
"20",349,46,10,19
"21",326,56,1,18
"22",326,47,2,18
"23",335,47,3,18
"24",343,49,4,18
"25",330,47,5,18
"26",328,47,6,18
"27",350,52,7,18
"28",339,47,8,18
"29",337,50,9,18
"30",362,46,10,18
"31",317,54,1,17
"32",343,54,2,17
"33",330,50,3,17
"34",327,46,4,17
"35",336,45,5,17
"36",340,51,6,17
"37",335,47,7,17
"38",301,44,8,17
"39",348,46,9,17
"40",357,52,10,17
"41",321,50,1,16
"42",332,46,2,16
"43",317,44,3,16
"44",318,47,4,16
"45",306,48,5,16
"46",331,46,6,16
"47",335,47,7,16
"48",311,47,8,16
"49",329,46,9,16
"50",353,49,10,16
"51",335,56,1,15
"52",349,51,2,15
"53",332,44,3,15
"54",358,48,4,15
"55",325,45,5,15
"56",348,49,6,15
"57",328,48,7,15
"58",290,41,8,15
"59",326,44,9,15
"60",323,44,10,15
"61",341,57,1,14
"62",346,52,2,14
"63",321,46,3,14
"64",321,48,4,14
"65",314,45,5,14
"66",340,50,6,14
"67",337,52,7,14
"68",321,45,8,14
"69",329,44,9,14
"70",317,41,10,14
"71",347,59,1,13
"72",363,58,2,13
"73",349,49,3,13
"74",341,51,4,13
"75",329,46,5,13
"76",321,46,6,13
"77",337,45,7,13
"78",300,46,8,13
"79",364,50,9,13
"80",310,45,10,13
"81",354,64,1,12
"82",365,54,2,12
"83",350,49,3,12
"84",339,47,4,12
"85",316,42,5,12
"86",342,49,6,12
"87",335,49,7,12
"88",331,48,8,12
"89",345,51,9,12
"90",327,47,10,12
"91",309,55,1,11
"92",352,56,2,11
"93",328,49,3,11
"94",297,43,4,11
"95",308,40,5,11
"96",343,46,6,11
"97",349,54,7,11
"98",372,51,8,11
"99",362,55,9,11
"100",346,51,10,11
"101",349,60,1,10
"102",335,50,2,10
"103",323,48,3,10
"104",325,43,4,10
"105",322,46,5,10
"106",348,54,6,10
"107",350,50,7,10
"108",354,51,8,10
"109",350,52,9,10
"110",360,51,10,10
"111",343,57,1,9
"112",346,52,2,9
"113",300,41,3,9
"114",312,48,4,9
"115",313,42,5,9
"116",331,51,6,9
"117",347,47,7,9
"118",324,46,8,9
"119",336,46,9,9
"120",339,44,10,9
"121",338,53,1,8
"122",327,49,2,8
"123",323,45,3,8
"124",296,38,4,8
"125",311,40,5,8
"126",335,47,6,8
"127",320,44,7,8
"128",318,44,8,8
"129",343,44,9,8
"130",333,45,10,8
"131",339,52,1,7
"132",384,61,2,7
"133",322,46,3,7
"134",331,44,4,7
"135",277,37,5,7
"136",299,43,6,7
"137",332,50,7,7
"138",302,39,8,7
"139",318,42,9,7
"140",306,41,10,7
"141",314,52,1,6
"142",325,46,2,6
"143",330,48,3,6
"144",328,44,4,6
"145",301,40,5,6
"146",316,43,6,6
"147",338,46,7,6
"148",310,45,8,6
"149",304,42,9,6
"150",302,37,10,6
"151",300,52,1,5
"152",329,50,2,5
"153",322,48,3,5
"154",310,45,4,5
"155",309,40,5,5
"156",342,49,6,5
"157",350,51,7,5
"158",335,46,8,5
"159",320,42,9,5
"160",278,38,10,5
"161",369,60,1,4
"162",341,51,2,4
"163",344,47,3,4
"164",324,44,4,4
"165",316,44,5,4
"166",342,51,6,4
"167",351,53,7,4
"168",324,46,8,4
"169",310,47,9,4
"170",309,44,10,4
"171",298,49,1,3
"172",302,47,2,3
"173",325,47,3,3
"174",300,46,4,3
"175",286,40,5,3
"176",330,52,6,3
"177",324,49,7,3
"178",322,43,8,3
"179",309,45,9,3
"180",322,49,10,3
"181",324,52,1,2
"182",316,48,2,2
"183",310,45,3,2
"184",317,44,4,2
"185",295,40,5,2
"186",308,45,6,2
"187",295,54,7,2
"188",267,40,8,2
"189",307,43,9,2
"190",290,41,10,2
"191",330,57,1,1
"192",306,48,2,1
"193",306,45,3,1
"194",306,41,4,1
"195",291,41,5,1
"196",321,45,6,1
"197",325,48,7,1
"198",288,41,8,1
"199",302,46,9,1
"200",310,42,10,1
