"","yield","rep","gen","env"
"1",2729,"R1","Evan","A77"
"2",2662,"R1","Wilk","A77"
"3",2638,"R1","Chip","A77"
"4",2680,"R1","Hodg","A77"
"5",2598,"R1","S200","A77"
"6",2908,"R1","Cors","A77"
"7",2732,"R1","Well","A77"
"8",2753,"R1","Evan","C77"
"9",2628,"R1","Wilk","C77"
"10",2154,"R1","Chip","C77"
"11",2146,"R1","Hodg","C77"
"12",782,"R1","S200","C77"
"13",1825,"R1","Cors","C77"
"14",1288,"R1","Well","C77"
"15",1157,"R1","Evan","V77"
"16",1263,"R1","Wilk","V77"
"17",2081,"R1","Chip","V77"
"18",2599,"R1","Hodg","V77"
"19",2699,"R1","S200","V77"
"20",1948,"R1","Cors","V77"
"21",2480,"R1","Well","V77"
"22",1461,"R1","Evan","V78"
"23",1265,"R1","Wilk","V78"
"24",1087,"R1","Chip","V78"
"25",2320,"R1","Hodg","V78"
"26",1937,"R1","S200","V78"
"27",2230,"R1","Cors","V78"
"28",1354,"R1","Well","V78"
"29",3502,"R1","Evan","A79"
"30",2714,"R1","Wilk","A79"
"31",2547,"R1","Chip","A79"
"32",3237,"R1","Hodg","A79"
"33",3618,"R1","S200","A79"
"34",3386,"R1","Cors","A79"
"35",2648,"R1","Well","A79"
"36",2874,"R1","Evan","C79"
"37",2578,"R1","Wilk","C79"
"38",1677,"R1","Chip","C79"
"39",2020,"R1","Hodg","C79"
"40",2199,"R1","S200","C79"
"41",1734,"R1","Cors","C79"
"42",1326,"R1","Well","C79"
"43",3352,"R1","Evan","G79"
"44",2488,"R1","Wilk","G79"
"45",2351,"R1","Chip","G79"
"46",3428,"R1","Hodg","G79"
"47",2849,"R1","S200","G79"
"48",2622,"R1","Cors","G79"
"49",2499,"R1","Well","G79"
"50",2289,"R1","Evan","R79"
"51",722,"R1","Wilk","R79"
"52",1841,"R1","Chip","R79"
"53",2955,"R1","Hodg","R79"
"54",2103,"R1","S200","R79"
"55",1009,"R1","Cors","R79"
"56",1894,"R1","Well","R79"
"57",983,"R1","Evan","V79"
"58",824,"R1","Wilk","V79"
"59",1286,"R1","Chip","V79"
"60",1299,"R1","Hodg","V79"
"61",2196,"R1","S200","V79"
"62",2159,"R1","Cors","V79"
"63",1529,"R1","Well","V79"
"64",2884,"R1","Evan","A80"
"65",2547,"R1","Wilk","A80"
"66",2856,"R1","Chip","A80"
"67",2640,"R1","Hodg","A80"
"68",2977,"R1","S200","A80"
"69",3242,"R1","Cors","A80"
"70",2290,"R1","Well","A80"
"71",2464,"R1","Evan","C80"
"72",3231,"R1","Wilk","C80"
"73",2090,"R1","Chip","C80"
"74",2568,"R1","Hodg","C80"
"75",2159,"R1","S200","C80"
"76",2166,"R1","Cors","C80"
"77",1069,"R1","Well","C80"
"78",3867,"R1","Evan","G80"
"79",3258,"R1","Wilk","G80"
"80",3144,"R1","Chip","G80"
"81",3478,"R1","Hodg","G80"
"82",4217,"R1","S200","G80"
"83",4083,"R1","Cors","G80"
"84",4035,"R1","Well","G80"
"85",4020,"R1","Evan","L80"
"86",3985,"R1","Wilk","L80"
"87",2688,"R1","Chip","L80"
"88",3974,"R1","Hodg","L80"
"89",3595,"R1","S200","L80"
"90",2673,"R1","Cors","L80"
"91",3628,"R1","Well","L80"
"92",1728,"R1","Evan","D80"
"93",1806,"R1","Wilk","D80"
"94",1429,"R1","Chip","D80"
"95",2759,"R1","Hodg","D80"
"96",2259,"R1","S200","D80"
"97",2627,"R1","Cors","D80"
"98",2199,"R1","Well","D80"
"99",2566,"R1","Evan","R80"
"100",2100,"R1","Wilk","R80"
"101",1879,"R1","Chip","R80"
"102",3095,"R1","Hodg","R80"
"103",2568,"R1","S200","R80"
"104",2430,"R1","Cors","R80"
"105",1920,"R1","Well","R80"
"106",1833,"R1","Evan","V80"
"107",1810,"R1","Wilk","V80"
"108",1498,"R1","Chip","V80"
"109",2376,"R1","Hodg","V80"
"110",1685,"R1","S200","V80"
"111",1898,"R1","Cors","V80"
"112",1830,"R1","Well","V80"
"113",3059,"R1","Evan","A81"
"114",2613,"R1","Wilk","A81"
"115",2627,"R1","Chip","A81"
"116",3042,"R1","Hodg","A81"
"117",2877,"R1","S200","A81"
"118",4868,"R1","Cors","A81"
"119",2861,"R1","Well","A81"
"120",3023,"R1","Evan","C81"
"121",2937,"R1","Wilk","C81"
"122",1937,"R1","Chip","C81"
"123",2664,"R1","Hodg","C81"
"124",1754,"R1","S200","C81"
"125",2021,"R1","Cors","C81"
"126",1972,"R1","Well","C81"
"127",3553,"R1","Evan","G81"
"128",2619,"R1","Wilk","G81"
