"","loc","gen","yield"
"1","EG","G01",7.8
"2","ES","G01",5.2
"3","KN","G01",2.2
"4","SG","G01",1.5
"5","TB","G01",6
"6","BJ","G01",2.7
"7","IL","G01",3.5
"8","MG","G01",10.6
"9","MS","G01",6.7
"10","AK","G01",6
"11","EB","G01",6.9
"12","SJ","G01",5.6
"13","CA","G01",3.5
"14","SE","G01",7.7
"15","SS","G01",5.6
"16","ID","G01",4
"17","JM","G01",4
"18","SC","G01",4.1
"19","NB","G01",2
"20","PI","G01",3.6
"21","TC","G01",2.9
"22","PA","G01",3.2
"23","SR","G01",0.8
"24","AS","G01",4.1
"25","MM","G01",6.7
"26","EG","G02",8.3
"27","ES","G02",5.4
"28","KN","G02",2.1
"29","SG","G02",1.6
"30","TB","G02",7.2
"31","BJ","G02",3.2
"32","IL","G02",2.8
"33","MG","G02",9.6
"34","MS","G02",7.7
"35","AK","G02",6
"36","EB","G02",7.1
"37","SJ","G02",6.1
"38","CA","G02",2.9
"39","SE","G02",7.8
"40","SS","G02",5.2
"41","ID","G02",5.2
"42","JM","G02",2.9
"43","SC","G02",4.9
"44","NB","G02",2.3
"45","PI","G02",3.8
"46","TC","G02",2.6
"47","PA","G02",2.1
"48","SR","G02",1.3
"49","AS","G02",4.3
"50","MM","G02",4.9
"51","EG","G03",7.7
"52","ES","G03",5.5
"53","KN","G03",2.1
"54","SG","G03",1
"55","TB","G03",6.5
"56","BJ","G03",2.7
"57","IL","G03",2.8
"58","MG","G03",9.1
"59","MS","G03",6.3
"60","AK","G03",5.4
"61","EB","G03",7.5
"62","SJ","G03",4.7
"63","CA","G03",3.2
"64","SE","G03",7.7
"65","SS","G03",5.1
"66","ID","G03",3.6
"67","JM","G03",3.8
"68","SC","G03",4.6
"69","NB","G03",1.4
"70","PI","G03",3.5
"71","TC","G03",1.4
"72","PA","G03",2.6
"73","SR","G03",0.7
"74","AS","G03",3.9
"75","MM","G03",4.4
"76","EG","G04",6.1
"77","ES","G04",5.5
"78","KN","G04",2
"79","SG","G04",1.2
"80","TB","G04",6.7
"81","BJ","G04",3.1
"82","IL","G04",3.9
"83","MG","G04",11.8
"84","MS","G04",8.3
"85","AK","G04",6.3
"86","EB","G04",6.9
"87","SJ","G04",6.4
"88","CA","G04",2.2
"89","SE","G04",8.2
"90","SS","G04",5.7
"91","ID","G04",4.9
"92","JM","G04",4.6
"93","SC","G04",5.5
"94","NB","G04",2.1
"95","PI","G04",3.4
"96","TC","G04",3.1
"97","PA","G04",3
"98","SR","G04",0.7
"99","AS","G04",4.6
"100","MM","G04",6.5
"101","EG","G05",8.1
"102","ES","G05",5.5
"103","KN","G05",1.9
"104","SG","G05",1.4
"105","TB","G05",6.6
"106","BJ","G05",4
"107","IL","G05",3.9
"108","MG","G05",12.5
"109","MS","G05",7.9
"110","AK","G05",5.9
"111","EB","G05",5.8
"112","SJ","G05",6.6
"113","CA","G05",1.8
"114","SE","G05",8.1
"115","SS","G05",6.7
"116","ID","G05",5
"117","JM","G05",3.9
"118","SC","G05",5.3
"119","NB","G05",1.8
"120","PI","G05",3.9
"121","TC","G05",3.4
"122","PA","G05",2.8
"123","SR","G05",1
"124","AS","G05",4
"125","MM","G05",7.5
"126","EG","G06",8.4
"127","ES","G06",5.3
"128","KN","G06",2.6
"129","SG","G06",1.6
"130","TB","G06",4.5
"131","BJ","G06",3.2
"132","IL","G06",4.9
"133","MG","G06",10.9
"134","MS","G06",7.6
"135","AK","G06",6.1
"136","EB","G06",7.2
"137","SJ","G06",6.7
"138","CA","G06",2.7
"139","SE","G06",7.3
"140","SS","G06",5.3
"141","ID","G06",4.7
"142","JM","G06",4.3
"143","SC","G06",4.8
"144","NB","G06",2.1
"145","PI","G06",4.3
"146","TC","G06",2.6
"147","PA","G06",2.3
"148","SR","G06",0.8
"149","AS","G06",4.1
"150","MM","G06",5.4
"151","EG","G07",8.1
"152","ES","G07",5.5
"153","KN","G07",2.2
"154","SG","G07",1.1
"155","TB","G07",6
"156","BJ","G07",3.5
"157","IL","G07",2.1
"158","MG","G07",10.9
"159","MS","G07",7.5
"160","AK","G07",6
"161","EB","G07",5.7
"162","SJ","G07",6.8
"163","CA","G07",2.1
"164","SE","G07",8.4
"165","SS","G07",5.6
"166","ID","G07",5.3
"167","JM","G07",3.9
"168","SC","G07",6
"169","NB","G07",1.9
"170","PI","G07",4.4
"171","TC","G07",3.2
"172","PA","G07",3.6
"173","SR","G07",1
"174","AS","G07",4.5
"175","MM","G07",5.7
"176","EG","G08",8.8
"177","ES","G08",6.2
"178","KN","G08",1.8
"179","SG","G08",1.1
"180","TB","G08",5.5
"181","BJ","G08",2.5
"182","IL","G08",2.5
"183","MG","G08",9.9
"184","MS","G08",7.5
"185","AK","G08",5.9
"186","EB","G08",6.7
"187","SJ","G08",4.8
"188","CA","G08",2.2
"189","SE","G08",7.8
"190","SS","G08",4.5
"191","ID","G08",4.3
