"","rep","block","trt","yield"
"1","R1","B1","p",45
"2","R1","B1","k",55
"3","R1","B1","d",53
"4","R1","B1","npk",36
"5","R1","B1","dnk",41
"6","R1","B1","dnp",48
"7","R1","B1","dpk",55
"8","R1","B1","n",42
"9","R1","B2","dp",50
"10","R1","B2","nk",44
"11","R1","B2","dk",43
"12","R1","B2","pk",51
"13","R1","B2","dnpk",44
"14","R1","B2","(1)",58
"15","R1","B2","dn",41
"16","R1","B2","np",50
"17","R2","B1","npk",43
"18","R2","B1","d",42
"19","R2","B1","p",39
"20","R2","B1","dnk",34
"21","R2","B1","n",47
"22","R2","B1","dnp",52
"23","R2","B1","k",50
"24","R2","B1","dpk",44
"25","R2","B2","nk",43
"26","R2","B2","dp",52
"27","R2","B2","(1)",57
"28","R2","B2","np",39
"29","R2","B2","pk",56
"30","R2","B2","dk",52
"31","R2","B2","dnpk",54
"32","R2","B2","dn",42
