"","trt","block","y"
"1","0","B01",3.55
"2","N","B01",2.3
"3","K","B01",3.96
"4","P","B01",2.99
"5","NK","B01",NA
"6","NP","B01",2.36
"7","KP","B01",2.16
"8","NKP","B01",3.16
"9","0","B02",2.29
"10","N","B02",4.03
"11","K","B02",3.62
"12","P","B02",3.99
"13","NK","B02",3.07
"14","NP","B02",3.47
"15","KP","B02",2.34
"16","NKP","B02",2.52
"17","0","B03",NA
"18","N","B03",2.54
"19","K","B03",3.46
"20","P","B03",2.9
"21","NK","B03",3.49
"22","NP","B03",2.64
"23","KP","B03",1.96
"24","NKP","B03",2.39
"25","0","B04",2
"26","N","B04",2.82
"27","K","B04",2.5
"28","P","B04",3.97
"29","NK","B04",1.07
"30","NP","B04",3.17
"31","KP","B04",2.6
"32","NKP","B04",3.68
"33","0","B05",3.34
"34","N","B05",3.29
"35","K","B05",2.94
"36","P","B05",4.49
"37","NK","B05",3.99
"38","NP","B05",3.26
"39","KP","B05",3.77
"40","NKP","B05",NA
"41","0","B06",3.83
"42","N","B06",2.93
"43","K","B06",3.7
"44","P","B06",4.7
"45","NK","B06",3.48
"46","NP","B06",3.28
"47","KP","B06",NA
"48","NKP","B06",NA
"49","0","B07",3.86
"50","N","B07",NA
"51","K","B07",3.82
"52","P","B07",3.86
"53","NK","B07",3.8
"54","NP","B07",NA
"55","KP","B07",3.2
"56","NKP","B07",3.85
"57","0","B08",3.5
"58","N","B08",2.55
"59","K","B08",2.54
"60","P","B08",NA
"61","NK","B08",3.68
"62","NP","B08",NA
"63","KP","B08",3.47
"64","NKP","B08",3.36
"65","0","B09",2.23
"66","N","B09",2.2
"67","K","B09",3.18
"68","P","B09",3.5
"69","NK","B09",3.24
"70","NP","B09",3.07
"71","KP","B09",2.67
"72","NKP","B09",2.5
"73","0","B10",2.91
"74","N","B10",2.3
"75","K","B10",3.69
"76","P","B10",3.59
"77","NK","B10",2.7
"78","NP","B10",3.12
"79","KP","B10",3.33
"80","NKP","B10",4.13
