"","gen","loc","block","yield"
"1","Tracy","Plymouth","B1",1307
"2","Centennial","Plymouth","B1",1425
"3","N72-137","Plymouth","B1",1289
"4","N72-3058","Plymouth","B1",1250
"5","N72-3148","Plymouth","B1",1546
"6","R73-81","Plymouth","B1",1344
"7","D74-7741","Plymouth","B1",1280
"8","N73-693","Plymouth","B1",1583
"9","N73-877","Plymouth","B1",1656
"10","N73-882","Plymouth","B1",1398
"11","N73-1102","Plymouth","B1",1586
"12","R75-12","Plymouth","B1",911
"13","Tracy","Plymouth","B2",1365
"14","Centennial","Plymouth","B2",1475
"15","N72-137","Plymouth","B2",1671
"16","N72-3058","Plymouth","B2",1202
"17","N72-3148","Plymouth","B2",1489
"18","R73-81","Plymouth","B2",1197
"19","D74-7741","Plymouth","B2",1260
"20","N73-693","Plymouth","B2",1503
"21","N73-877","Plymouth","B2",1371
"22","N73-882","Plymouth","B2",1497
"23","N73-1102","Plymouth","B2",1423
"24","R75-12","Plymouth","B2",1202
"25","Tracy","Plymouth","B3",1542
"26","Centennial","Plymouth","B3",1276
"27","N72-137","Plymouth","B3",1420
"28","N72-3058","Plymouth","B3",1407
"29","N72-3148","Plymouth","B3",1724
"30","R73-81","Plymouth","B3",1319
"31","D74-7741","Plymouth","B3",1605
"32","N73-693","Plymouth","B3",1303
"33","N73-877","Plymouth","B3",1107
"34","N73-882","Plymouth","B3",1583
"35","N73-1102","Plymouth","B3",1524
"36","R75-12","Plymouth","B3",1012
"37","Tracy","Clayton","B1",1178
"38","Centennial","Clayton","B1",1187
"39","N72-137","Clayton","B1",1451
"40","N72-3058","Clayton","B1",1318
"41","N72-3148","Clayton","B1",1345
"42","R73-81","Clayton","B1",1175
"43","D74-7741","Clayton","B1",1111
"44","N73-693","Clayton","B1",1388
"45","N73-877","Clayton","B1",1254
"46","N73-882","Clayton","B1",1179
"47","N73-1102","Clayton","B1",1345
"48","R75-12","Clayton","B1",1136
"49","Tracy","Clayton","B2",1089
"50","Centennial","Clayton","B2",1180
"51","N72-137","Clayton","B2",1177
"52","N72-3058","Clayton","B2",1012
"53","N72-3148","Clayton","B2",1335
"54","R73-81","Clayton","B2",1064
"55","D74-7741","Clayton","B2",1111
"56","N73-693","Clayton","B2",1214
"57","N73-877","Clayton","B2",1249
"58","N73-882","Clayton","B2",1247
"59","N73-1102","Clayton","B2",1265
"60","R75-12","Clayton","B2",1161
"61","Tracy","Clayton","B3",960
"62","Centennial","Clayton","B3",1235
"63","N72-137","Clayton","B3",1723
"64","N72-3058","Clayton","B3",990
"65","N72-3148","Clayton","B3",1303
"66","R73-81","Clayton","B3",1158
"67","D74-7741","Clayton","B3",1099
"68","N73-693","Clayton","B3",1222
"69","N73-877","Clayton","B3",1135
"70","N73-882","Clayton","B3",1096
"71","N73-1102","Clayton","B3",1178
"72","R75-12","Clayton","B3",1004
"73","Tracy","Clinton","B1",1583
"74","Centennial","Clinton","B1",1713
"75","N72-137","Clinton","B1",1369
"76","N72-3058","Clinton","B1",1547
"77","N72-3148","Clinton","B1",1622
"78","R73-81","Clinton","B1",1800
"79","D74-7741","Clinton","B1",1820
"80","N73-693","Clinton","B1",1464
"81","N73-877","Clinton","B1",1775
"82","N73-882","Clinton","B1",1673
"83","N73-1102","Clinton","B1",1894
"84","R75-12","Clinton","B1",1422
"85","Tracy","Clinton","B2",1841
"86","Centennial","Clinton","B2",1684
"87","N72-137","Clinton","B2",1608
"88","N72-3058","Clinton","B2",1647
"89","N72-3148","Clinton","B2",1801
"90","R73-81","Clinton","B2",1787
"91","D74-7741","Clinton","B2",1521
"92","N73-693","Clinton","B2",1607
"93","N73-877","Clinton","B2",1513
"94","N73-882","Clinton","B2",1507
"95","N73-1102","Clinton","B2",1547
"96","R75-12","Clinton","B2",1393
"97","Tracy","Clinton","B3",1464
"98","Centennial","Clinton","B3",1378
"99","N72-137","Clinton","B3",1647
"100","N72-3058","Clinton","B3",1603
"101","N72-3148","Clinton","B3",1929
"102","R73-81","Clinton","B3",1520
"103","D74-7741","Clinton","B3",1851
"104","N73-693","Clinton","B3",1642
"105","N73-877","Clinton","B3",1570
"106","N73-882","Clinton","B3",1390
"107","N73-1102","Clinton","B3",1751
"108","R75-12","Clinton","B3",1342
