"","row","col","yield"
"1",1,1,2.1
"2",2,1,3.8
"3",3,1,5.9
"4",4,1,4.6
"5",5,1,4.7
"6",6,1,5.3
"7",7,1,5.2
"8",8,1,6.2
"9",9,1,4.2
"10",10,1,5.3
"11",11,1,4.6
"12",12,1,5.4
"13",13,1,6
"14",14,1,5
"15",15,1,4.9
"16",16,1,4.6
"17",17,1,4.6
"18",18,1,5
"19",19,1,5.1
"20",20,1,3.9
"21",21,1,6
"22",22,1,5.9
"23",23,1,5.2
"24",24,1,4.6
"25",25,1,5
"26",26,1,5.2
"27",27,1,4.1
"28",28,1,4
"29",29,1,5.4
"30",30,1,5.5
"31",31,1,4.5
"32",32,1,5.3
"33",33,1,5.6
"34",34,1,5.6
"35",35,1,5
"36",36,1,4.9
"37",1,2,3.2
"38",2,2,6.2
"39",3,2,5.2
"40",4,2,4.7
"41",5,2,4.5
"42",6,2,5.9
"43",7,2,6.3
"44",8,2,5
"45",9,2,5.5
"46",10,2,5.9
"47",11,2,6.5
"48",12,2,3.8
"49",13,2,5.7
"50",14,2,5.9
"51",15,2,4.8
"52",16,2,6.7
"53",17,2,5.3
"54",18,2,6.1
"55",19,2,4.4
"56",20,2,5
"57",21,2,5.2
"58",22,2,6.4
"59",23,2,5.8
"60",24,2,4.2
"61",25,2,5.6
"62",26,2,5.6
"63",27,2,5.6
"64",28,2,5.3
"65",29,2,5
"66",30,2,5.4
"67",31,2,4.8
"68",32,2,6.9
"69",33,2,5.6
"70",34,2,5.3
"71",35,2,5.3
"72",36,2,4.4
"73",1,3,5.4
"74",2,3,5.9
"75",3,3,6.7
"76",4,3,5.2
"77",5,3,5.7
"78",6,3,5.5
"79",7,3,5.6
"80",8,3,5
"81",9,3,5.1
"82",10,3,4.9
"83",11,3,6.3
"84",12,3,3.6
"85",13,3,5.3
"86",14,3,5.1
"87",15,3,5.9
"88",16,3,4.8
"89",17,3,5.4
"90",18,3,5.2
"91",19,3,5
"92",20,3,5
"93",21,3,5
"94",22,3,5.3
"95",23,3,5.7
"96",24,3,6
"97",25,3,5.3
"98",26,3,4.7
"99",27,3,5.5
"100",28,3,5
"101",29,3,5.4
"102",30,3,4.7
"103",31,3,5.5
"104",32,3,5.6
"105",33,3,5.3
"106",34,3,4.3
"107",35,3,5.4
"108",36,3,6.1
"109",1,4,4.4
"110",2,4,6
"111",3,4,4.8
"112",4,4,4.6
"113",5,4,4.5
"114",6,4,5
"115",7,4,5
"116",8,4,5.4
"117",9,4,5
"118",10,4,5
"119",11,4,5.1
"120",12,4,4.4
"121",13,4,5.7
"122",14,4,5.2
"123",15,4,5
"124",16,4,5.4
"125",17,4,4.5
"126",18,4,4.5
"127",19,4,4.4
"128",20,4,5.4
"129",21,4,5
"130",22,4,6.3
"131",23,4,4.9
"132",24,4,4
"133",25,4,5.4
"134",26,4,4.6
"135",27,4,5.4
"136",28,4,4.4
"137",29,4,5.2
"138",30,4,6.8
"139",31,4,5.6
"140",32,4,5
"141",33,4,4.8
"142",34,4,4.4
"143",35,4,6
"144",36,4,5
"145",1,5,2.6
"146",2,5,4.4
"147",3,5,5.4
"148",4,5,5
"149",5,5,5.3
"150",6,5,4.4
"151",7,5,5
"152",8,5,5.3
"153",9,5,3.8
"154",10,5,5.6
"155",11,5,4.7
"156",12,5,2.5
"157",13,5,4.2
"158",14,5,5.3
"159",15,5,5.1
"160",16,5,5.5
"161",17,5,4.9
"162",18,5,4
"163",19,5,5.1
"164",20,5,3.6
"165",21,5,4.8
"166",22,5,5
"167",23,5,4.9
"168",24,5,4.8
"169",25,5,4.1
"170",26,5,4.4
"171",27,5,4.9
"172",28,5,5
"173",29,5,4.2
"174",30,5,4.9
"175",31,5,4.2
"176",32,5,6.2
"177",33,5,4.1
"178",34,5,4.6
"179",35,5,3.1
"180",36,5,4.3
"181",1,6,4.2
"182",2,6,5.7
"183",3,6,3.8
"184",4,6,3.5
"185",5,6,3.2
"186",6,6,4.5
"187",7,6,5.8
"188",8,6,5.4
"189",9,6,4.1
"190",10,6,4.9
"191",11,6,5.6
"192",12,6,2.3
"193",13,6,4.5
"194",14,6,5.1
"195",15,6,3.5
"196",16,6,5.1
"197",17,6,4.8
"198",18,6,4.5
"199",19,6,5.9
"200",20,6,5
"201",21,6,5.3
"202",22,6,5.8
"203",23,6,4.6
"204",24,6,4.2
"205",25,6,4.8
"206",26,6,5.1
"207",27,6,4.6
"208",28,6,5.2
"209",29,6,5.4
"210",30,6,5
"211",31,6,5.7
"212",32,6,5.1
"213",33,6,5
"214",34,6,5.4
"215",35,6,3.6
"216",36,6,5.8
"217",1,7,4.7
"218",2,7,4.6
"219",3,7,4.7
"220",4,7,4
"221",5,7,4.8
