"","row","col","oats","wheat"
"1",1,1,1923,15.1
"2",1,2,2066,17
"3",1,3,1943,18.5
"4",1,4,2142,14.6
"5",1,5,1923,10.4
"6",1,6,1964,11.6
"7",10,1,2040,19.1
"8",10,2,2132,18.3
"9",10,3,2060,9.8
"10",10,4,1907,11.6
"11",10,5,2193,11.3
"12",10,6,2244,14.7
"13",11,1,1550,10.7
"14",11,2,1816,13.5
"15",11,3,2162,15
"16",11,4,1709,12.3
"17",11,5,1811,10.9
"18",11,6,3407,20.6
"19",12,1,1775,16.3
"20",12,2,1805,11.9
"21",12,3,1821,13.2
"22",12,4,1775,14.8
"23",12,5,1948,14.3
"24",12,6,4534,29.7
"25",13,1,1892,16.5
"26",13,2,1760,14.2
"27",13,3,1627,14.4
"28",13,4,1734,15.7
"29",13,5,1867,16.3
"30",13,6,4539,30.6
"31",14,1,1841,16.6
"32",14,2,1913,16
"33",14,3,1642,10.3
"34",14,4,1719,14
"35",14,5,1867,17.6
"36",14,6,2984,21.3
"37",15,1,2122,19.6
"38",15,2,1882,18.7
"39",15,3,1438,14.8
"40",15,4,1637,16.6
"41",15,5,1760,15.7
"42",15,6,2040,16.7
"43",16,1,2020,18.4
"44",16,2,2183,17.9
"45",16,3,1663,14
"46",16,4,1775,14.3
"47",16,5,1724,12
"48",16,6,1907,14.9
"49",17,1,1892,16
"50",17,2,1698,15.8
"51",17,3,1403,17.8
"52",17,4,1800,15
"53",17,5,1821,14.6
"54",17,6,1795,17.3
"55",18,1,1601,16.2
"56",18,2,1693,14.6
"57",18,3,1714,15.3
"58",18,4,1464,12.2
"59",18,5,1652,16.3
"60",18,6,1739,14.4
"61",19,1,1637,10.8
"62",19,2,1795,13.3
"63",19,3,1627,17.4
"64",19,4,1795,20.5
"65",19,5,1663,16.1
"66",19,6,1805,14.9
"67",2,1,1846,9.6
"68",2,2,1943,17.3
"69",2,3,1923,15.8
"70",2,4,2055,9.6
"71",2,5,1760,9
"72",2,6,2020,10.9
"73",20,1,1301,10.9
"74",20,2,1668,10.7
"75",20,3,1617,16.8
"76",20,4,1703,14.7
"77",20,5,1714,12.9
"78",20,6,1989,17.5
"79",21,1,1617,10.4
"80",21,2,1688,11.2
"81",21,3,1688,18.3
"82",21,4,1703,20.3
"83",21,5,1744,15.3
"84",21,6,1882,18.6
"85",22,1,1464,13.5
"86",22,2,1719,11.7
"87",22,3,1790,13.7
"88",22,4,1882,19.6
"89",22,5,1824,19.2
"90",22,6,1867,17.7
"91",23,1,1892,18.2
"92",23,2,1933,10.2
"93",23,3,1673,14.8
"94",23,4,1703,15.5
"95",23,5,1749,12.7
"96",23,6,1907,14.7
"97",24,1,1617,12.1
"98",24,2,1709,9.7
"99",24,3,1596,20.8
"100",24,4,1617,19.3
"101",24,5,1505,20.4
"102",24,6,1780,17.9
"103",25,1,1576,13.6
"104",25,2,1561,11.4
"105",25,3,1591,14.6
"106",25,4,1887,18.2
"107",25,5,1601,14.6
"108",25,6,1749,21.1
"109",26,1,1897,14.8
"110",26,2,1545,16.1
"111",26,3,1627,19.1
"112",26,4,1637,17.8
"113",26,5,1622,19.4
"114",26,6,1556,18
"115",27,1,1591,17.5
"116",27,2,1627,13.7
"117",27,3,1816,14.6
"118",27,4,1724,16.2
"119",27,5,1652,16.6
"120",27,6,1637,12.9
"121",28,1,1520,16.8
"122",28,2,1566,17.1
"123",28,3,1632,15.7
"124",28,4,1673,9.7
"125",28,5,1663,13.9
"126",28,6,1545,15.1
