"","row","col","yield"
"1",1,1,1.68
"2",2,1,2.68
"3",3,1,2.85
"4",4,1,2.32
"5",5,1,2.86
"6",6,1,2.62
"7",7,1,2.15
"8",8,1,1.5
"9",9,1,2.38
"10",10,1,2.34
"11",11,1,1.93
"12",12,1,1.86
"13",13,1,2.08
"14",14,1,1.82
"15",15,1,2.07
"16",16,1,2.14
"17",17,1,2.58
"18",18,1,1.84
"19",19,1,1.89
"20",20,1,1.67
"21",21,1,1.64
"22",22,1,1
"23",23,1,1.88
"24",24,1,1.99
"25",25,1,0.9
"26",26,1,1.55
"27",27,1,1.82
"28",28,1,1.54
"29",29,1,1.64
"30",30,1,1.88
"31",31,1,1.62
"32",32,1,2.66
"33",33,1,2.37
"34",34,1,2.1
"35",35,1,1.73
"36",36,1,2.2
"37",1,2,1.85
"38",2,2,2.43
"39",3,2,3.23
"40",4,2,2.49
"41",5,2,2.5
"42",6,2,2.46
"43",7,2,1.78
"44",8,2,2.02
"45",9,2,2.26
"46",10,2,1.85
"47",11,2,2.7
"48",12,2,2.39
"49",13,2,2.4
"50",14,2,1.9
"51",15,2,1.52
"52",16,2,2.45
"53",17,2,2.23
"54",18,2,2.02
"55",19,2,2.66
"56",20,2,2.23
"57",21,2,1.58
"58",22,2,1.55
"59",23,2,1.56
"60",24,2,1.6
"61",25,2,1.12
"62",26,2,1.56
"63",27,2,1.86
"64",28,2,1.64
"65",29,2,1.3
"66",30,2,2.3
"67",31,2,2.34
"68",32,2,2.38
"69",33,2,2.54
"70",34,2,2.6
"71",35,2,2.4
"72",36,2,2.62
"73",1,3,1.48
"74",2,3,2.43
"75",3,3,2.76
"76",4,3,2.71
"77",5,3,2.54
"78",6,3,3
"79",7,3,2.7
"80",8,3,1.62
"81",9,3,2.66
"82",10,3,2.27
"83",11,3,1.91
"84",12,3,1.41
"85",13,3,1.36
"86",14,3,1.87
"87",15,3,1.5
"88",16,3,3.06
"89",17,3,2.17
"90",18,3,2.56
"91",19,3,1.72
"92",20,3,2.05
"93",21,3,2.01
"94",22,3,1.83
"95",23,3,2.25
"96",24,3,1.7
"97",25,3,1.54
"98",26,3,1.67
"99",27,3,1.48
"100",28,3,1.51
"101",29,3,1.87
"102",30,3,1.06
"103",31,3,1.94
"104",32,3,2.58
"105",33,3,2.5
"106",34,3,2.03
"107",35,3,1.71
"108",36,3,2.71
"109",1,4,1.65
"110",2,4,2.81
"111",3,4,2.99
"112",4,4,3.17
"113",5,4,2.75
"114",6,4,2.83
"115",7,4,2.79
"116",8,4,2.52
"117",9,4,1.99
"118",10,4,2.45
"119",11,4,1.93
"120",12,4,2.56
"121",13,4,2.98
"122",14,4,1.95
"123",15,4,2.23
"124",16,4,2.71
"125",17,4,2.39
"126",18,4,2.98
"127",19,4,2.62
"128",20,4,2.9
"129",21,4,1.89
"130",22,4,1.99
"131",23,4,1.7
"132",24,4,2.26
"133",25,4,1.46
"134",26,4,2.03
"135",27,4,1.89
"136",28,4,1.88
"137",29,4,1.37
"138",30,4,1.87
"139",31,4,2.21
"140",32,4,1.94
"141",33,4,2.13
"142",34,4,2.62
"143",35,4,2.29
"144",36,4,2.11
"145",1,5,2.45
"146",2,5,2.51
"147",3,5,2.23
"148",4,5,1.95
"149",5,5,2.56
"150",6,5,2.65
"151",7,5,2.75
"152",8,5,2.73
"153",9,5,1.41
"154",10,5,2.72
"155",11,5,1.63
"156",12,5,1.55
"157",13,5,1.67
"158",14,5,2.28
"159",15,5,1.77
"160",16,5,2.32
"161",17,5,2.37
"162",18,5,2.37
"163",19,5,2.19
"164",20,5,1.82
"165",21,5,2
"166",22,5,1.66
"167",23,5,2.03
"168",24,5,1.49
"169",25,5,1.45
"170",26,5,1.76
"171",27,5,1.75
"172",28,5,1.7
"173",29,5,1.94
"174",30,5,1.54
"175",31,5,2.25
"176",32,5,1.86
"177",33,5,2.88
"178",34,5,1.72
"179",35,5,2.42
"180",36,5,2.18
"181",1,6,1.74
"182",2,6,2.84
"183",3,6,2.9
"184",4,6,2.66
"185",5,6,2.94
"186",6,6,2.24
"187",7,6,2.74
"188",8,6,2.39
"189",9,6,2.23
"190",10,6,2.35
"191",11,6,2.45
"192",12,6,2.19
"193",13,6,2.36
"194",14,6,2.49
"195",15,6,2.05
"196",16,6,2.7
"197",17,6,2.65
"198",18,6,2.4
"199",19,6,2.69
"200",20,6,2.29
"201",21,6,1.66
"202",22,6,1.84
"203",23,6,1.97
"204",24,6,1.96
"205",25,6,1.7
"206",26,6,1.8
"207",27,6,2.1
"208",28,6,1.7
"209",29,6,1.87
"210",30,6,1.92
"211",31,6,1.62
"212",32,6,2.3
"213",33,6,2.41
"214",34,6,2.27
"215",35,6,2.27
"216",36,6,2.25
"217",1,7,1.78
"218",2,7,3
"219",3,7,2.74
"220",4,7,2.05
"221",5,7,2.4
"222",6,7,3.02
"223",7,7,2.92
"224",8,7,2.36
"225",9,7,2.26
"226",10,7,2.2
"227",11,7,2.39
"228",12,7,1.75
"229",13,7,2.62
"230",14,7,1.94
"231",15,7,2.26
"232",16,7,2.34
"233",17,7,2.27
"234",18,7,2.14
"235",19,7,2.35
"236",20,7,2.39
"237",21,7,2.23
"238",22,7,1.95
"239",23,7,1.8
"240",24,7,1.4
"241",25,7,1.76
"242",26,7,1.56
"243",27,7,1.1
"244",28,7,1.76
"245",29,7,1.15
"246",30,7,1.44
"247",31,7,2.78
"248",32,7,2.81
"249",33,7,2.41
"250",34,7,2.38
"251",35,7,2.7
"252",36,7,1.41
"253",1,8,2.23
"254",2,8,1.98
"255",3,8,2.3
"256",4,8,2.2
"257",5,8,2.37
"258",6,8,2.03
"259",7,8,1.57
"260",8,8,2.03
"261",9,8,2.26
"262",10,8,2.23
"263",11,8,2
"264",12,8,2.31
"265",13,8,2.56
"266",14,8,1.77
"267",15,8,1.39
"268",16,8,2.44
"269",17,8,2.77
"270",18,8,2.54
"271",19,8,2.22
"272",20,8,2.27
"273",21,8,2
"274",22,8,1.44
"275",23,8,1.74
"276",24,8,1.58
"277",25,8,1.09
"278",26,8,1.76
"279",27,8,1.8
"280",28,8,1.82
"281",29,8,1.57
"282",30,8,2.15
"283",31,8,2.18
"284",32,8,2
"285",33,8,2.01
"286",34,8,2.1
"287",35,8,2.64
"288",36,8,2.21
"289",1,9,2.94
"290",2,9,2.79
"291",3,9,2.56
"292",4,9,2.55
"293",5,9,2.99
"294",6,9,3.32
"295",7,9,2.53
"296",8,9,1.63
"297",9,9,2.18
"298",10,9,2.39
"299",11,9,2.24
"300",12,9,1.31
"301",13,9,2.35
"302",14,9,2.35
"303",15,9,1.94
"304",16,9,2.05
"305",17,9,2.35
"306",18,9,2.25
"307",19,9,1.52
