"","id","state","county","population","housingUnits","totalArea","waterArea","landArea"
"3","0100000US","Alabama","Autauga County","54571","22135",604.39,9.95,594.44
"4","0100000US","Alabama","Baldwin County","182265","104061",2027.31,437.53,1589.78
"5","0100000US","Alabama","Barbour County","27457","11829(r15033)",904.52,19.64,884.88
"6","0100000US","Alabama","Bibb County","22915","8981",626.17,3.59,622.58
"7","0100000US","Alabama","Blount County","57322","23887",650.63,5.85,644.78
"8","0100000US","Alabama","Bullock County","10914","4493",625.14,2.34,622.8
"9","0100000US","Alabama","Butler County","20947","9964",777.88,1.05,776.83
"10","0100000US","Alabama","Calhoun County","118572","53289",612.29,6.42,605.87
"11","0100000US","Alabama","Chambers County","34215","17004",603.11,6.58,596.53
"12","0100000US","Alabama","Cherokee County","25989","16267",599.98,46.28,553.7
"13","0100000US","Alabama","Chilton County","43643","19278",700.8,7.95,692.85
"14","0100000US","Alabama","Choctaw County","13859","7269",920.86,7.36,913.5
"15","0100000US","Alabama","Clarke County","25833","12638",1252.57,14.11,1238.46
"16","0100000US","Alabama","Clay County","13932","6776",606,2.04,603.96
"17","0100000US","Alabama","Cleburne County","14972","6718",561.01,0.91,560.1
"18","0100000US","Alabama","Coffee County","49948","22330",680.49,1.52,678.97
"19","0100000US","Alabama","Colbert County","54428","25758",622.13,29.51,592.62
"20","0100000US","Alabama","Conecuh County","13228","7093",852.72,2.57,850.16
"21","0100000US","Alabama","Coosa County","11539","6478",666.35,15.42,650.93
"22","0100000US","Alabama","Covington County","37765","18829",1043.79,13.33,1030.46
"23","0100000US","Alabama","Crenshaw County","13906","6735",610.92,2.08,608.84
"24","0100000US","Alabama","Cullman County","80406","37054",755.02,20.18,734.84
"25","0100000US","Alabama","Dale County","50251","22677",562.7,1.55,561.15
"26","0100000US","Alabama","Dallas County","43820","20208",993.8,15.11,978.69
"27","0100000US","Alabama","DeKalb County","71109","31109",778.69,1.59,777.09
"28","0100000US","Alabama","Elmore County","79303","32657",657.04,38.56,618.48
"29","0100000US","Alabama","Escambia County","38319","16486",953.14,8.06,945.08
"30","0100000US","Alabama","Etowah County","104430","47454",548.63,13.64,534.99
"31","0100000US","Alabama","Fayette County","17241","8437",629.36,1.7,627.66
"32","0100000US","Alabama","Franklin County","31704","14022",646.52,12.7,633.82
"33","0100000US","Alabama","Geneva County","26790","12687",578.95,4.54,574.41
"34","0100000US","Alabama","Greene County","9045","5007",659.94,12.83,647.11
"35","0100000US","Alabama","Hale County","15760","7655",656.5,12.56,643.94
"36","0100000US","Alabama","Henry County","17302","8891",568.31,6.56,561.75
"37","0100000US","Alabama","Houston County","101547","45319",581.65,1.83,579.82
"38","0100000US","Alabama","Jackson County","53227","24786",1126.77,48.9,1077.87
"39","0100000US","Alabama","Jefferson County","658466(r38264)","300552(r15062)",1123.81,12.54,1111.28
"40","0100000US","Alabama","Lamar County","14564","7354",605.46,0.62,604.85
"41","0100000US","Alabama","Lauderdale County","92709","43791",720.99,53.29,667.7
"42","0100000US","Alabama","Lawrence County","34339","15229",717.2,26.52,690.68
"43","0100000US","Alabama","Lee County","140247(r38032)","62391(r14841)",615.85,8.31,607.54
