"","study","latent","nearestGene","H4K12ac"
"1","Active","Unexpressed",0,0.693147180559945
"2","Central","Unexpressed",5821,3.89182029811063
"3","Active","Unexpressed",1589,4.49980967033027
"4","Jurkat","Expressed",0,4.45434729625351
"5","Active","Expressed",0,4.54329478227
"6","Bcl-2","Unexpressed",0,4.44265125649032
"7","Bcl-2","Unexpressed",0,4.27666611901606
"8","Bcl-2","Unexpressed",0,4.43081679884331
"9","Central","Expressed",0,4.44265125649032
"10","Central","Expressed",0,4.63472898822964
"11","Resting","Expressed",1266,5.01727983681492
"12","Central","Expressed",0,5.12396397940326
"13","Bcl-2","Expressed",0,5.11198778835654
"14","Bcl-2","Unexpressed",0,4.94875989037817
"15","Active","Unexpressed",0,4.81218435537242
"16","Central","Unexpressed",0,5.05624580534831
"17","Jurkat","Expressed",0,5.04985600724954
"18","Central","Expressed",0,4.95582705760126
"19","Jurkat","Expressed",0,5.31811999384422
"20","Active","Unexpressed",0,4.79579054559674
"21","Resting","Unexpressed",0,5.34233425196481
"22","Central","Unexpressed",0,5.5834963087817
"23","Central","Expressed",0,5.73009978297357
"24","Active","Expressed",0,5.92157841964382
"25","Active","Expressed",0,5.97635090929793
"26","Central","Expressed",0,6.09356977004514
"27","Central","Expressed",0,6.13122648948314
"28","Active","Expressed",0,6.17586727010576
"29","Central","Expressed",0,6.20859002609663
"30","Central","Expressed",0,6.19031540585315
"31","Resting","Unexpressed",0,6.16120732169508
"32","Central","Expressed",0,6.11368217983223
"33","Jurkat","Unexpressed",0,6.10702288774225
"34","Active","Expressed",0,6.10479323241498
"35","Bcl-2","Unexpressed",0,6.10255859461357
"36","Resting","Unexpressed",0,5.89989735358249
"37","Active","Expressed",0,5.89989735358249
"38","Jurkat","Expressed",0,5.84932477994686
"39","Central","Unexpressed",0,5.84932477994686
"40","Central","Expressed",0,4.86753445045558
"41","Resting","Expressed",0,5.59471137960184
"42","Active","Unexpressed",0,5.60947179518496
"43","Central","Expressed",0,5.75257263882563
"44","Bcl-2","Unexpressed",0,5.15329159449778
"45","Resting","Unexpressed",7897,5.04985600724954
"46","Central","Unexpressed",1013,4.85981240436167
"47","Central","Expressed",0,4.94875989037817
"48","Active","Unexpressed",0,5.24174701505964
"49","Central","Expressed",0,5.37063802812766
"50","Central","Unexpressed",0,4.9416424226093
"51","Jurkat","Expressed",0,4.91265488573605
"52","Active","Unexpressed",0,4.94875989037817
"53","Central","Unexpressed",593,4.65396035015752
"54","Central","Expressed",0,5.35658627467201
"55","Jurkat","Unexpressed",0,5.14749447681345
"56","Jurkat","Unexpressed",0,5.24702407216049
"57","Central","Expressed",0,5.34233425196481
"58","Resting","Expressed",0,5.42053499927229
"59","Central","Expressed",0,4.27666611901606
"60","Central","Unexpressed",3089,5.2257466737132
"61","Central","Unexpressed",37352,4.27666611901606
"62","Active","Expressed",0,6.23832462503951
"63","Bcl-2","Unexpressed",0,6.24027584517077
"64","Active","Expressed",0,6.23832462503951
"65","Active","Expressed",0,6.24610676548156
"66","Resting","Expressed",0,6.18620862390049
"67","Resting","Unexpressed",0,6.18208490671663
"68","Central","Expressed",0,5.8805329864007
"69","Resting","Unexpressed",0,5.87211778947542
"70","Active","Expressed",0,5.77455154554441
"71","Resting","Expressed",0,5.75257263882563
"72","Central","Expressed",0,5.64897423816121
"73","Central","Unexpressed",0,5.64544689764324
"74","Central","Expressed",0,5.55682806169954
"75","Active","Unexpressed",0,5.27811465923052
"76","Central","Expressed",0,5.36597601502185
"77","Central","Expressed",0,5.33271879326537
"78","Central","Expressed",0,5.21493575760899
"79","Central","Expressed",0,5.16478597392351
"80","Central","Expressed",0,5.17614973257383
"81","Central","Unexpressed",0,5.22035582507832
"82","Resting","Unexpressed",0,5.14749447681345
"83","Resting","Unexpressed",0,5.19849703126583
"84","Bcl-2","Expressed",0,5.12989871492307
"85","Active","Unexpressed",3324,4.96284463025991
"86","Active","Unexpressed",0,4.97673374242057
"87","Central","Expressed",0,4.97673374242057
"88","Central","Unexpressed",0,5.01063529409626
"89","Central","Expressed",15392,5.78996017089725
"90","Central","Expressed",0,6.06145691892802
"91","Active","Expressed",0,6.08221891037645
"92","Resting","Unexpressed",0,6.10255859461357
"93","Resting","Unexpressed",0,6.10255859461357
"94","Central","Expressed",0,6.09807428216624
"95","Active","Expressed",0,6.07993319509559
"96","Resting","Unexpressed",0,6.06378520868761
"97","Resting","Unexpressed",0,6.05208916892442
"98","Bcl-2","Unexpressed",0,5.90536184805457
"99","Central","Unexpressed",0,5.49306144334055
"100","Central","Expressed",0,5.32787616878958
"101","Central","Expressed",0,5.18738580584075
