"","method","experience","hits"
"1","control","no",1
"2","control","no",1
"3","control","no",1
"4","control","no",3
"5","control","no",3
"6","control","no",3
"7","control","no",5
"8","control","no",5
"9","control","no",5
"10","control","yes",1
"11","control","yes",1
"12","control","yes",1
"13","control","yes",3
"14","control","yes",3
"15","control","yes",3
"16","control","yes",5
"17","control","yes",5
"18","control","yes",5
"19","Ralphing","no",4
"20","Ralphing","no",4
"21","Ralphing","no",4
"22","Ralphing","no",5
"23","Ralphing","no",5
"24","Ralphing","no",5
"25","Ralphing","no",6
"26","Ralphing","no",6
"27","Ralphing","no",6
"28","Ralphing","yes",6
"29","Ralphing","yes",6
"30","Ralphing","yes",6
"31","Ralphing","yes",7
"32","Ralphing","yes",7
"33","Ralphing","yes",7
"34","Ralphing","yes",8
"35","Ralphing","yes",8
"36","Ralphing","yes",8
