"","time","m30"
"1",1973.5,1469.875
"2",1973.58333333333,1483.772
"3",1973.66666666667,1616.328
"4",1973.75,1481.634
"5",1973.83333333333,1490.186
"6",1973.91666666667,1247.523
"7",1974,1188.728
"8",1974.08333333333,812.44
"9",1974.16666666667,992.032
"10",1974.25,1034.792
"11",1974.33333333333,1103.208
"12",1974.41666666667,1327.698
"13",1974.5,1416.425
"14",1974.58333333333,1366.182
"15",1974.66666666667,1335.181
"16",1974.75,1232.557
"17",1974.83333333333,1238.971
"18",1974.91666666667,1401.459
"19",1975,1269.972
"20",1975.08333333333,842.372
"21",1975.16666666667,1030.516
"22",1975.25,924.685
"23",1975.33333333333,1090.38
"24",1975.41666666667,1229.35
"25",1975.5,1503.014
"26",1975.58333333333,1355.492
"27",1975.66666666667,1214.384
"28",1975.75,1282.8
"29",1975.83333333333,1186.59
"30",1975.91666666667,1149.175
"31",1976,1236.833
"32",1976.08333333333,904.374
"33",1976.16666666667,969.583
"34",1976.25,1012.343
"35",1976.33333333333,1237.902
"36",1976.41666666667,1369.389
"37",1976.5,1631.294
"38",1976.58333333333,1431.391
"39",1976.66666666667,1278.524
"40",1976.75,1354.423
"41",1976.83333333333,1195.142
"42",1976.91666666667,1117.105
"43",1977,1181.245
"44",1977.08333333333,859.476
"45",1977.16666666667,985.618
"46",1977.25,977.066
"47",1977.33333333333,1172.693
"48",1977.41666666667,1097.863
"49",1977.5,1460.254
"50",1977.58333333333,1168.417
"51",1977.66666666667,1154.52
"52",1977.75,1415.356
"53",1977.83333333333,1245.385
"54",1977.91666666667,1290.283
"55",1978,1273.179
"56",1978.08333333333,763.266
"57",1978.16666666667,981.342
"58",1978.25,916.133
"59",1978.33333333333,987.756
"60",1978.41666666667,1203.694
"61",1978.5,1273.179
"62",1978.58333333333,1014.481
"63",1978.66666666667,1063.655
"64",1978.75,1233.626
"65",1978.83333333333,1116.036
"66",1978.91666666667,1148.106
"67",1979,1024.102
"68",1979.08333333333,856.269
"69",1979.16666666667,972.79
"70",1979.25,1028.378
"71",1979.33333333333,1073.276
"72",1979.41666666667,1156.658
"73",1979.5,1399.321
"74",1979.58333333333,1199.418
"75",1979.66666666667,1085.035
"76",1979.75,1202.625
"77",1979.83333333333,1205.832
"78",1979.91666666667,1137.416
"79",1980,1154.52
"80",1980.08333333333,813.509
"81",1980.16666666667,948.203
"82",1980.25,956.755
"83",1980.33333333333,1097.863
"84",1980.41666666667,1170.555
"85",1980.5,1278.524
"86",1980.58333333333,1294.559
"87",1980.66666666667,1154.52
"88",1980.75,1266.765
"89",1980.83333333333,1166.279
"90",1980.91666666667,1106.415
"91",1981,1141.692
"92",1981.08333333333,770.749
"93",1981.16666666667,940.72
"94",1981.25,896.891
"95",1981.33333333333,1082.897
"96",1981.41666666667,1082.897
"97",1981.5,1320.215
"98",1981.58333333333,1348.009
"99",1981.66666666667,1112.829
"100",1981.75,1327.698
"101",1981.83333333333,1103.208
"102",1981.91666666667,1157.727
"103",1982,1097.863
"104",1982.08333333333,820.992
"105",1982.16666666667,916.133
"106",1982.25,969.583
"107",1982.33333333333,1133.14
"108",1982.41666666667,1135.278
"109",1982.5,1490.186
"110",1982.58333333333,1070.069
"111",1982.66666666667,1071.138
"112",1982.75,1222.936
"113",1982.83333333333,1081.828
"114",1982.91666666667,1257.144
"115",1983,1147.037
"116",1983.08333333333,716.23
"117",1983.16666666667,846.648
"118",1983.25,916.133
"119",1983.33333333333,958.893
"120",1983.41666666667,1073.276
"121",1983.5,1412.149
"122",1983.58333333333,1117.105
"123",1983.66666666667,1178.038
"124",1983.75,1187.659
"125",1983.83333333333,1075.414
"126",1983.91666666667,1141.692
"127",1984,1158.796
"128",1984.08333333333,793.198
"129",1984.16666666667,876.58
"130",1984.25,861.614
"131",1984.33333333333,941.789
"132",1984.41666666667,1077.552
"133",1984.5,1233.626
"134",1984.58333333333,1037.999
"135",1984.66666666667,1086.104
"136",1984.75,1132.071
"137",1984.83333333333,1134.209
"138",1984.91666666667,1157.727
"139",1985,641.4
"140",1985.08333333333,653.159
"141",1985.16666666667,770.749
"142",1985.25,754.714
"143",1985.33333333333,931.099
"144",1985.41666666667,1059.379
"145",1985.5,1167.348
"146",1985.58333333333,1178.038
"147",1985.66666666667,1018.757
"148",1985.75,1061.517
"149",1985.83333333333,967.445
"150",1985.91666666667,964.238
"151",1986,882.994
"152",1986.08333333333,615.744
"153",1986.16666666667,787.853
"154",1986.25,794.267
