"","sand","silt","clay"
"1",74.5,20,5.5
"2",92.2,4.6,3.2
"3",67,15,18
"4",55,26.9,18.1
"5",34.6,33.6,31.8
"6",71,22,7
"7",70.8,21.7,7.5
"8",41,12,47
"9",40,22,38
"10",13,73.4,13.6
"11",21.5,62.9,15.6
"12",46,28.1,25.9
"13",62.5,29.7,7.8
"14",61.2,27.8,11
"15",4.7,37.3,58
"16",61,20.4,18.6
"17",62.1,23.2,14.7
"18",97.85,0.95,1.2
"19",93,4.6,2.4
"20",21.5,56.6,21.9
"21",95.5,3,1.5
"22",20.5,34.5,45
"23",3.5,39.5,57
"24",45,32.4,22.6
"25",41,43.3,15.7
"26",59,26.6,14.4
"27",21.3,43.5,35.2
"28",28,36,36
"29",90,5.6,4.4
"30",44.2,39.5,16.3
"31",18,73,9
"32",16.5,34.5,49
"33",10.5,35.5,54
"34",53.5,27.9,18.6
"35",64.5,24.5,11
"36",95.5,3,1.5
"37",93.8,4.7,1.5
"38",8.3,74.7,17
"39",41.6,42.1,16.3
"40",40,41.7,18.3
"41",11.8,37.4,50.8
"42",7.2,39.6,53.2
"43",66.3,22.5,11.2
"44",65,15.6,19.4
"45",28.8,50,21.2
"46",36,53,11
"47",97.5,1.8,0.7
"48",23,50.2,26.8
"49",60.5,21.2,18.3
"50",39,37,24
"51",39,37,24
"52",94,5,1
"53",92.9,4.1,3
"54",6,87,7
"55",9.3,76.7,14
"56",13.8,38.9,47.3
"57",11.6,34,54.4
"58",43.96,28.24,27.8
"59",34.3,34.58,31.12
"60",48.21,29.79,22
"61",60.29,24,15.71
"62",44.49,28.93,26.58
"63",11.29,44.18,44.53
"64",55.74,35.51,8.75
"65",50.13,39.75,10.12
"66",49.89,39.36,10.75
"67",50.13,39.11,10.76
"68",44.62,40.83,14.55
"69",44.62,40.8,14.58
"70",43.06,46.24,10.7
"71",44.45,45.55,10
"72",45.85,42.89,11.26
"73",51.4,41.84,6.76
"74",82.76,10.99,6.25
"75",81.51,9.74,8.75
"76",37.4,51.16,11.44
"77",31.79,54.87,13.34
"78",64.47,24.28,11.25
"79",38.71,48.79,12.5
"80",23.62,62.63,13.75
"81",29.1,55.67,15.23
"82",40.81,44.75,14.44
"83",24.89,59.23,15.88
"84",35.6,48.15,16.25
"85",43.83,39.92,16.25
"86",32.91,50.84,16.25
"87",42.2,40.41,17.39
"88",17.32,65.18,17.5
"89",40.47,41.38,18.15
"90",31.24,50.55,18.21
"91",57.66,21.61,20.73
"92",35.01,45.51,19.48
"93",31.66,48.1,20.24
"94",23.14,55.35,21.51
"95",36.77,41.23,22
"96",19.07,57.47,23.46
"97",56.67,20.83,22.5
"98",34.68,39.87,25.45
"99",25.37,47.13,27.5
"100",17.47,52.98,29.55
"101",18.8,45.38,35.82
"102",14.24,49.51,36.25
"103",23.24,39.52,37.24
"104",16.15,43.83,40.02
"105",15.39,42.06,42.55
"106",81.58,15.27,3.15
"107",76.33,16.17,7.5
"108",61.82,24.43,13.75
"109",73.71,10.04,16.25
"110",68.57,13.21,18.22
"111",69.36,24.39,6.25
"112",66.82,25.68,7.5
"113",54.98,33.66,11.36
"114",28.91,47.82,23.27
"115",20.32,53.12,26.56
"116",27.53,41.22,31.25
"117",12.57,49.93,37.5
"118",25.74,35.51,38.75
"119",73.7,16.3,10
"120",21.78,58.79,19.43
"121",47.68,24.02,28.3
"122",47.78,23.16,29.06
"123",60.38,17.12,22.5
"124",56.67,20.83,22.5
"125",57.85,20.9,21.25
