"","father.ornament","son.attract"
"1",0.35,-0.32
"2",0.03,-0.03
"3",0.14,0.11
"4",0.1,0.28
"5",0.22,0.31
"6",0.23,0.18
"7",0.3,0.29
"8",0.32,0.27
"9",0.31,0.19
"10",0.31,0.12
"11",0.39,0.04
"12",0.33,-0.08
"13",0.56,-0.11
"14",0.67,0.15
"15",0.58,0.18
"16",1.01,0.55
"17",0.93,0.81
"18",0.62,0.48
"19",0.65,0.46
"20",0.52,0.41
"21",0.48,0.4
"22",0.42,0.44
"23",0.46,0.5
"24",0.49,0.64
"25",0.35,0.61
"26",0.38,0.77
"27",0.45,0.83
"28",0.45,0.8
"29",0.45,0.8
"30",0.47,0.98
"31",0.54,0.97
"32",0.61,0.96
"33",0.61,0.93
"34",0.83,1.19
"35",0.99,1.2
"36",1.12,1.23
