"","hours","hypoxanthine"
"1",1.5,29
"2",2.1,28
"3",2.8,26
"4",3.9,18
"5",3.9,11
"6",3.4,5
"7",2.9,0
"8",5.4,3
"9",7.9,31
"10",10,5
"11",10.5,4
"12",5.4,57
"13",13,16
"14",10.4,16
"15",12.9,33
"16",13.9,48
"17",15.5,47
"18",15.5,22
"19",19,20
"20",19,16
"21",19.7,36
"22",23.4,3
"23",17.9,47
"24",18.4,67
"25",18.4,89
"26",17.5,93
"27",17,73
"28",14.4,76
"29",12.4,85
"30",12.4,120
"31",10.9,123
"32",25,154
"33",24,84
"34",24,81
"35",23.1,45
"36",26.1,58
"37",30,77
"38",31.5,39
"39",32.9,112
"40",32.9,138
"41",36.5,114
"42",41.1,128
"43",43,131
"44",43.4,123
"45",42.5,111
"46",46,90
"47",53.1,164
"48",81.2,357
