"","horn.length","group"
"1",25.2,"living"
"2",26.9,"living"
"3",26.6,"living"
"4",25.6,"living"
"5",25.7,"living"
"6",25.9,"living"
"7",27.3,"living"
"8",25.1,"living"
"9",30.3,"living"
"10",25.6,"living"
"11",26,"living"
"12",24.6,"living"
"13",25.6,"living"
"14",25.3,"living"
"15",23.5,"living"
"16",24.5,"living"
"17",23.3,"living"
"18",26,"living"
"19",23.9,"living"
"20",27.3,"living"
"21",25.4,"living"
"22",25.5,"living"
"23",21.4,"living"
"24",23.8,"living"
"25",25.5,"living"
"26",19.2,"living"
"27",20.7,"living"
"28",19.2,"living"
"29",25.5,"living"
"30",20.5,"living"
"31",20.6,"living"
"32",24.9,"living"
"33",23.7,"living"
"34",23.4,"living"
"35",25.6,"living"
"36",26.6,"living"
"37",27.7,"living"
"38",25.7,"living"
"39",27,"living"
"40",26.5,"living"
"41",25,"living"
"42",19.7,"living"
"43",27.1,"living"
"44",23,"living"
"45",22.7,"living"
"46",25.8,"living"
"47",28.8,"living"
"48",23.5,"living"
"49",23.2,"living"
"50",25.3,"living"
"51",23.8,"living"
"52",25.1,"living"
"53",26.7,"living"
"54",27.1,"living"
"55",22.5,"living"
"56",25.5,"living"
"57",24.4,"living"
"58",25.6,"living"
"59",20.6,"living"
"60",25.5,"living"
"61",24.5,"living"
"62",23,"living"
"63",27.6,"living"
"64",27.3,"living"
"65",20.7,"living"
"66",26,"living"
"67",25.1,"living"
"68",19.9,"living"
"69",23.5,"living"
"70",24.8,"living"
"71",22.4,"living"
"72",24.7,"living"
"73",27.5,"living"
"74",21.5,"living"
"75",24,"living"
"76",22.4,"living"
"77",21.3,"living"
"78",25,"living"
"79",24.3,"living"
"80",24.5,"living"
"81",23.6,"living"
"82",21.1,"living"
"83",25.6,"living"
"84",26.1,"living"
"85",23.7,"living"
"86",24.2,"living"
"87",23.2,"living"
"88",26.5,"living"
"89",28.1,"living"
"90",24.1,"living"
"91",29.5,"living"
"92",24,"living"
"93",26.8,"living"
"94",25.8,"living"
"95",23.3,"living"
"96",22.4,"living"
"97",24.2,"living"
"98",26.1,"living"
"99",23.2,"living"
"100",21.7,"living"
"101",24.7,"living"
"102",21.4,"living"
"103",18.5,"living"
"104",23.2,"living"
"105",NA,"living"
"106",21.5,"living"
"107",29.1,"living"
"108",21.7,"living"
"109",23.5,"living"
"110",23,"living"
"111",20,"living"
"112",21.9,"living"
"113",27.4,"living"
"114",27.1,"living"
"115",23.1,"living"
"116",23.8,"living"
"117",26.5,"living"
"118",27,"living"
"119",26.4,"living"
"120",26.3,"living"
"121",20.6,"living"
"122",24.5,"living"
"123",22.8,"living"
"124",25.5,"living"
"125",25.3,"living"
"126",28,"living"
"127",20.8,"living"
"128",25.9,"living"
"129",24,"living"
"130",22.5,"living"
"131",26.3,"living"
"132",23.3,"living"
"133",24.5,"living"
"134",21.6,"living"
"135",23.6,"living"
"136",23,"living"
"137",22.4,"living"
"138",27.4,"living"
"139",25,"living"
"140",23.9,"living"
"141",28.2,"living"
"142",27.2,"living"
"143",13.1,"living"
"144",22.9,"living"
"145",26.6,"living"
"146",25.8,"living"
"147",26.3,"living"
"148",20.9,"living"
"149",25.6,"living"
"150",24.8,"living"
"151",19.2,"living"
"152",27.4,"living"
"153",24.2,"living"
"154",15.7,"living"
"155",17.7,"living"
"156",21.4,"killed"
"157",23.9,"killed"
"158",23.2,"killed"
"159",22.6,"killed"
"160",22.5,"killed"
"161",19.3,"killed"
"162",23.5,"killed"
"163",23.4,"killed"
"164",19,"killed"
"165",21.7,"killed"
"166",20.2,"killed"
"167",26.7,"killed"
"168",21.7,"killed"
"169",21,"killed"
"170",23.9,"killed"
"171",24.6,"killed"
"172",21.6,"killed"
"173",25.3,"killed"
"174",25,"killed"
"175",25.2,"killed"
"176",15.2,"killed"
"177",22.9,"killed"
"178",21.4,"killed"
"179",23.9,"killed"
"180",17.2,"killed"
"181",15.5,"killed"
"182",22,"killed"
"183",22,"killed"
"184",23.1,"killed"
"185",20.7,"killed"
