"","caste","ln.mass","ln.energy"
"1","worker",3.85014760171006,3.68887945411394
"2","worker",3.98898404656427,3.68887945411394
"3","worker",4.11087386417331,3.68887945411394
"4","worker",4.17438726989564,3.66356164612965
"5","worker",4.24849524204936,3.87120101090789
"6","worker",4.26267987704132,3.85014760171006
"7","worker",4.34380542185368,3.93182563272433
"8","worker",4.48863636973214,3.68887945411394
"9","worker",4.51085950651685,3.95124371858143
"10","worker",3.95124371858143,4.11087386417331
"11","worker",3.98898404656427,4.18965474202643
"12","worker",4.15888308335967,4.14313472639153
"13","worker",4.23410650459726,4.26267987704132
"14","worker",4.27666611901606,4.24849524204936
"15","worker",4.24849524204936,4.51085950651685
"16","worker",4.46590811865458,4.39444915467244
"17","worker",4.53259949315326,4.21950770517611
"18","worker",4.51085950651685,4.48863636973214
"19","worker",4.8283137373023,4.64439089914137
"20","worker",4.75359019110636,5.01727983681492
"21","worker",4.87519732320115,5.04342511691925
"22","lazy",4.38202663467388,3.8286413964891
"23","lazy",4.54329478227,4.14313472639153
"24","lazy",4.91265488573605,3.55534806148941
"25","lazy",4.70048036579242,4.06044301054642
"26","lazy",4.70048036579242,4.0943445622221
"27","lazy",4.76217393479776,4.30406509320417
"28","lazy",4.85981240436167,4.0943445622221
"29","lazy",5.05624580534831,4.4188406077966
"30","lazy",5.26269018890489,4.23410650459726
"31","lazy",5.14749447681345,4.49980967033027
"32","lazy",5.08759633523238,4.57471097850338
"33","lazy",4.99721227376411,4.53259949315326
"34","lazy",4.87519732320115,4.61512051684126
"35","lazy",4.81218435537242,4.48863636973214
