"","lizard","speed"
"1",1,1.43
"2",1,1.37
"3",2,1.56
"4",2,1.3
"5",3,1.64
"6",3,1.36
"7",4,2.13
"8",4,1.54
"9",5,1.96
"10",5,1.82
"11",6,1.89
"12",6,1.79
"13",7,1.72
"14",7,1.72
"15",8,1.8
"16",8,1.8
"17",9,1.87
"18",9,1.87
"19",10,1.61
"20",10,1.88
"21",11,1.6
"22",11,1.98
"23",12,1.71
"24",12,2.08
"25",13,1.83
"26",13,2.16
"27",14,1.92
"28",14,2.08
"29",15,1.9
"30",15,2.01
"31",16,2.06
"32",16,2.03
"33",17,2.06
"34",17,1.97
"35",18,2.28
"36",18,2.05
"37",19,2.44
"38",19,1.92
"39",20,2.23
"40",20,2.12
"41",21,2.53
"42",21,2.11
"43",22,2.2
"44",22,2.22
"45",23,2.16
"46",23,2.27
"47",24,2.25
"48",24,2.39
"49",25,2.42
"50",25,2.33
"51",26,2.61
"52",26,2.33
"53",27,2.62
"54",27,2.39
"55",28,3.09
"56",28,2.17
"57",29,2.13
"58",29,2.54
"59",30,2.44
"60",30,2.63
"61",31,2.76
"62",31,2.69
"63",32,2.96
"64",32,2.64
"65",33,3.13
"66",33,2.81
"67",34,3.27
"68",34,2.88
