"","treatment","percent.stretching","trt"
"1","Both Writhing",36.7,"bw"
"2","Both Writhing",81.1,"bw"
"3","Both Writhing",66.7,"bw"
"4","Both Writhing",66.7,"bw"
"5","Both Writhing",44.4,"bw"
"6","Both Writhing",54.4,"bw"
"7","Both Writhing",63.3,"bw"
"8","Both Writhing",62.2,"bw"
"9","Both Writhing",58.9,"bw"
"10","Both Writhing",50,"bw"
"11","Both Writhing",54.4,"bw"
"12","Both Writhing",57.8,"bw"
"13","One Writhing",56.7,"ow"
"14","One Writhing",51.1,"ow"
"15","One Writhing",50,"ow"
"16","One Writhing",51.1,"ow"
"17","One Writhing",44.4,"ow"
"18","One Writhing",2.2,"ow"
"19","One Writhing",41.1,"ow"
"20","One Writhing",33.3,"ow"
"21","One Writhing",25.6,"ow"
"22","One Writhing",22.2,"ow"
"23","One Writhing",14.4,"ow"
"24","One Writhing",3.3,"ow"
"25","One Writhing",64.4,"ow"
"26","Isolated",46.7,"iso"
"27","Isolated",38.9,"iso"
"28","Isolated",65.6,"iso"
"29","Isolated",35.6,"iso"
"30","Isolated",32.2,"iso"
"31","Isolated",30,"iso"
"32","Isolated",41.1,"iso"
"33","Isolated",63.3,"iso"
"34","Isolated",0,"iso"
"35","Isolated",53.3,"iso"
"36","Isolated",22.2,"iso"
"37","Isolated",48.9,"iso"
"38","Isolated",5.6,"iso"
"39","Isolated",14.4,"iso"
"40","Isolated",46.7,"iso"
"41","Isolated",45.6,"iso"
"42","Isolated",42.2,"iso"
