"","age","length"
"1",5337,131
"2",2081,123
"3",2085,122
"4",4299,136
"5",2861,122
"6",5052,131
"7",5417,131
"8",2862,135
"9",2132,123
"10",3595,125
"11",4690,128
"12",4327,134
"13",3600,128
"14",1775,116
"15",2870,128
"16",2870,126
"17",4332,135
"18",2507,123
"19",2507,127
"20",2872,121
"21",1780,115
"22",2510,104
"23",3240,119
"24",4700,134
"25",2510,121
"26",2145,122
"27",2510,124
"28",3240,116
"29",1415,121
"30",2145,119
"31",2145,127
"32",3970,122
"33",2145,119
"34",4336,129
"35",1781,116
"36",2876,121
"37",2146,124
"38",2511,126
"39",3971,131
"40",2877,125
"41",2147,130
"42",6162,123
"43",3173,121
"44",6095,128
"45",6460,127
"46",2811,122
"47",2811,119
"48",3541,119
"49",2447,119
"50",4272,115
"51",5002,128
"52",6098,119
"53",6098,134
"54",4638,133
"55",5368,127
"56",2448,118
"57",3908,119
"58",3178,120
"59",2815,124
"60",2815,118
"61",6100,140
"62",3550,144
"63",3186,114
"64",2458,121
"65",5013,116
"66",2458,115
"67",5754,123
"68",1744,115
"69",5403,119
"70",2118,111
"71",3213,113
"72",4673,117
"73",3213,122
"74",1753,113
"75",4674,120
"76",3214,121
"77",3579,126
"78",5039,141
"79",4674,136
"80",5039,119
"81",5041,124
"82",3216,120
"83",2121,110
"84",6136,122
"85",5041,119
"86",4311,123
"87",3946,126
"88",2486,112
"89",4311,126
"90",1391,115
"91",2487,123
"92",6137,128
"93",5408,128
"94",5798,129
"95",2878,133
"96",3243,135
"97",2148,115
"98",2878,128
"99",3973,125
"100",1783,119
"101",5798,129
"102",2148,125
"103",3973,128
"104",3975,129
"105",2515,121
"106",6165,129
"107",1420,124
"108",1785,118
"109",1785,125
"110",3610,128
"111",2150,117
"112",1785,129
"113",3245,118
"114",5070,143
"115",2150,123
"116",2150,126
"117",1785,124
"118",2152,131
"119",4342,124
"120",1423,117
"121",2518,123
"122",2518,122
"123",2883,137
"124",2884,137
"125",2519,119
"126",3615,129
"127",2521,123
"128",1803,119
"129",3263,120
"130",1803,116
"131",2898,126
"132",3263,132
"133",2533,121
"134",4956,137
"135",6087,119
"136",2437,119
"137",4992,130
"138",6087,125
"139",2072,114
"140",3167,121
"141",5725,115
"142",4265,130
"143",3175,129
"144",5365,124
"145",6460,129
"146",2813,123
"147",3543,130
"148",3180,125
"149",2815,129
"150",2451,115
"151",5736,119
"152",3181,127
"153",5006,124
"154",1721,114
"155",5736,130
"156",3546,128
"157",2086,118
"158",2089,113
"159",3185,127
"160",6106,128
"161",2821,119
"162",2456,128
"163",2821,115
"164",3186,121
"165",3551,119
"166",2821,123
"167",2821,122
"168",4281,119
"169",1726,112
"170",6106,129
"171",1361,110
"172",4647,126
"173",3188,123
"174",1728,117
"175",3188,126
"176",3188,129
"177",2458,121
"178",3188,132
"179",2458,120
"180",1728,121
"181",2823,125
"182",2100,118
"183",2465,112
"184",2465,111
"185",1735,112
"186",2830,121
"187",4655,133
"188",3195,127
"189",2830,120
"190",5386,128
"191",2101,115
"192",2831,129
"193",5386,134
"194",2466,130
"195",2102,110
"196",2832,123
"197",2467,112
"198",2102,124
"199",3197,114
"200",1737,115
"201",3197,113
"202",2832,122
"203",5752,129
"204",5752,120
"205",5390,122
"206",2835,129
"207",2470,117
"208",2835,116
"209",3200,120
"210",1376,114
"211",2472,116
"212",2472,114
"213",2107,117
"214",1377,114
"215",2837,132
"216",3567,122
"217",5757,122
"218",3567,120
"219",5757,127
"220",4297,120
"221",3202,142
"222",5757,130
"223",5757,126
"224",2475,111
"225",2110,117
"226",1747,116
"227",2842,123
"228",6130,127
"229",4305,124
"230",2480,119
"231",3575,131
"232",2116,108
"233",3211,114
"234",2116,108
"235",1751,113
"236",1751,118
"237",2116,121
"238",2847,116
"239",2117,116
"240",3212,119
"241",2119,118
"242",4675,126
"243",4310,122
"244",3215,116
"245",3215,118
"246",3580,126
"247",3215,129
"248",2487,112
"249",2122,117
"250",2122,114
"251",2487,117
"252",3217,128
"253",2487,108
"254",2487,119
"255",4678,116
"256",2853,114
"257",2130,115
"258",2130,116
"259",2861,119
"260",2496,124
"261",5051,121
"262",1402,108
"263",2862,110
"264",3592,116
"265",2497,131
"266",2497,115
"267",3227,122
"268",5052,120
"269",2133,117
"270",2863,118
"271",1769,112
"272",1769,111
"273",2134,122
"274",3229,111
"275",2499,117
"276",2864,117
"277",2499,110
"278",5419,122
"279",1770,115
"280",2135,126
"281",3595,118
"282",2140,124
"283",2145,120
"284",4336,127
"285",1781,113
"286",3241,130
"287",1781,109
"288",2146,107
"289",1782,118
"290",2147,124
"291",3610,124
"292",2166,127
"293",4721,122
"294",5451,133
"295",4356,129
"296",5451,123
"297",2166,119
"298",2532,120
"299",2897,126
"300",6547,122
"301",3262,124
"302",3627,127
"303",3627,133
"304",2897,129
"305",2897,134
"306",4722,124
"307",3262,119
"308",2532,118
"309",3627,124
"310",5087,127
"311",6912,127
"312",6912,137
"313",2532,117
"314",2167,113
"315",2532,116
"316",2897,128
"317",2897,119
"318",2897,132
"319",2532,125
"320",3627,119
"321",2532,124
"322",3627,128
"323",3628,133
"324",4723,125
"325",2898,124
"326",2533,123
"327",2168,133
"328",3628,121
"329",2898,128
"330",2168,119
"331",2898,125
"332",2168,121
"333",2533,125
"334",3263,126
"335",6548,127
"336",2168,120
"337",2533,132
"338",2533,126
"339",3263,127
"340",2533,137
"341",2898,126
"342",2533,130
"343",5453,119
"344",6183,136
"345",2533,120
"346",3628,123
"347",2533,127
"348",3263,128
"349",5818,127
"350",2533,119
"351",3993,129
"352",2898,132
"353",3263,127
"354",3628,124
"355",2168,116
"356",3628,130
"357",3263,128
"358",3263,132
"359",5453,125
"360",4358,128
"361",3263,131
"362",3628,131
"363",5818,129
"364",2533,116
"365",4358,131
"366",2898,126
"367",5088,142
"368",3263,134
"369",2168,130
"370",3263,127
"371",2898,142
"372",2898,124
"373",2898,129
"374",1438,113
"375",2533,134
"376",2898,124
"377",3263,136
"378",7278,127
"379",5088,121
"380",2533,121
"381",3263,123
"382",2547,127
"383",3532,128
"384",5357,116
"385",3532,122
"386",2802,130
"387",3532,124
"388",6088,120
"389",3168,112
"390",3898,112
"391",3168,113
"392",2073,110
"393",6453,127
"394",3545,124
"395",3910,120
"396",2450,115
"397",2085,122
"398",2085,114
"399",3545,120
"400",3545,112
"401",2085,107
"402",4275,117
"403",3180,116
"404",3545,123
"405",2815,130
"406",3545,130
"407",2815,112
"408",5005,129
"409",2450,112
"410",3546,129
"411",2086,139
"412",1721,114
"413",2451,120
"414",2816,124
"415",3181,128
"416",3546,128
"417",4641,128
"418",2088,117
"419",4278,131
"420",4643,122
"421",3183,119
"422",2818,122
"423",2453,127
"424",3549,121
"425",3184,130
"426",2819,112
"427",3549,129
"428",1724,110
"429",3184,121
"430",3549,125
"431",2454,122
"432",3185,124
"433",1725,120
"434",2820,130
"435",2091,115
"436",3186,137
"437",3916,123
"438",3186,128
"439",4281,128
"440",2456,115
"441",3187,126
"442",2103,115
"443",2468,116
"444",2833,124
"445",5389,124
"446",2834,116
"447",3199,137
"448",2834,111
"449",5389,126
"450",2469,114
"451",2834,117
"452",2104,109
"453",3929,131
"454",2834,116
"455",2469,120
"456",2834,117
"457",2105,115
"458",2835,114
"459",2835,118
"460",5025,118
"461",4660,121
"462",4295,127
"463",2470,112
"464",2470,118
"465",3200,118
"466",3565,124
"467",2835,113
"468",3565,128
"469",2835,122
"470",3200,134
"471",2470,119
"472",4295,127
"473",1741,118
"474",4296,120
"475",2836,125
"476",3201,118
"477",2106,114
"478",3566,123
"479",2471,118
"480",3566,124
"481",4296,117
"482",2836,123
"483",3201,120
"484",2106,118
"485",3201,124
"486",2836,122
"487",3566,128
"488",2471,123
"489",3566,127
"490",2836,115
"491",3566,132
"492",2836,122
"493",3201,115
"494",2474,118
"495",4299,123
"496",1744,114
"497",3934,125
"498",3204,115
"499",2474,120
"500",3204,120
"501",3569,125
"502",3204,124
"503",4664,125
"504",3570,111
"505",3570,122
"506",4300,128
"507",2840,116
"508",3205,121
"509",2840,112
"510",5406,120
"511",2851,107
"512",3946,117
"513",2121,112
"514",2487,120
"515",2487,118
"516",2853,126
"517",2853,130
"518",2488,126
"519",2490,113
"520",2490,114
"521",2490,117
"522",2490,122
"523",3220,117
"524",2125,120
"525",3220,117
"526",3221,129
"527",2862,121
"528",2132,111
"529",2132,121
"530",5417,123
"531",3227,112
"532",2497,119
"533",2862,126
"534",2133,110
"535",2500,123
"536",3231,123
"537",2502,108
"538",2502,120
"539",3597,125
"540",1772,110
"541",2867,123
"542",2867,112
"543",2505,120
"544",2505,112
"545",3600,126
"546",2870,110
"547",2505,121
"548",2870,124
"549",3965,121
"550",2505,113
"551",3965,120
"552",3602,122
"553",2508,116
"554",1778,107
"555",2873,114
"556",2508,123
"557",2508,118
"558",5428,125
"559",1778,107
"560",1778,111
"561",2143,110
"562",2143,120
"563",2874,123
"564",2144,120
"565",2512,118
"566",2877,122
"567",2512,125
"568",2147,120
"569",2879,117
"570",2150,111
"571",2881,123
"572",5711,124
"573",6076,131
"574",4616,128
"575",5711,129
"576",4616,131
"577",2791,114
"578",2791,117
"579",2061,119
"580",2791,122
"581",5711,122
"582",3156,117
"583",3521,124
"584",2426,120
"585",2791,116
"586",5714,126
"587",7539,122
"588",5349,120
"589",4254,112
"590",4984,126
"591",4254,119
"592",3159,133
"593",3159,121
"594",3524,119
"595",3524,130
"596",4984,131
"597",6446,121
"598",3526,125
"599",3537,128
"600",5730,128
"601",6474,120
"602",3189,124
"603",2094,115
"604",2824,118
"605",4284,125
"606",2824,120
"607",5744,115
"608",3531,125
"609",5380,120
"610",3190,107
"611",4650,112
"612",3555,125
"613",3556,117
"614",4286,113
"615",2827,113
"616",5385,123
"617",2830,120
"618",5020,117
"619",5387,119
"620",3564,115
"621",2834,122
"622",5024,131
"623",2835,108
