"","CAGrepeats","finger.ratio"
"1",21,1.06
"2",22,1.059
"3",25,1.058
"4",19,1.026
"5",20,1.027
"6",18,0.998
"7",19,0.982
"8",19,0.977
"9",19,0.977
"10",20,0.988
"11",20,0.983
"12",20,0.982
"13",20,0.978
"14",20,0.977
"15",21,0.987
"16",21,0.987
"17",21,0.982
"18",21,0.974
"19",21,0.973
"20",21,0.97
"21",24,1.019
"22",24,1.01
"23",25,1.022
"24",22,0.988
"25",25,0.99
"26",26,0.992
"27",28,0.996
"28",19,0.952
"29",19,0.95
"30",20,0.958
"31",20,0.956
"32",20,0.95
"33",21,0.958
"34",23,0.961
"35",24,0.973
"36",24,0.97
"37",27,0.95
"38",20,0.939
"39",20,0.936
"40",21,0.944
"41",22,0.943
"42",22,0.931
"43",20,0.925
"44",20,0.912
"45",19,0.912
"46",19,0.903
