"","specimen","femur.length"
"1",1,0.26
"2",1,0.26
"3",2,0.23
"4",2,0.19
"5",3,0.25
"6",3,0.23
"7",4,0.26
"8",4,0.26
"9",5,0.23
"10",5,0.22
"11",6,0.23
"12",6,0.23
"13",7,0.22
"14",7,0.23
"15",8,0.21
"16",8,0.28
"17",9,0.24
"18",9,0.26
"19",10,0.24
"20",10,0.2
"21",11,0.29
"22",11,0.25
"23",12,0.23
"24",12,0.23
"25",13,0.18
"26",13,0.19
"27",14,0.27
"28",14,0.24
"29",15,0.23
"30",15,0.29
"31",16,0.23
"32",16,0.23
"33",17,0.14
"34",17,0.15
"35",18,0.19
"36",18,0.19
"37",19,0.31
"38",19,0.27
"39",20,0.23
"40",20,0.24
"41",21,0.16
"42",21,0.15
"43",22,0.22
"44",22,0.2
"45",23,0.19
"46",23,0.18
"47",24,0.21
"48",24,0.21
"49",25,0.19
"50",25,0.2
