"","group","slope"
"1","breeding male",0.31
"2","breeding male",0.34
"3","breeding male",0.3
"4","breeding male",0.38
"5","breeding male",0.35
"6","breeding male",0.33
"7","breeding female",0.3
"8","breeding female",0.32
"9","breeding female",0.23
"10","breeding female",0.38
"11","breeding female",0.31
"12","breeding female",0.26
"13","breeding female",0.41
"14","breeding male",0.32
"15","breeding male",0.32
"16","breeding female",0.28
"17","breeding female",0.35
"18","breeding male",0.37
"19","molting female",0.25
"20","molting female",0.41
"21","molting female",0.32
"22","molting female",0.34
"23","molting female",0.27
"24","molting female",0.23
