"","sperm.viability","lysozyme"
"1",72.6,18.1
"2",79,16.6
"3",80,20.5
"4",80,16.4
"5",80,16.7
"6",80.5,18.1
"7",81,16.8
"8",81.7,16.8
"9",81.8,16.4
"10",81.8,14.1
"11",82.2,17.3
"12",82.3,19.8
"13",82.8,19.9
"14",82.8,17.4
"15",82.8,16.5
"16",82.8,15.6
"17",82.8,14.3
"18",83,17.6
"19",83,16.6
"20",83.1,17.3
"21",83.3,15.6
"22",83.7,16.6
"23",83.8,16
"24",83.9,17.5
"25",84,17.2
"26",84,13.8
"27",84.3,19
"28",84.4,18.3
"29",84.6,17.6
"30",84.6,15.6
"31",84.8,14.7
"32",84.9,14.3
"33",85.6,16.9
"34",86.2,15.5
"35",86.5,13.1
"36",87.3,15.6
"37",87.6,13.5
"38",87.7,17.5
"39",87.8,13.7
"40",88.1,18.5
"41",88.2,16.1
