"","species","skin.color"
"1","kokanee",1.11
"2","kokanee",1.34
"3","kokanee",1.55
"4","kokanee",1.53
"5","kokanee",1.5
"6","kokanee",1.71
"7","kokanee",1.87
"8","kokanee",1.86
"9","kokanee",1.82
"10","kokanee",2.01
"11","kokanee",1.95
"12","kokanee",2.01
"13","kokanee",1.66
"14","kokanee",1.49
"15","kokanee",1.59
"16","kokanee",1.69
"17","kokanee",1.8
"18","kokanee",2
"19","kokanee",2.3
"20","sockeye",0.98
"21","sockeye",0.88
"22","sockeye",0.97
"23","sockeye",0.99
"24","sockeye",1.02
"25","sockeye",1.03
"26","sockeye",0.99
"27","sockeye",0.97
"28","sockeye",0.98
"29","sockeye",1.03
"30","sockeye",1.08
"31","sockeye",1.15
"32","sockeye",0.9
"33","sockeye",0.95
"34","sockeye",0.94
"35","sockeye",0.99
