"","polyandrous.species","monandrous.species","difference","taxon.pair"
"1",53,10,43,"A"
"2",73,120,-47,"B"
"3",228,74,154,"C"
"4",353,289,64,"D"
"5",157,30,127,"E"
"6",300,4,296,"F"
"7",34,18,16,"G"
"8",3400,3500,-100,"H"
"9",20,1000,-980,"I"
"10",196,486,-290,"J"
"11",1750,660,1090,"K"
"12",55,63,-8,"L"
"13",37,115,-78,"M"
"14",100,30,70,"N"
"15",21000,60,20940,"O"
"16",37,40,-3,"P"
"17",7,5,2,"Q"
"18",15,7,8,"R"
"19",18,6,12,"S"
"20",240,13,227,"T"
"21",15,14,1,"U"
"22",77,16,61,"V"
"23",15,14,1,"W"
"24",85,6,79,"X"
"25",86,8,78,"Y"
