"","habitat","conemass","location","squirrels"
"1","island absent",9.6,"island","absent"
"2","island absent",9.4,"island","absent"
"3","island absent",8.9,"island","absent"
"4","island absent",8.8,"island","absent"
"5","island absent",8.5,"island","absent"
"6","island absent",8.2,"island","absent"
"7","island present",6.8,"island","present"
"8","island present",6.6,"island","present"
"9","island present",6,"island","present"
"10","island present",5.7,"island","present"
"11","island present",5.3,"island","present"
"12","mainland present",6.7,"mainland","present"
"13","mainland present",6.4,"mainland","present"
"14","mainland present",6.2,"mainland","present"
"15","mainland present",5.7,"mainland","present"
"16","mainland present",5.6,"mainland","present"
