"","genotype","plates"
"1","mm",11
"2","Mm",63
"3","Mm",22
"4","Mm",10
"5","mm",14
"6","mm",11
"7","Mm",58
"8","Mm",36
"9","Mm",31
"10","Mm",61
"11","Mm",63
"12","mm",8
"13","mm",12
"14","mm",11
"15","Mm",64
"16","Mm",64
"17","mm",12
"18","Mm",55
"19","Mm",21
"20","MM",64
"21","Mm",47
"22","Mm",57
"23","mm",11
"24","Mm",58
"25","MM",65
"26","Mm",63
"27","mm",9
"28","MM",62
"29","Mm",29
"30","Mm",10
"31","MM",63
"32","mm",9
"33","Mm",61
"34","Mm",39
"35","mm",9
"36","Mm",50
"37","mm",10
"38","MM",60
"39","Mm",60
"40","mm",9
"41","Mm",63
"42","MM",64
"43","mm",11
"44","Mm",60
"45","Mm",66
"46","MM",63
"47","Mm",63
"48","mm",14
"49","mm",14
"50","Mm",59
"51","Mm",30
"52","MM",64
"53","mm",14
"54","mm",14
"55","mm",13
"56","Mm",62
"57","MM",64
"58","MM",65
"59","Mm",34
"60","MM",64
"61","MM",64
"62","Mm",62
"63","MM",63
"64","Mm",30
"65","mm",13
"66","mm",10
"67","MM",49
"68","Mm",62
"69","Mm",43
"70","MM",66
"71","MM",61
"72","Mm",26
"73","MM",63
"74","Mm",59
"75","MM",66
"76","MM",65
"77","Mm",62
"78","Mm",63
"79","Mm",56
"80","mm",13
"81","Mm",62
"82","Mm",28
"83","Mm",61
"84","Mm",56
"85","MM",62
"86","Mm",62
"87","Mm",39
"88","Mm",25
"89","Mm",34
"90","MM",64
"91","mm",11
"92","Mm",63
"93","Mm",64
"94","mm",14
"95","MM",60
"96","Mm",61
"97","mm",14
"98","MM",62
"99","mm",8
"100","mm",37
"101","Mm",61
"102","mm",13
"103","mm",10
"104","Mm",62
"105","MM",64
"106","Mm",63
"107","mm",12
"108","mm",8
"109","Mm",58
"110","Mm",51
"111","MM",64
"112","MM",65
"113","Mm",62
"114","mm",12
"115","Mm",61
"116","MM",64
"117","MM",66
"118","Mm",53
"119","mm",10
"120","Mm",32
"121","Mm",24
"122","MM",62
"123","mm",14
"124","MM",61
"125","mm",8
"126","mm",10
"127","Mm",63
"128","Mm",62
"129","Mm",52
"130","mm",13
"131","Mm",32
"132","mm",22
"133","Mm",60
"134","mm",9
"135","Mm",62
"136","MM",65
"137","Mm",61
"138","Mm",52
"139","Mm",53
"140","Mm",51
"141","MM",63
"142","Mm",61
"143","MM",63
"144","Mm",56
"145","Mm",57
