"","food","eye.span"
"1","Corn",2.15
"2","Corn",2.14
"3","Corn",2.13
"4","Corn",2.13
"5","Corn",2.12
"6","Corn",2.11
"7","Corn",2.1
"8","Corn",2.08
"9","Corn",2.08
"10","Corn",2.08
"11","Corn",2.04
"12","Corn",2.05
"13","Corn",2.03
"14","Corn",2.02
"15","Corn",2.01
"16","Corn",2
"17","Corn",1.99
"18","Corn",1.96
"19","Corn",1.95
"20","Corn",1.93
"21","Corn",1.89
"22","Cotton",2.12
"23","Cotton",2.07
"24","Cotton",2.01
"25","Cotton",1.93
"26","Cotton",1.77
"27","Cotton",1.68
"28","Cotton",1.64
"29","Cotton",1.61
"30","Cotton",1.59
"31","Cotton",1.58
"32","Cotton",1.56
"33","Cotton",1.55
"34","Cotton",1.54
"35","Cotton",1.49
"36","Cotton",1.45
"37","Cotton",1.43
"38","Cotton",1.39
"39","Cotton",1.34
"40","Cotton",1.33
"41","Cotton",1.29
"42","Cotton",1.26
"43","Cotton",1.24
"44","Cotton",1.11
"45","Cotton",1.05
