"","age","cv","exploited"
"1",1,0.94,"yes"
"2",1,1.8,"no"
"3",1,1.17,"no"
"4",1,1.14,"no"
"5",1.5,0.89,"no"
"6",2,2.21,"yes"
"7",2,1.89,"yes"
"8",2,1.38,"yes"
"9",2,1.1,"no"
"10",2,0.98,"no"
"11",2.5,0.65,"no"
"12",2.5,0.69,"no"
"13",2.5,0.72,"no"
"14",3,1.67,"yes"
"15",3,0.93,"yes"
"16",3,0.68,"no"
"17",3,0.74,"no"
"18",3,0.76,"no"
"19",3,0.82,"no"
"20",3.5,1.41,"yes"
"21",4,0.87,"yes"
"22",4,0.85,"yes"
"23",4,0.81,"no"
"24",4,0.47,"no"
"25",4.5,1.14,"yes"
"26",4.5,0.72,"yes"
"27",5,0.67,"yes"
"28",5.5,0.91,"yes"
