"","treatment","percent"
"1","control",98
"2","control",96
"3","control",94
"4","control",88
"5","control",86
"6","control",82
"7","control",77
"8","control",74
"9","control",70
"10","control",60
"11","control",59
"12","control",52
"13","control",50
"14","control",47
"15","control",40
"16","control",35
"17","control",29
"18","control",13
"19","control",6
"20","control",5
"21","enhanced",100
"22","enhanced",97
"23","enhanced",96
"24","enhanced",97
"25","enhanced",93
"26","enhanced",89
"27","enhanced",88
"28","enhanced",84
"29","enhanced",77
"30","enhanced",67
"31","enhanced",61
