"","species","traitname","strength.of.selection","sample.size","authors","year","journal","volume.pages"
"1","Gryllus pennsylvanicus","Pronotum Length",0.175,47,"Zuk",1988,"Evolution","42:969-976"
"2","Gryllus pennsylvanicus","Body Length",0.08,47,"Zuk",1988,"Evolution","42:969-977"
"3","Gryllus pennsylvanicus","Age",0.38,47,"Zuk",1988,"Evolution","42:969-978"
"4","Geospiza conirostris","Bill Depth",-0.11,26,"Grant",1985,"Evolution","39:523-532"
"5","Geospiza conirostris","Bill Length",0.17,26,"Grant",1985,"Evolution","39:523-532"
"6","Geospiza conirostris","Bill Width",-0.03,26,"Grant",1985,"Evolution","39:523-532"
"7","Geospiza conirostris","Bill Depth",0.59,14,"Grant",1985,"Evolution","39:523-532"
"8","Geospiza conirostris","Bill Length",0.5,14,"Grant",1985,"Evolution","39:523-532"
"9","Geospiza conirostris","Bill Width",-0.37,14,"Grant",1985,"Evolution","39:523-532"
"10","Geospiza conirostris","Plumage color",0.32,23,"Grant",1985,"Evolution","39:523-532"
"11","Geospiza conirostris","Neighbor's song type",0.26,23,"Grant",1985,"Evolution","39:523-532"
"12","Geospiza conirostris","Bill Depth",-0.19,23,"Grant",1985,"Evolution","39:523-532"
"13","Geospiza conirostris","Bill Length",0.12,23,"Grant",1985,"Evolution","39:523-532"
"14","Geospiza conirostris","Bill Width",-0.21,23,"Grant",1985,"Evolution","39:523-532"
"15","Geospiza conirostris","Plumage color",0.27,34,"Grant",1985,"Evolution","39:523-532"
"16","Geospiza conirostris","Neighbor's song type",0.19,34,"Grant",1985,"Evolution","39:523-532"
"17","Geospiza conirostris","Bill Depth",0.02,34,"Grant",1985,"Evolution","39:523-532"
"18","Geospiza conirostris","Bill Length",-0.17,34,"Grant",1985,"Evolution","39:523-532"
"19","Geospiza conirostris","Bill Width",0.08,34,"Grant",1985,"Evolution","39:523-532"
"20","Geospiza conirostris","Plumage color",0.2,26,"Grant",1985,"Evolution","39:523-532"
"21","Geospiza conirostris","Neighbor's song type",0.29,26,"Grant",1985,"Evolution","39:523-532"
"22","Geospiza conirostris","Bill Depth",0.05,26,"Grant",1985,"Evolution","39:523-532"
"23","Geospiza conirostris","Bill Length",0.16,26,"Grant",1985,"Evolution","39:523-532"
"24","Geospiza conirostris","Bill Width",0.23,26,"Grant",1985,"Evolution","39:523-532"
"25","Geospiza conirostris","Bill Depth",-0.31,13,"Grant",1985,"Evolution","39:523-532"
"26","Geospiza conirostris","Bill Length",0.21,13,"Grant",1985,"Evolution","39:523-532"
"27","Geospiza conirostris","Bill Width",0.19,13,"Grant",1985,"Evolution","39:523-532"
"28","Geospiza conirostris","Bill Depth",-0.57,36,"Grant",1985,"Evolution","39:523-532"
"29","Geospiza conirostris","Bill Length",0.43,36,"Grant",1985,"Evolution","39:523-532"
"30","Geospiza conirostris","Bill Width",0.13,36,"Grant",1985,"Evolution","39:523-532"
"31","Geospiza fortis","Beak Depth",0.26,92,"Price",1984,"Evolution","38:327-341"
"32","Geospiza fortis","Territory Area",0.3,92,"Price",1984,"Evolution","38:327-341"
"33","Geospiza fortis","Plumage",0.24,92,"Price",1984,"Evolution","38:327-341"
"34","Geospiza fortis","Beak Depth",0.4,57,"Price",1984,"Evolution","38:327-341"
"35","Geospiza fortis","Territory Area",0.24,57,"Price",1984,"Evolution","38:327-341"
"36","Geospiza fortis","Plumage",0.26,57,"Price",1984,"Evolution","38:327-341"
"37","Melospiza melodia","weight",0.08,145,"Schluter and Smith",1986,"Evolution","40:221-231"
"38","Melospiza melodia","wing length",0.08,145,"Schluter and Smith",1986,"Evolution","40:221-231"
"39","Melospiza melodia","tarsus length",-0.32,145,"Schluter and Smith",1986,"Evolution","40:221-231"
"40","Melospiza melodia","beak length",0.18,145,"Schluter and Smith",1986,"Evolution","40:221-231"
"41","Melospiza melodia","beak depth",-0.1,145,"Schluter and Smith",1986,"Evolution","40:221-231"
"42","Melospiza melodia","beak width",0.08,145,"Schluter and Smith",1986,"Evolution","40:221-231"
"43","Melospiza melodia","weight",0.12,145,"Schluter and Smith",1986,"Evolution","40:221-231"
"44","Melospiza melodia","wing length",-0.14,145,"Schluter and Smith",1986,"Evolution","40:221-231"
"45","Melospiza melodia","tarsus length",0.38,145,"Schluter and Smith",1986,"Evolution","40:221-231"
"46","Melospiza melodia","beak length",-0.3,145,"Schluter and Smith",1986,"Evolution","40:221-231"
"47","Melospiza melodia","beak depth",0.02,145,"Schluter and Smith",1986,"Evolution","40:221-231"
"48","Melospiza melodia","beak width",0.24,145,"Schluter and Smith",1986,"Evolution","40:221-231"
"49","Rana catesbeiana","body size",5.674,38,"Arnold and Wade",1984,"Evolution","38:720-734"
"50","Rana catesbeiana","body size",0.805,38,"Arnold and Wade",1984,"Evolution","38:720-734"
"51","Rana catesbeiana","body size",1.084,38,"Arnold and Wade",1984,"Evolution","38:720-734"
"52","Rana catesbeiana","body size",7.563,38,"Arnold and Wade",1984,"Evolution","38:720-734"
"53","Geospiza fortis","mass",-0.05,386,"Grant and Grant",1993,"Proc R Soc Lond B","251:111-117"
"54","Geospiza fortis","wing chord",-0.02,386,"Grant and Grant",1993,"Proc R Soc Lond B","251:111-117"
"55","Geospiza fortis","tarsus length",-0.04,386,"Grant and Grant",1993,"Proc R Soc Lond B","251:111-117"
"56","Geospiza fortis","bill length",0.2,386,"Grant and Grant",1993,"Proc R Soc Lond B","251:111-117"
"57","Geospiza fortis","bill width",-0.24,386,"Grant and Grant",1993,"Proc R Soc Lond B","251:111-117"
"58","Geospiza scandens","mass",0.15,244,"Grant and Grant",1993,"Proc R Soc Lond B","251:111-117"
"59","Geospiza scandens","wing chord",0.13,244,"Grant and Grant",1993,"Proc R Soc Lond B","251:111-117"
"60","Geospiza scandens","tarsus length",0.04,244,"Grant and Grant",1993,"Proc R Soc Lond B","251:111-117"
"61","Geospiza scandens","bill length",0.13,244,"Grant and Grant",1993,"Proc R Soc Lond B","251:111-117"
"62","Geospiza scandens","bill depth",-0.22,244,"Grant and Grant",1993,"Proc R Soc Lond B","251:111-117"
"63","Geospiza scandens","bill width",0.08,244,"Grant and Grant",1993,"Proc R Soc Lond B","251:111-117"
"64","Homo sapiens","mothers life span",0.2,75,"Kaar et al.",1996,"Proc R Soc Lond B","263:1475-1480"
"65","Homo sapiens","fathers life span",0,75,"Kaar et al.",1996,"Proc R Soc Lond B","263:1475-1480"
"66","Homo sapiens","mother age at first repro",-0.51,75,"Kaar et al.",1996,"Proc R Soc Lond B","263:1475-1480"
"67","Homo sapiens","father age at first repro",-0.09,75,"Kaar et al.",1996,"Proc R Soc Lond B","263:1475-1480"
"68","Homo sapiens","mothers life span",0.3,183,"Kaar et al.",1996,"Proc R Soc Lond B","263:1475-1480"
"69","Homo sapiens","fathers life span",0.08,183,"Kaar et al.",1996,"Proc R Soc Lond B","263:1475-1480"
"70","Homo sapiens","mother age at first repro",-0.57,183,"Kaar et al.",1996,"Proc R Soc Lond B","263:1475-1480"
"71","Homo sapiens","father age at first repro",-0.13,183,"Kaar et al.",1996,"Proc R Soc Lond B","263:1475-1480"
"72","Homo sapiens","mothers life span",0.32,137,"Kaar et al.",1996,"Proc R Soc Lond B","263:1475-1480"
