"","name","chapter","type","number","sub"
"1","TeenDeaths",2,"Example",1,"a"
"2","DesertBirds",2,"Example",1,"b"
"3","SockeyeFemales",2,"Example",1,"c"
"4","GreatTitMalaria",2,"Example",3,""
"5","Hemoglobin",2,"Example",4,""
"6","Guppies",2,"Example",5,"a"
"7","Lynx",2,"Example",5,"b"
"8","EndangeredSpecies",2,"Problem",6,""
"9","ShuttleDisaster",2,"Problem",10,""
"10","Convictions",2,"Problem",16,""
"11","ConvictionsAndIncome",2,"Problem",17,""
"12","Fireflies",2,"Problem",18,""
"13","NeotropicalTrees",2,"Problem",23,""
"14","GlidingSnakes",3,"Example",1,""
"15","SpiderSpeed",3,"Example",2,""
"16","SticklebackPlates",3,"Example",3,""
"17","KenyaFinches",3,"Problem",4,""
"18","Rigormortis",3,"Problem",9,""
"19","NorthSeaCod",3,"Problem",10,""
"20","VasopressinVoles",3,"Problem",11,""
"21","Antilles",3,"Problem",12,""
"22","ElVerde",3,"Problem",13,""
"23","Sparrows",3,"Problem",18,""
"24","HumanGeneLengths",4,"Example",1,""
"25","FireflyFlash",4,"Problem",6,""
"26","GeneRegulation",4,"Problem",11,""
"27","DayOfBirth",8,"Example",1,""
"28","TwoKids",8,"Example",5,""
"29","MassExtinctions",8,"Example",6,""
"30","Powerball",8,"Problem",2,""
"31","ShadParasites",8,"Problem",3,""
"32","Seedlings",8,"Problem",4,""
"33","WorldCup",8,"Problem",5,""
"34","Sumo",8,"Problem",6,""
"35","Cavalry",8,"Problem",14,""
"36","Truffles",8,"Problem",16,""
"37","WrasseSexes",8,"Problem",17,""
"38","Hurricanes",8,"Problem",18,""
"39","Aspirin",9,"Example",2,""
"40","Trematodes",9,"Example",3,""
"41","VampireBites",9,"Example",4,""
"42","Stalkies1",11,"Example",2,""
"43","HumanBodyTemp",11,"Example",3,""
"44","WolfTeeth",11,"Problem",2,""
"45","SyrupSwimming",11,"Problem",10,""
"46","Dolphins",11,"Problem",13,""
"47","SticklebackPreference",11,"Problem",14,""
"48","Blackbirds",12,"Example",2,""
"49","HornedLizards",12,"Example",3,""
"50","BrookTrout2",12,"Example",4,""
"51","BrookTrout",12,"Example",4,""
"52","NoSmokingDay",12,"Problem",2,""
"53","Iguanas",12,"Problem",3,""
"54","FlyTestes",12,"Problem",5,""
"55","Cichlids",12,"Problem",9,""
"56","Tobacco",12,"Problem",10,""
"57","WillsDebates",12,"Problem",11,""
"58","WillsPresidents",12,"Problem",11,""
"59","OstrichTemp",12,"Problem",13,""
"60","PrimateWBC",12,"Problem",15,""
"61","Stalkies2",12,"Problem",16,""
"62","ElectricFish",12,"Problem",19,""
"63","WeddellSeals",12,"Problem",23,""
"64","MarineReserve",13,"Example",1,""
"65","SexualSelection",13,"Example",4,""
"66","SagebrushCrickets",13,"Example",5,""
"67","Lobsters",13,"Problem",5,""
"68","LionCubs",13,"Problem",6,""
"69","Newts",13,"Problem",8,""
"70","Dioecy",13,"Problem",13,""
"71","Mosquitoes",13,"Problem",14,""
"72","ZebraFinches",13,"Problem",16,""
"73","CichlidsGnRH",13,"Problem",18,""
"74","Vines",13,"Problem",19,""
"75","SalmonColor",13,"Problem",20,""
"76","BirdSexRatio",13,"Problem",22,""
"77","Clearcuts",13,"Problem",23,""
"78","ZebraFinchBeaks",13,"Problem",24,""
"79","JetLagKnees",15,"Example",1,""
"80","WalkingStickFemurs",15,"Example",6,""
"81","PlantPersistence",15,"Problem",1,""
"82","Eelgrass",15,"Problem",5,""
"83","BrainExpression",15,"Problem",6,""
"84","DungBeetles",15,"Problem",11,""
"85","DaphniaResistance",15,"Problem",13,""
"86","TsetseLearning",15,"Problem",14,""
"87","NematodeLifespan",15,"Problem",19,""
"88","WalkingStickHeads",15,"Problem",21,""
"89","LodgepolePines",15,"Problem",22,""
"90","LupusMice",15,"Problem",23,""
"91","LizardSprint",15,"Problem",24,""
"92","FingerRatio",16,"Example",1,""
"93","Wolves",16,"Example",2,""
"94","RopeTrick",16,"Example",5,""
"95","GodwitArrival",16,"Problem",3,""
"96","Earwigs",16,"Problem",8,""
"97","Crickets",16,"Problem",10,""
"98","Pufferfish",16,"Problem",11,""
"99","Telomeres",16,"Problem",12,""
"100","LanguageBrains",16,"Problem",13,""
"101","Greenspace",16,"Problem",14,""
"102","LiverPreparation",16,"Problem",16,""
"103","SleepAndPerformance",16,"Problem",17,""
"104","Lefthanded",16,"Problem",19,""
"105","Trillium",16,"Problem",20,""
"106","CocaineDopamine",16,"Problem",21,""
"107","AlgeaCO2",16,"Problem",22,""
"108","LionNoses",17,"Example",1,""
"109","Chickadees",17,"Example",3,""
"110","ShrinkingSeals",17,"Example",8,""
"111","ZooMortality",17,"Problem",2,""
"112","ProgesteroneExercise",17,"Problem",3,""
"113","BodyFatHeatLoss",17,"Problem",4,""
"114","Pollen",17,"Problem",7,""
"115","Rattlesnakes",17,"Problem",8,""
"116","LizardBite",17,"Problem",9,""
"117","TimeOfDeath",17,"Problem",11,""
"118","SpiderColonies",17,"Problem",12,""
"119","Grassland",17,"Problem",14,""
"120","Earthworms",17,"Problem",15,""
"121","PrimateMetabolism",17,"Problem",16,""
"122","FlycatcherPatch",17,"Problem",18,""
"123","TreeSeedlings",17,"Problem",19,""
"124","Penguins",17,"Problem",20,""
"125","Beetles",17,"Problem",21,""
"126","DaphniaLongevity",17,"Problem",22,""
"127","DEET",17,"Problem",24,""
"128","ToothAge",17,"Problem",25,""
"129","MouseEmpathy",18,"Example",1,""
"130","Zooplankton",18,"Example",2,""
"131","IntertidalAlgae",18,"Example",3,""
"132","MoleRats",18,"Example",4,""
"133","HippocampusLesions",18,"Problem",6,""
"134","BeeGenes",18,"Problem",7,""
"135","NeanderthalBrains",18,"Problem",9,""
"136","LarvalFish",18,"Problem",11,""
"137","Pseudoscorpions",19,"Example",2,""
"138","ChimpBrains",19,"Example",3,""
"139","YeastGenes",20,"Problem",7,""
"140","Silversword",20,"Problem",8,""
"141","VoleDispersal",20,"Problem",15,""
"142","BeeLifespans",20,"Problem",18,""
"143","Selection",21,"Example",0,""
