"","trout","salmon.survived","salmon.released","proportion.surviving"
"1","present",166,820,0.202439024390244
"2","absent",180,467,0.385438972162741
"3","present",136,960,0.141666666666667
"4","present",153,700,0.218571428571429
"5","absent",178,959,0.185610010427529
"6","present",103,545,0.188990825688073
"7","absent",326,1029,0.316812439261419
"8","present",173,769,0.224967490247074
"9","absent",7,27,0.259259259259259
"10","absent",120,998,0.120240480961924
"11","absent",135,936,0.144230769230769
"12","present",188,1001,0.187812187812188
