"","hemoglobin","group","relative.frequency"
"1",11,"Ethiopia",0
"2",12,"Ethiopia",0.01
"3",13,"Ethiopia",0.05
"4",14,"Ethiopia",0.18
"5",15,"Ethiopia",0.32
"6",16,"Ethiopia",0.24
"7",17,"Ethiopia",0.19
"8",18,"Ethiopia",0.01
"9",19,"Ethiopia",0
"10",11,"Tibet",0
"11",12,"Tibet",0.01
"12",13,"Tibet",0.07
"13",14,"Tibet",0.18
"14",15,"Tibet",0.39
"15",16,"Tibet",0.18
"16",17,"Tibet",0.1
"17",18,"Tibet",0.04
"18",19,"Tibet",0.02
"19",11,"USA",0
"20",12,"USA",0.01
"21",13,"USA",0.05
"22",14,"USA",0.24
"23",15,"USA",0.41
"24",16,"USA",0.24
"25",17,"USA",0.04
"26",18,"USA",0.01
"27",19,"USA",0
"28",11,"Andes",0
"29",12,"Andes",0
"30",13,"Andes",0
"31",14,"Andes",0.01
"32",15,"Andes",0.03
"33",16,"Andes",0.03
"34",17,"Andes",0.17
"35",18,"Andes",0.26
"36",19,"Andes",0.24
"37",20,"Andes",0.17
"38",21,"Andes",0.04
"39",22,"Andes",0.05
"40",23,"Andes",0
