"","specimen","head.width"
"1",1,0.15
"2",1,0.15
"3",2,0.18
"4",2,0.18
"5",3,0.17
"6",3,0.18
"7",4,0.21
"8",4,0.21
"9",5,0.15
"10",5,0.16
"11",6,0.19
"12",6,0.19
"13",7,0.18
"14",7,0.17
"15",8,0.18
"16",8,0.23
"17",9,0.18
"18",9,0.17
"19",10,0.19
"20",10,0.21
"21",11,0.17
"22",11,0.2
"23",12,0.19
"24",12,0.21
"25",13,0.16
"26",13,0.18
"27",14,0.15
"28",14,0.18
"29",15,0.19
"30",15,0.21
"31",16,0.18
"32",16,0.19
"33",17,0.15
"34",17,0.15
"35",18,0.17
"36",18,0.17
"37",19,0.2
"38",19,0.21
"39",20,0.18
"40",20,0.18
"41",21,0.18
"42",21,0.16
"43",22,0.17
"44",22,0.18
"45",23,0.16
"46",23,0.13
"47",24,0.18
"48",24,0.16
"49",25,0.17
"50",25,0.17
