"","density","resistance"
"1","high",0.65
"2","high",0.73
"3","high",0.74
"4","high",0.76
"5","high",0.81
"6","high",0.82
"7","high",0.85
"8","high",0.86
"9","high",0.88
"10","high",0.9
"11","med",0.7
"12","med",0.74
"13","med",0.75
"14","med",0.76
"15","med",0.78
"16","med",0.79
"17","med",0.8
"18","med",0.82
"19","med",0.83
"20","med",0.86
"21","low",0.56
"22","low",0.57
"23","low",0.58
"24","low",0.62
"25","low",0.64
"26","low",0.65
"27","low",0.67
"28","low",0.68
"29","low",0.74
"30","low",0.78
"31","low",0.85
"32","low",0.86
