"","gene.length"
"1",2069
"2",1303
"3",1067
"4",2849
"5",3378
"6",2391
"7",3926
"8",2365
"9",3717
"10",2974
"11",2663
"12",5286
"13",2436
"14",4311
"15",3515
"16",6128
"17",4030
"18",3036
"19",4997
"20",2850
"21",2280
"22",1127
"23",2100
"24",1228
"25",2429
"26",2407
"27",3113
"28",6191
"29",2437
"30",3845
"31",2402
"32",1051
"33",2454
"34",3972
"35",4528
"36",2133
"37",2073
"38",6467
"39",3993
"40",2200
"41",1421
"42",2193
"43",3097
"44",1627
"45",2151
"46",1037
"47",6861
"48",2587
"49",7092
"50",2146
"51",1493
"52",2227
"53",3058
"54",3691
"55",3546
"56",2833
"57",5500
"58",1457
"59",3859
"60",665
"61",3572
"62",2033
"63",2891
"64",2906
"65",2184
"66",3135
"67",2700
"68",3277
"69",3636
"70",3518
"71",2277
"72",3016
"73",1368
"74",5341
"75",3968
"76",1225
"77",2183
"78",2295
"79",741
"80",4055
"81",2315
"82",5663
"83",3432
"84",2255
"85",2132
"86",2718
"87",2243
"88",3397
"89",3026
"90",627
"91",3660
"92",3524
"93",8675
"94",7659
"95",3311
"96",2393
"97",5185
"98",1861
"99",3173
"100",4019
"101",7139
"102",1789
"103",4153
"104",5482
"105",2252
"106",14733
"107",3490
"108",4630
"109",2289
"110",4559
"111",2996
"112",2649
"113",2574
"114",3343
"115",1475
"116",3121
"117",1938
"118",1792
"119",3656
"120",1539
"121",1570
"122",1281
"123",4409
"124",4977
"125",769
"126",775
"127",5098
"128",2696
"129",3486
"130",5708
"131",1082
"132",3277
"133",3278
"134",2647
"135",7648
"136",1001
"137",1685
"138",5461
"139",2792
"140",2514
"141",3707
"142",2251
"143",2778
"144",2162
"145",2148
"146",4705
"147",702
"148",3997
"149",3231
"150",1163
"151",3907
"152",1438
"153",2022
"154",1082
"155",2995
"156",3415
"157",2127
"158",4893
"159",513
"160",4234
"161",2966
"162",2601
"163",1852
"164",2815
"165",5904
"166",4018
"167",2129
"168",2234
"169",1165
"170",4917
"171",3791
"172",944
"173",804
"174",5580
"175",4203
"176",13816
"177",7047
"178",2288
"179",8211
"180",794
"181",2133
"182",2291
"183",1269
"184",7805
"185",4474
"186",2565
"187",2513
"188",2049
"189",2951
"190",2082
"191",5491
"192",4530
"193",1204
"194",2921
"195",7497
"196",2478
"197",2048
"198",2869
"199",3833
"200",3205
"201",2069
"202",3064
"203",1881
"204",5192
"205",884
"206",3039
"207",5756
"208",3368
"209",2612
"210",1057
"211",2514
"212",3646
"213",2002
"214",2040
"215",6340
"216",4505
"217",3438
"218",2155
"219",3153
"220",4658
"221",11956
"222",3233
"223",2881
"224",811
"225",1497
"226",971
"227",2982
"228",697
"229",1827
"230",2897
"231",3554
"232",1111
"233",14138
"234",3358
"235",3676
"236",5077
"237",5451
"238",4614
"239",521
"240",4076
"241",5174
"242",10917
"243",8292
"244",2260
"245",2443
"246",7513
"247",2375
"248",3302
"249",4872
"250",3242
"251",3278
"252",6075
"253",3265
"254",2324
"255",3426
"256",3333
"257",1826
"258",2280
"259",1617
"260",1625
"261",1231
"262",1744
"263",5547
"264",3568
"265",2024
"266",2275
"267",4700
"268",5173
"269",7909
"270",1621
"271",2185
"272",5742
"273",965
"274",3585
"275",3000
"276",1558
"277",2731
"278",2716
"279",3278
"280",2650
"281",9086
"282",2151
"283",2675
"284",1622
"285",5567
"286",5641
"287",1031
"288",3738
"289",1988
"290",4173
"291",2158
"292",2059
"293",792
"294",1427
"295",6314
"296",2120
"297",2547
"298",1869
"299",2965
"300",2784
"301",3241
"302",1423
"303",4531
"304",4210
"305",8217
"306",1745
"307",4768
"308",5684
"309",4519
"310",2287
"311",1457
"312",2060
"313",5446
"314",4183
"315",1856
"316",559
"317",1812
"318",1886
"319",7366
"320",1255
"321",3254
"322",2916
"323",1759
"324",2039
"325",2611
"326",6189
"327",2138
"328",2970
"329",2493
"330",5482
"331",2957
"332",3482
"333",4394
"334",3583
"335",1433
"336",4242
"337",2909
"338",2153
"339",1550
"340",2834
"341",3103
"342",2028
"343",1278
"344",1806
"345",1593
"346",4219
"347",4056
"348",3111
"349",2650
"350",4235
"351",1180
"352",2173
"353",4599
"354",3249
"355",2780
"356",4188
"357",2478
"358",3253
"359",3004
"360",3083
"361",1268
"362",3226
"363",2736
"364",4065
"365",5283
"366",2153
"367",3184
"368",1805
"369",1734
"370",2491
"371",4749
"372",4080
"373",3567
"374",7164
"375",1312
"376",4793
"377",2432
"378",2145
"379",3682
"380",3312
"381",3204
"382",1621
"383",4738
"384",5204
"385",7235
"386",2654
"387",2975
"388",4353
"389",4258
"390",3393
"391",2615
"392",1996
"393",2074
"394",1854
"395",1959
"396",5427
"397",2880
"398",2297
"399",1181
"400",5695
"401",1831
"402",3274
"403",1715
"404",5144
"405",2088
"406",899
"407",2704
"408",2577
"409",3673
"410",5647
"411",2027
"412",3255
"413",1370
"414",2446
"415",3812
"416",4853
"417",2003
"418",1290
"419",2167
"420",1760
"421",5212
"422",1243
"423",4703
"424",3875
"425",5956
"426",5743
"427",1996
"428",2691
"429",1607
"430",3670
"431",3534
"432",6874
"433",3784
"434",2551
"435",2166
"436",6205
"437",2037
"438",3632
"439",6644
"440",4790
"441",2407
"442",5228
"443",9919
"444",1128
"445",2563
"446",1698
"447",1842
"448",4862
"449",1692
"450",2290
"451",1593
"452",1605
"453",5268
"454",3494
"455",3285
"456",1505
"457",4041
"458",2445
"459",3134
"460",1512
"461",2731
"462",1605
"463",2004
"464",2048
"465",3849
"466",3965
"467",1923
"468",5747
"469",2688
"470",2445
"471",5720
"472",2188
"473",1815
"474",2656
"475",3404
"476",2400
"477",3580
"478",4147
"479",2091
"480",1655
"481",1605
"482",1885
"483",3674
"484",3940
"485",2040
"486",2849
"487",1963
"488",1319
"489",1930
"490",5538
"491",3018
"492",8292
"493",1033
"494",1264
"495",2778
"496",1636
"497",3959
"498",2113
"499",2666
"500",2490
"501",2148
"502",5463
"503",6320
"504",2099
"505",1728
"506",1895
"507",3187
"508",4818
"509",1676
"510",4426
"511",4713
"512",3617
"513",2131
"514",2862
"515",3546
"516",3970
"517",5000
"518",4178
"519",5367
"520",6053
"521",4121
"522",2278
"523",7780
"524",3623
"525",3890
"526",2336
"527",2038
"528",466
"529",2662
"530",4339
"531",1963
"532",1001
"533",2081
"534",2741
"535",1787
"536",5482
"537",2469
"538",2602
"539",3545
"540",2756
