"","date_time","v1_40m_avg","v1_40m_max","v1_40m_min","v1_40m_std","v2_30m_avg","v2_30m_max","v2_30m_min","v2_30m_std","v3_20m_avg","v3_20m_max","v3_20m_min","v3_20m_std","dir1_40m_avg","dir1_40m_std","dir2_30m_avg","dir2_30m_std"
"1","06.05.2009 11:20",9.44,14.79,4.17,2.69,9.63,15.54,4.52,2.92,9.21,14.79,4.17,2.81,265.79,21,265.06,20.25
"2","06.05.2009 11:30",7.67,10.24,5.68,0.83,7.58,9.84,4.9,0.98,7.19,9.48,4.92,0.91,274.54,6.44,273.86,7.04
"3","06.05.2009 11:40",6.51,9.48,4.17,0.89,6.55,9.08,4.14,0.9,6.34,9.1,3.79,1.03,260.65,10.99,259.55,11.6
"4","06.05.2009 11:50",6.81,10.62,4.92,0.98,6.76,10.6,5.28,0.82,6.43,9.1,4.54,0.74,235.63,20.52,234.11,19.69
"5","06.05.2009 12:00",9.13,14.41,4.17,1.86,8.51,13.64,4.14,1.93,8.12,13.27,3.79,1.78,190.84,10.45,189.86,10.59
"6","06.05.2009 12:10",6.88,10.24,3.79,1.31,6.45,10.98,3.38,1.44,5.92,9.86,3.03,1.48,186.21,10.53,187.63,10.49
"7","06.05.2009 12:20",5.21,8.72,2.65,1.3,4.83,8.32,2.62,1.29,4.41,7.96,2.27,1.12,199.22,11.37,196.88,10.2
"8","06.05.2009 12:30",6.48,11,3.03,1.51,6.01,10.22,3.38,1.56,5.54,10.24,2.65,1.62,210.6,14.77,208.8,13.05
"9","06.05.2009 12:40",7.45,10.62,4.54,1.13,7.37,10.98,4.52,1.13,6.95,10.24,4.17,1.07,248.84,9.12,249.08,9.92
"10","06.05.2009 12:50",6.35,8.72,4.17,0.85,6.38,9.08,4.14,0.92,6.07,9.1,4.17,0.92,256.4,5.78,256.25,5.46
"11","06.05.2009 13:00",4.74,7.96,3.41,0.72,4.57,6.8,3,0.71,4.36,7.2,3.03,0.71,239.33,10.76,238.08,11.72
"12","06.05.2009 13:10",3.67,6.44,1.89,0.69,3.62,6.42,2.24,0.73,3.54,6.44,1.51,0.73,224.6,10.63,222.92,10.1
"13","06.05.2009 13:20",4.71,7.58,2.27,0.97,4.53,7.18,3,0.8,4.45,7.2,2.65,0.73,211.61,14.1,212.12,12.22
"14","06.05.2009 13:30",4.83,7.96,3.03,0.98,4.68,7.56,2.62,0.99,4.52,7.2,2.65,0.87,199.87,12.3,201.71,13.81
"15","06.05.2009 13:40",4.61,6.82,3.41,0.74,4.51,6.8,3,0.72,4.41,7.2,2.65,0.79,234.93,14.72,235.18,14.17
"16","06.05.2009 13:50",4.58,6.44,2.65,0.71,4.51,6.42,3,0.74,4.22,6.44,2.65,0.77,252.1,11.9,251.77,12.35
"17","06.05.2009 14:00",5.07,6.82,3.79,0.6,5,6.8,3.38,0.65,4.77,6.44,2.65,0.75,250.63,15.11,249.8,18
"18","06.05.2009 14:10",4.49,6.44,2.65,0.76,4.47,6.8,3,0.77,4.47,7.2,2.65,0.75,224.37,11.96,222.61,12.81
"19","06.05.2009 14:20",5.08,7.2,3.03,0.76,4.97,7.18,2.62,0.82,4.75,6.82,3.03,0.81,230,9.32,228.19,9.35
"20","06.05.2009 14:30",5.03,6.82,3.41,0.51,4.97,6.8,3,0.52,4.74,6.44,3.03,0.58,241.5,10.01,239.74,10.19
"21","06.05.2009 14:40",6.17,9.48,3.79,1.13,6.09,9.46,3.38,1.22,5.87,9.48,3.41,1.22,241.94,10.31,240.51,11.05
"22","06.05.2009 14:50",6.44,11,3.03,1.89,6.26,11.36,2.62,2.01,6.17,11,3.03,1.8,253.2,11.57,251.75,12.57
"23","06.05.2009 15:00",7.01,9.86,4.17,1.14,6.96,9.84,4.14,1.23,6.71,9.86,4.17,1.05,266.38,10.05,267.09,10.87
"24","06.05.2009 15:10",8.17,11,5.68,1.05,7.95,11.36,4.9,1.1,7.33,11,4.54,1.13,264.69,7.41,265.1,7.99
"25","06.05.2009 15:20",7.33,11,4.54,1.29,7.01,10.22,4.14,1.34,6.46,9.86,3.41,1.29,270.44,8.48,271.49,9.4
"26","06.05.2009 15:30",6.32,9.48,3.41,1.26,6.08,9.46,3.76,1.25,5.67,9.1,3.41,1.17,256.19,10.49,256.51,10.25
"27","06.05.2009 15:40",5.75,7.96,2.27,0.95,5.49,8.32,2.62,1.03,5.27,7.96,2.65,1.03,244.08,9.07,244.08,9.12
"28","06.05.2009 15:50",5.64,8.72,3.03,0.9,5.26,8.32,2.62,0.81,4.93,7.96,2.27,0.86,228.51,10.9,228.24,13.23
"29","06.05.2009 16:00",5.66,9.1,3.41,1.24,5.5,9.46,3,1.24,5.34,7.96,2.27,1.2,228.61,12.05,228.22,12.58
"30","06.05.2009 16:10",6.65,11,4.17,1.04,6.55,8.7,4.14,0.97,6.5,8.72,4.17,0.9,225.22,7.61,223,7.07
"31","06.05.2009 16:20",6.63,9.48,4.92,0.76,6.39,9.08,4.52,0.75,6.26,8.72,4.17,0.69,222.51,8.37,219.94,7.53
"32","06.05.2009 16:30",6.68,9.48,4.17,0.95,6.48,9.46,4.14,1,6.39,9.48,3.79,0.96,221.61,11.24,220.16,10.65
"33","06.05.2009 16:40",6.72,9.1,4.54,0.93,6.58,8.7,4.52,0.99,6.31,8.72,3.79,0.99,216.43,10.77,215.34,10.1
"34","06.05.2009 16:50",5.65,9.1,3.41,1.03,5.38,9.08,3.38,0.98,5.22,8.72,3.03,1.02,202.24,11.87,201.87,10.7
"35","06.05.2009 17:00",7.04,10.62,4.17,1.2,6.77,10.98,3.38,1.19,6.48,10.24,4.17,1.12,219.05,8.92,216.89,8.7
