"","type","label","Arecipidites..tectatus.","Bombacacidites.araracuarensis","Baculatisporites..baculaspequenas.","Bacutriletes..minimus.","Bombacacidites..spetacularis.","Cicatricosisporites.dorogensis.frag","Cicatricosisporites.dorogensis.int","Chomotriletes.minor","Cicatricosisporites..minimus.","Cingulatisporites..echinatus.","Cingulatisporites..triangulatus.","Clavainaperturites.clavatus","Clavatriletes..pillatus.","Clavatriletes.sp.1","Concavisporites..concavis.","Corsinipollenites.oculusnoctis","Crassiectoapertites.colombianus","Deltoidospora.adriennis","Echimonocolpites..echinaverrucatus.","Echimonoletes..pequenus.","Echinaperturites..micelaneous.","Echiperiporites.estelae","Echitricolpites..echinatus.","Echitricolporites.spinosus","Echitriletes..echinasparsas.","Echitriletes..echinusminimus.","Echitriletes..echinuspequenus.","Echitriletes..microechinatus.","Echitriletes..minimus.","Echitriletes.muelleri","Echitriletes..proximalperforate.","Echitriletes..spinosus.","Echitriletes..traingulatus.","Echitriletes..triangularis.","Echitriletes..verrucatosamplus.","Echitriletes.sp.","Ephedripites.sp...RWD.","Fenestrites.sp.","Foveotricolpites..colpuslargus.","Foveotricolporites..porusredondus.","Foveotriletes..fossulatus.","X","Foveotriletes..psilatus.","Foveotriletes.margaritae.","Foveotriletes.ornatus","Gematricolpites..microgemmatus.","Gemmamonocolpites.gemmatus","Gemmatriporites..orbicularis.","heterocolpites.incomptus","Heterocolpites.rotundus","Ilexpollenites.","Inaperturites..intectatus.","Inaperturites..prolatus.","Inaperturites..scabratus.","Inaperturites..tectatus.","Inaperturites..thickexinus.","Jandufouria.seamrogiformis","Kuylisporites.waterbolkii","Laevigatosporites.sp.","Laevigatosporites.sp1","Lycopodiumsporites..sintriletes.","M..franciscoi.var..franciscoi","M.franciscoi.var..minimus","M.annulatus","Magnastriatites.cristatus","Magnastriatites.grandiosus","Margocolporites.vanwijhei","Matonisporites.sp.","Momipites.cf..Africanus","Nijssenosporites.fossulatus","Nothofaginites.sp1","P..Papiliniformis.","P.devriesi","P.pokornyi","Polypodiaceiosporites.pseudopsilatus","Polypodiisporites.speciosus","Perfotricolpites.digitatus","Podocarpidites.sp.","Proxapertites.cursus","Proxapertites.operculatus","Proxapertites.psilatus.","Psilatricolpites..barrigudus.","Psiladiporites.minimus","Psilamonocolpites..elongatus.","Psilamonocolpites.medius","Psilamonocolpites.rinconii","Psilaperiporites..circularis.","Psilaperiporites..cricoformis.","Psilaperiporites..porusduplus.","Psilaperiporites.minimus","Psilastephanocolporites..sapotaceae.","Psilatricolpites..atectatus.","Psilatricolpites.brevis","Psilatricolporites..atectatus.","Psilatricolporites..bolatus.","Psilatricolporites..circularis.","Psilatricolporites.costatus","Psilatricolporites..costatusannulatus.","Psilatricolporites..microreticulatus.","psilatricolporites..mini.","Psilatricolporites..poruselongatus.","Psilatricolporites..poruspequenus.","Psilatricolporites..scabratus.","Psilatricolporites..tectatus.","Psilatricolporites.magniporatus","Psilatrieltes..scabrate.","Psilatriletes..fossulatus.","Psilatriletes..margomedius.","Psilatriletes..puntaogiva.","Psilatriletes..striatus.","Psilatriletes..torus.","Psilatriletes..triangularis.","Psilatriletes...25","Psilatriletes.25.50","Psilatriletes.50","Psilatriletes..comissuareundualting.","Psilatriletes..marguespessus.","Psilatriletes.margomedius.","Psilatriporites.sarmentoi","R..guianensis","R.hispidus.","R.operculatus","R.simplex","Retibrevicolporites..marginatus.","Retimonocolpites.cf..tertiarius","Retimonocolpites.retifossulatus","Retitricolporites..cristatus.","Retitricolpites..polopequeno.","Retitricolporites..bolatus.","Retitricolporites..endoporus.","Retitricolporites..euphorbiaceous.","Retitricolporites.amazoensis","Retitriletes..fossulatus.","Retitriletes..margoespessus.","Retitriletes..reticulusgigantus.","Retitriletes..syncolpate.","Rugulatisporites..verrucosus.","Rugutriletes..crassulado.","Rugutriletes..laevigate.","S.catatumbus","S.spiralis","Scabraperiporites..compactus.","Scabratricolpites..atectusminimus.","Scabratricolporites..colombianus.","Scabratricolporites.planetensis.","Scabratriletes..circularis.","Scabratriletes..giganteus.","Scabratriletes..triletesmarginate.","Stephanoporites..vestibulate.","Stephanoporites.crassiannulatus","Striatopollis..foveolate.","Striatopollis..striato.","Syncolpites...costatuscentrus.","Tetracolporopollenites.maculosus","Tetracolporopollenites.transversalis","Tetradites..echinatus.","Verrucatosporites.usmensis","verrucatosporites..echinatus.","Verrutricolporites..colpuscosnstrictus.","Verrutricolporites..echinatus.","Verrutricolporites.rotundiporus","Verrutriletes..flatted.","Verrutriletes..verrucasdensas.","Verrutriletes..virulensis.","Verrutriletes.sp.","Zonocostites.ramonae","X.1"
"Category","","","P","P","P","P","P","P","P","P","S","S","S","S","S","S","S","S","P","P","P","P","P","P","P","P","P","S","S","S","S","S","S","S","S","S","S","S","P","P","P","P","P","P","P","P","P","P","P","F","F","F","F","F","F","F","F","F","F","D","D","D","D","D","D","D","D","D","D","S","S","S","S","S","S","P","P","P","P","P","P","S","S","S","S","S","P","P","P","P","P","P","P","P","P","P","F","F","F","F","F","F","F","F","F","D","D","D","D","D","D","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","R","R","R","R","R","R","R","R","R","R","R","R","R","R","R","R","R","R","R","R","R","R","R","R","R","R","R","R"
"300","oc","706,7m","","","","","","1","","1","","","","","","","","","","","1","","","","","1","","","","","","","","","3","","","","","","","","","","","","","","","","","","","","","","","","","","3","","","","4","4","","1","","","","","","","","1","","3","","","","","","","","","","","1","","1","","","","","","","","","","","","","","","","","","","","","","","","5","6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","","","","","","","","","",""
"350","oc","706,8m","","","8","4","","3","1","11","2","1","","","","","","","","","2","1","4","","","","","","","1","","21","45","","25","","8","","","","","","","","","","","","","","","","","","","","","","1","","7","","","3","24","8","","8","","","","1","","","","7","","8","","","","1","","","","","2","","1","","2","","","","","","","","","","","","","1","","","","","","","","","","","1","2","1","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","1","1","","","","","","","5","","","","","","","1","","",""
"400","oc","707,0m","1","","1","","","2","1","5","","4","","","","","","","","","","","","","","1","4","","","","","18","4","","2","2","1","","","","","","","","","","1","","","","","","","","","","","","2","","10","2","","2","15","2","","1","","","","","","","","","","5","","","1","1","","","1","","","","3","","","3","","","","","","","","","","","","","","","","","","","","","","","5","","","","","","2","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","1","1","","","","","2","","4","","","","","","","","","",""
"450","oc","707,2m","","1","","","","1","","","","2","","","","","","","","","","","","","","","","","","","1","1","","1","","1","","","1","1","","","","","","1","","1","","","","","","","","1","","","1","","5","","3","1","1","1","","","","","","","","","","1","","","1","","","2","","","","","2","","","","","1","","","","9","","","","1","","","","","","","","","","","","","11","","17","29","","","","","","2","","1","","1","","","1","","","","","","","","","","","","","","2","","","","","","","","","","","","","3","","","2","","","","","","","","","",""
"500","oc","707,3m","","","","","","","","2","","","","1","","","","","","","","","","","","","","","","","","","","","","","","1","1","","","","","","","","","","1","","","","","","","","","","","","2","","","","1","3","","","","","","","","","","","","2","","","","7","","","","","","","","","","","","5","","","","","","","","","","","","3","","","","","","","","","9","21","","","","","","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"550","oc","707,6m","","","","","","","","1","","","","","","","","","","","","","","","","","","1","","","","3","","3","","","","","1","","","","","","1","","","","","","","","","","","","","","","","2","","","1","","","","1","","","","","","","","","","1","","","1","2","","","","","","","","","","","","","2","","","","","","","","","","1","","","","","","","","","","2","12","","","","","","","","","","","","1","","","","","","2","","","","","","3","","1","","","","","","","","","","","","","","","","","","","","","","","1","","","",""
"600","oc","707,7m","","","","","","2","","1","","","","","","","","","1","1","","","","","","","","5","","","","6","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","","","","1","","1","","1","","1","","","2","2","","","","","","","","","","","","","","4","","","1","","","","","","1","","","","","","","","","","5","18","3","","","","","1","","","1","","","2","","","","","","","","","","","","","","1","1","","","","","","","","","","","","","1","1","","","","","","","","","","","",""
"650","oc","707,8m","","1","","","","","2","","","","","1","1","1","1","5","","20","","","1","","","","","5","","","","9","","1","","","","","","","","","","","","","","1","","","","","1","","","","","","3","","1","2","","","2","5","","1","","","1","","1","","1","11","1","10","","","","","","","","","1","","","","","","1","","","","","","","","","","2","","","","","","","","","","","1","9","","2","","","","","5","4","","2","4","","","","","","","","","","","","","","2","","1","","5","","1","","","","","1","","","","","3","2","","3","","","","2","","","","","",""
"700","oc","707,9m","","","","","","","","5","","10","","","","","","1","","","","","","1","","1","","","","","7","40","","2","","","","","","3","","","","","","","","","","","","","","","","","1","","3","1","","19","","4","8","34","2","7","1","1","","","","1","1","17","1","","1","1","","1","1","3","","","4","","","3","","","","","","","","","5","","1","1","","","","8","1","","","","","","","","10","38","","","","","","5","","","","","","","","","","","4","","","","","","","","","","4","","","","","","","","","","","","","6","2","","5","1","","","2","","","","2","2",""
