"","X19.66","X21.72","X26.09","X34","X35.12","X39.22","X41.34","X43.75","X47.44","X49.34","X51.3","X55.38","X57.47","X59.04","X61.4","X70.28","X74.24","X78.97","X81.02","X85.02","X88.9","X91","X93.53","X99.44","X102.44","X104.74","X106.8","X108.69","X111","X112.88","X120.43","X124.42","X128.2","X132.43","X136.37","X141.34","X143.02","X145.16","X149.14","X151.1","X155.06","X157.14","X161.18","X163.18","X167.44","X169.47","X173.44","X175.44","X179.08","X180.97","X183.16","X187.22","X191.04","X193.12","X197.08","X198.87","X203.3","X205.21","X209.44","X213.44","X215.44","X218.44","X220.18","X224.28","X228.09","X232.36","X236.44","X240.22","X244.12","X248.42","X252.66","X258.88","X263.12","X269.2","X271.36","X272.92","X275.07","X279.18","X281.24","X285.69","X287.46","X291.54","X293.46","X295.61","X300.08","X302.17","X304.11","X306.34","X308.43","X312.43","X314.56","X316.68","X318.56","X320.31","X324.42","X326.59","X330.34","X332.3","X334.44","X336.47","X338.65","X340.58","X342.48","X344.89","X347.17","X349.05","X350.93","X353.04","X357.05","X359.44","X361.49","X363.5","X367.44"
"COAL SEAM NUMBER","","","","","","","","","","155","155","","","","","","","","","150","150","","","145","145","","145-3.53m","","","145-9.61m","","","","","","","","","","","","","","","130","130"," ","","","","","","125","125","","","","120","120","","","","","","","","","","","","","115","","","","114+1 m","114","","","","","","","","","","","","110","110","110","110","110","","","","","","105","105","","","","","","","","","","","103","",""
"ENVIRONMENT","2","2","1","1","1","2","2","2","3","2.2","2.2","2","2","2","1","2","2","2","3","2.1","2.1","2","2","2.1","2.1","2","2","2","3","2","2","2","2","2","2","2","2","1","3","2","2","2","2","2","2.3","2.3","2","2","2","2","2","3","2.1","2.1","2","2","2","2.1","2.1","3","3","2","1","2","2","2","2","3","2","2","3","2.1","2","2","3","2.2","2.2","2","2","2","2","3","3","4","5","4","4","2","2.3","2.3","2.3","2.3","2.3","1","2","2","2","2","2.1","2.1","2","2","2","2","2","2","3","3","2","2","2.3","2","3"
"Acritarcha","","","","","","","","","","","","","1","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Apiculatasporites obscurus","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","","","","","","","","","","",""
"Azolla sp.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Baculapollenites sp.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Baculatisporites sp.","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","1","","","","1","","","","2","","","","","","",""
"Baculatisporites sp. 1 (J & D)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Baculotriletes sp.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Bombacacidites ""poloanularis""","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
