"","depth","spA","spB","spC","spD","spE","spF","spG","spH","spI","spJ","spK","spL","spM","spN","spO","spP"
"1",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"2",2,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
"3",4,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
"4",6,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
"5",8,0,1,0,0,0,0,0,0,1,0,0,0,0,1,1,0
"6",10,1,1,0,0,0,0,1,1,1,0,0,0,0,1,1,0
"7",12,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0
"8",14,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
"9",16,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
"10",18,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
"11",20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
