"","depth","spA","spB","spC","spD","spE","spF","spG","spH","spI","spJ","spK","spL","spM","spN","spO","spP"
"1",4,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
"2",5,1,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0
"3",6,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"4",7,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
"5",8,0,1,0,0,0,1,0,0,0,0,0,1,0,1,1,0
"6",9,0,1,0,0,0,1,0,0,0,0,0,1,0,0,1,0
"7",10,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
"8",11,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
"9",12,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,1
"10",13,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1
"11",14,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
