"","X1","X2","Z","Ztrue"
"1",-0.8,-0.4,-0.359218587443249,-0.359463171293777
"2",4.4,4.8,-0.000844263724708418,1.69576881270904e-18
"3",-2,0.4,-0.0304977172675309,-0.0312151158399657
"4",5.2,4.4,0.00019319991192856,3.67061963418755e-20
"5",3.6,2.8,-0.0009386789835898,3.33408967940437e-09
"6",5.6,-1.6,-0.000880139820933432,1.03972670987837e-14
"7",1.2,-1.2,0.0665763107515344,0.0673617154009605
"8",2.8,0.8,0.000981616543492537,0.000581220367609607
"9",1.6,3.6,0.000692335146978967,2.90984344336158e-07
"10",6,-2,0.000824866600310719,2.54901255317495e-17
"11",-1.2,5.6,8.04889019084459e-05,-6.82845166510016e-15
"12",2,-0.8,0.0195654316496753,0.0193153952550756
"13",-1.6,6,0.000310587540114676,-2.86896176550859e-17
"14",4.8,1.2,-0.00119851893531084,1.1212754677601e-10
"15",0.4,2,0.0054329044860476,0.00624302316799314
"16",4,5.2,0.00101312930235185,8.12878225336317e-19
"17",0.8,2.4,0.00245683028430201,0.00132924581853915
"18",3.2,0,0.00106837957419023,0.000114281118853232
"19",0,1.6,0.00110437134919296,0
"20",-0.4,3.2,0.000480751814985375,-1.21729932033614e-05
"21",2.4,4,0.000204052079046354,8.51066146297988e-10
"22",-2,-2,-0.00033108526413139,-0.000670925255805024
"23",-1.6,-2,-0.000801069043481785,-0.00226541713655488
"24",-1.2,-2,-0.00582280469431531,-0.00520737992488668
"25",-0.8,-2,-0.00654940931905162,-0.00772615810203022
"26",-0.4,-2,-0.00662879245929512,-0.00624302316799313
"27",0,-2,-0.000763827037867876,0
"28",0.4,-2,0.00620805084126926,0.00624302316799314
"29",0.8,-2,0.00686623619155737,0.00772615810203022
"30",1.2,-2,0.00692837787903685,0.00520737992488667
"31",1.6,-2,0.0021553300355034,0.00226541713655488
"32",2,-2,0.000545627266295684,0.000670925255805024
"33",2.4,-2,0.000389015780550397,0.000138515093124505
"34",2.8,-2,-0.00042227646492654,2.01888399728759e-05
"35",3.2,-2,0.00123672905105491,2.09313170471632e-06
"36",3.6,-2,-0.000283433335199714,1.55120104159093e-07
"37",4,-2,-0.000139567237318183,8.24461448975423e-09
"38",4.4,-2,0.00020751965630033,3.15016701121272e-10
"39",4.8,-2,0.00135197278967675,8.66799090006338e-12
"40",5.2,-2,-0.000593687194463407,1.71989773817762e-13
"41",5.6,-2,-0.000452956408878873,2.4634011901342e-15
"42",-2,-1.6,-0.000438513417972821,-0.0028317714206936
"43",-1.6,-1.6,-0.0111747952838304,-0.0095616366320095
"44",-1.2,-1.6,-0.0222090339389859,-0.021978766666481
"45",-0.8,-1.6,-0.0323128865888443,-0.032609763182693
"46",-0.4,-1.6,-0.0247743547492421,-0.0263499017705612
"47",0,-1.6,0.00130849341648109,0
"48",0.4,-1.6,0.0250097377905055,0.0263499017705612
"49",0.8,-1.6,0.0319141015474016,0.0326097631826929
"50",1.2,-1.6,0.0218106203148849,0.021978766666481
"51",1.6,-1.6,0.0089225296062653,0.0095616366320095
"52",2,-1.6,0.00313100526056701,0.0028317714206936
"53",2.4,-1.6,0.000321154438078243,0.000584630074141484
"54",2.8,-1.6,0.00154568693603451,8.52109524235297e-05
"55",3.2,-1.6,-0.00143863079408249,8.83447223051902e-06
"56",3.6,-1.6,0.00121713852747206,6.54714774756355e-07
"57",4,-1.6,-0.00150397473331165,3.47980098896548e-08
"58",4.4,-1.6,-0.000319083568482264,1.32958967270661e-09
"59",4.8,-1.6,0.000722490720376729,3.65849529336616e-11
"60",5.2,-1.6,0.00162802138269776,7.25916518918811e-13
"61",6,-1.6,-0.000247603934328034,1.07586066206572e-16
"62",-2,-1.2,-0.00816816172057224,-0.0086789665414778
"63",-1.6,-1.2,-0.0313515543314797,-0.0293050222219747
"64",-1.2,-1.2,-0.0665923729625064,-0.0673617154009605
"65",-0.8,-1.2,-0.101836563791038,-0.099944169758866
"66",-0.4,-1.2,-0.0799955502145845,-0.0807586071978622
"67",0,-1.2,0.00100566129199679,0
"68",0.4,-1.2,0.0817970644607216,0.0807586071978622
"69",0.8,-1.2,0.101754826556151,0.099944169758866
