"","y","Nit","Phos","Pot"
"1",1.98,0,0,0
"2",2.13,0,0,1
"3",2.19,0,0,2
"4",1.97,0,0,3
"5",2.38,0,1,0
"6",2.24,0,1,1
"7",2.1,0,1,2
"8",2.6,0,1,3
"9",2.18,0,2,0
"10",2.56,0,2,1
"11",2.22,0,2,2
"12",2.47,0,2,3
"13",2.22,0,3,0
"14",2.47,0,3,1
"15",2.94,0,3,2
"16",2.48,0,3,3
"17",3.88,1,0,0
"18",3.91,1,0,1
"19",3.66,1,0,2
"20",4.07,1,0,3
"21",4.35,1,1,0
"22",4.59,1,1,1
"23",4.47,1,1,2
"24",4.55,1,1,3
"25",4.14,1,2,0
"26",4.36,1,2,1
"27",4.55,1,2,2
"28",4.35,1,2,3
"29",4.26,1,3,0
"30",4.72,1,3,1
"31",4.83,1,3,2
"32",4.85,1,3,3
"33",4.4,2,0,0
"34",4.91,2,0,1
"35",5.1,2,0,2
"36",5.23,2,0,3
"37",5.01,2,1,0
"38",5.64,2,1,1
"39",5.68,2,1,2
"40",5.6,2,1,3
"41",4.77,2,2,0
"42",5.69,2,2,1
"43",5.8,2,2,2
"44",6.07,2,2,3
"45",5.17,2,3,0
"46",5.45,2,3,1
"47",5.85,2,3,2
"48",6.43,2,3,3
"49",4.43,3,0,0
"50",5.31,3,0,1
"51",5.15,3,0,2
"52",5.87,3,0,3
"53",4.95,3,1,0
"54",6.27,3,1,1
"55",6.49,3,1,2
"56",6.54,3,1,3
"57",5.22,3,2,0
"58",6.27,3,2,1
"59",6.35,3,2,2
"60",6.72,3,2,3
"61",5.66,3,3,0
"62",6.24,3,3,1
"63",7.11,3,3,2
"64",7.32,3,3,3
