"","r","n","s","m"
"1",57,466,14,158
"2",41,291,15,114
"3",91,412,33,163
"4",97,422,36,168
"5",74,528,21,134
"6",62,390,33,169
"7",52,445,21,222
"8",48,396,13,163
"9",69,380,22,134
"10",33,197,16,96
"11",92,324,34,140
"12",75,423,22,162
"13",49,261,15,89
"14",82,348,31,137
"15",49,253,11,82
"16",140,389,37,138
"17",43,182,17,69
"18",32,250,14,97
"19",29,118,11,34
"20",35,116,11,44
"21",67,511,14,125
"22",67,372,21,155
"23",56,441,18,164
"24",24,159,12,69
"25",58,339,14,124
"26",83,408,34,150
"27",84,432,22,164
"28",30,289,11,123
"29",17,218,11,74
"30",29,92,7,29
"31",46,257,12,88
"32",73,410,25,132
"33",12,94,3,26
"34",64,397,19,140
"35",79,329,36,140
"36",68,276,25,96
"37",81,425,28,151
"38",37,127,22,56
"39",24,192,9,61
"40",35,254,6,93
"41",73,377,25,119
"42",19,103,8,53
"43",38,164,8,53
"44",51,583,12,126
"45",36,272,24,103
"46",90,410,45,189
"47",77,345,30,144
"48",49,359,23,126
"49",52,301,19,108
"50",45,324,16,107
"51",42,236,15,96
"52",55,265,15,102
"53",75,475,23,167
"54",14,78,7,29
"55",37,153,12,42
"56",66,337,13,82
"57",80,409,16,109
"58",18,148,4,55
"59",34,174,23,67
"60",63,444,23,153
"61",26,176,11,62
"62",64,370,17,129
"63",71,382,20,112
"64",8,114,5,37
"65",79,423,28,145
"66",67,236,17,70
"67",10,92,3,30
"68",25,229,4,75
"69",73,458,25,143
"70",47,444,15,149
"71",43,350,16,137
"72",49,356,20,170
"73",59,449,25,146
"74",96,415,43,176
"75",36,149,5,48
"76",34,121,8,34
"77",19,83,9,37
"78",67,300,28,121
"79",75,329,36,159
"80",52,368,17,134
"81",10,72,1,24
"82",42,441,7,141
"83",71,434,23,155
"84",32,203,22,88
"85",52,443,22,177
"86",64,415,28,153
"87",8,90,3,27
"88",25,240,10,103
"89",20,122,6,39
"90",68,354,24,125
"91",25,226,4,71
"92",22,86,8,28
"93",16,70,8,29
"94",35,149,17,59
"95",68,504,31,157
"96",67,430,29,134
"97",98,444,33,164
"98",59,404,24,177
"99",67,320,25,130
"100",38,228,17,85
"101",70,430,33,159
"102",66,185,26,70
"103",15,186,5,61
"104",21,226,6,55
"105",35,282,14,94
"106",20,100,5,29
"107",68,273,20,69
"108",63,491,19,153
"109",52,418,14,125
"110",48,321,10,60
"111",36,419,13,149
"112",54,360,6,127
"113",26,146,13,51
"114",46,429,13,151
"115",14,74,2,22
"116",14,78,4,20
"117",32,131,9,43
"118",85,359,21,116
"119",52,211,12,59
"120",59,407,24,161
"121",38,302,3,74
"122",32,371,8,154
"123",19,318,8,158
"124",58,336,27,172
"125",29,298,12,98
"126",20,296,12,115
"127",22,124,9,53
"128",47,199,15,68
"129",55,277,17,104
"130",56,448,15,125
"131",50,210,13,64
"132",81,373,35,149
"133",69,341,27,138
"134",52,225,16,99
"135",100,399,47,173
"136",34,170,11,67
"137",19,124,10,50
"138",43,323,23,144
"139",39,192,11,64
"140",34,236,19,83
"141",14,89,2,27
"142",25,118,9,34
"143",43,308,13,80
"144",28,217,10,67
"145",36,293,8,120
"146",66,333,23,125
"147",21,104,5,22
"148",67,324,25,118
"149",72,404,15,115
"150",36,143,14,54
"151",65,188,14,55
"152",42,296,11,75
"153",14,65,5,26
"154",38,301,18,94
"155",53,432,22,146
"156",36,201,18,81
"157",83,390,18,132
"158",87,420,30,138
"159",72,320,31,107
"160",38,234,18,95
"161",37,256,16,88
"162",35,184,15,77
"163",45,198,15,68
"164",36,286,8,96
"165",50,266,24,76
"166",19,240,11,84
"167",9,70,5,33
"168",31,152,14,59
"169",28,85,4,18
"170",23,152,8,57
"171",35,145,13,46
"172",31,111,16,50
"173",22,269,6,82
"174",76,529,13,165
"175",92,462,29,153
"176",88,408,29,139
"177",23,152,12,64
"178",115,481,34,151
"179",52,219,12,64
"180",48,328,15,114
"181",19,105,16,49
"182",14,99,5,37
"183",73,250,15,85
"184",84,277,29,98
"185",49,269,14,104
"186",55,494,15,122
"187",81,427,30,147
"188",33,400,15,161
"189",86,386,42,151
"190",60,296,27,105
"191",73,380,31,133
"192",45,340,13,121
"193",101,407,40,149
"194",22,191,11,62
"195",70,352,29,127
"196",36,155,11,60
"197",15,66,7,27
"198",32,174,15,66
"199",58,326,26,101
"200",47,259,14,80
"201",24,96,7,33
"202",48,462,16,131
"203",90,393,22,122
"204",51,303,21,119
"205",69,394,22,137
"206",48,282,23,111
"207",58,327,19,124
"208",55,332,24,118
"209",108,364,38,124
"210",30,128,12,38
"211",29,115,8,45
"212",69,337,15,117
"213",67,246,23,76
"214",18,103,6,36
"215",36,206,16,64
"216",38,474,16,157
"217",39,263,9,65
"218",18,114,6,37
"219",24,126,7,47
"220",39,279,11,66
"221",5,89,4,28
"222",73,392,14,137
"223",80,463,21,146
"224",15,96,4,32
"225",61,381,16,112
"226",23,133,9,46
"227",29,98,13,39
"228",105,350,34,108
"229",18,185,12,75
"230",29,570,6,125
"231",52,437,16,136
"232",52,431,25,170
"233",97,401,51,210
"234",58,387,20,142
"235",20,153,16,72
"236",85,408,41,160
"237",25,201,3,50
"238",51,208,18,80
"239",73,262,23,87
"240",70,401,18,112
"241",80,288,28,107
"242",23,433,13,144
"243",50,227,17,75
"244",80,434,19,134
"245",149,426,46,142
"246",23,84,12,35
