"","Nest","Grass","Soil","Angle","Distance"
"1",16,45,39.2,38,3
"2",15,65,47,36,12
"3",10,40,24.3,14,18
"4",7,20,30,16,21
"5",11,40,47.6,6,27
"6",7,80,47.6,9,36
"7",4,80,45.6,7,39
"8",0,15,27.8,8,45
"9",0,0,41.9,8,54
"10",0,20,36.8,5,60
"11",15,40,34.9,31,3
"12",21,60,45.2,37,12
"13",12,95,32.9,24,18
"14",8,50,26.6,11,24
"15",9,80,32.7,10,30
"16",6,80,38.1,5,36
"17",16,60,37.1,35,6
"18",25,60,47.1,35,12
"19",13,85,34,23,18
"20",13,90,43.6,12,21
"21",11,20,30.8,9,27
"22",3,85,34.6,6,33
"23",0,30,37.7,8,42
"24",0,75,45.5,5,48
"25",0,15,51.4,8,54
"26",18,40,32.1,36,6
"27",19,40,35.4,37,9
"28",8,90,30.2,11,18
"29",12,80,33.9,9,24
"30",10,80,40.2,11,30
"31",3,75,33.5,7,36
"32",0,65,40.3,10,42
"33",0,60,31.4,5,39
"34",0,70,32.7,2,48
"35",0,35,38.1,8,51
"36",0,80,40.3,12,45
"37",0,50,43.1,13,51
"38",0,50,42,3,57
