"","State","M.pct","O.pct","EV"
"1","Alabama",58,36,9
"2","Alaska",55,37,3
"3","Arizona",50,46,10
"4","Arkansas",51,44,6
"5","California",33,55,55
"6","Colorado",45,52,9
"7","Connecticut",31,56,7
"8","Delaware",38,56,3
"9","D.C.",13,82,3
"10","Florida",46,50,27
"11","Georgia",52,47,15
"12","Hawaii",32,63,4
"13","Idaho",68,26,4
"14","Illinois",35,59,21
"15","Indiana",48,48,11
"16","Iowa",37,54,7
"17","Kansas",63,31,6
"18","Kentucky",51,42,8
"19","Louisiana",50,43,9
"20","Maine",35,56,4
"21","Maryland",39,54,10
"22","Massachusetts",34,53,12
"23","Michigan",37,53,17
"24","Minnesota",42,53,10
"25","Mississippi",46,33,6
"26","Missouri",48,48,11
"27","Montana",49,46,3
"28","Nebraska",60,34,5
"29","Nevada",43,47,5
"30","New.Hampshire",42,53,4
"31","New.Jersey",34,55,15
"32","New.Mexico",43,51,5
"33","New.York",31,62,31
"34","North.Carolina",49,46,15
"35","North.Dakota",43,45,3
"36","Ohio",47,45,20
"37","Oklahoma",61,34,7
"38","Oregon",34,48,7
"39","Pennsylvania",46,52,21
"40","Rhode.Island",31,45,4
"41","South.Carolina",59,39,8
"42","South.Dakota",48,41,3
"43","Tennessee",55,39,11
"44","Texas",57,38,34
"45","Utah",55,32,5
"46","Vermont",36,57,3
"47","Virginia",44,47,13
"48","Washington",39,51,11
"49","West.Virginia",53,44,5
"50","Wisconsin",42,53,10
"51","Wyoming",58,32,3
