"","species","time","nesting","size","status"
"1","Sparrowhawk",3.03,1,0,1
"2","Buzzard",5.464,2,0,1
"3","Kestrel",4.098,1.21,0,1
"4","Peregrine",1.681,1.125,0,1
"5","Grey_partridge",8.85,5.167,0,1
"6","Quail",1.493,1,0,0
"7","Red-legged_partridge",7.692,2.75,0,1
"8","Pheasant",3.846,5.63,0,1
"9","Water_rail",16.667,3,0,1
"10","Corncrake",4.219,4.67,0,0
"11","Moorhen",8.13,4.056,0,1
"12","Coot",5,1,0,1
"13","Lapwing",7.299,6.96,0,0
"14","Golden_plover",1,1.67,0,0
"15","Ringed_plover",27.027,5.56,0,1
"16","Curlew",3.106,2.83,0,0
"17","Redshank",4,4.375,0,0
"18","Snipe",16.129,4.125,0,0
"19","Stock_dove",3.484,3.67,0,1
"20","Rock_dove",37.037,8.33,0,1
"21","Wood_pigeon",7.299,2.75,0,1
"22","Cuckoo",2.525,1.43,0,0
"23","Short-eared_owl",4.132,2,0,1
"24","Little_owl",2,2.75,0,1
"25","Magpie",10,4.5,0,1
"26","Jackdaw",2.667,7.12,0,1
"27","Carrion_crow",4.587,4.58,0,1
"28","Raven",58.824,2.35,0,1
"29","Skylark",32.258,6.87,1,1
"30","Swallow",2.571,3.83,1,0
"31","House_martin",2.16,5,1,0
"32","Yellow_wagtail",1,1.25,1,0
"33","Pied_wagtail",2.967,2.27,1,1
"34","Meadow_pipit",9.524,5.35,1,1
"35","Wren",11.111,8.7,1,1
"36","Dunnock",7.299,6.1,1,1
"37","Robin",4,3.33,1,1
"38","Stonechat",2.381,3.64,1,1
"39","Wheatear",2.611,4.83,1,0
"40","Blackbird",3.257,4.67,1,1
"41","Song_thrush",1.701,1.7,1,1
"42","Mistle_thrush",1.795,1.33,1,1
"43","Grasshopper_warbler",1.198,1,1,0
"44","Sedge_warbler",3.185,1.9,1,0
"45","Whitethroat",2.273,4.42,1,0
"46","Willow_warbler",1.111,1.25,1,0
"47","Chiffchaff",1,1,1,0
"48","Goldcrest",1,1,1,1
"49","Spotted_flycatcher",1.23,1,1,0
"50","Great_tit",6.061,2.5,1,1
"51","Blue_tit",3.175,1.5,1,1
"52","Yellowhammer",2,2.5,1,1
"53","Reed_bunting",5.076,5.63,1,1
"54","Chaffinch",1.934,2.37,1,1
"55","Goldfinch",1.493,1.5,1,1
"56","Redpoll",1,1,1,1
"57","Linnet",5.102,6.5,1,1
"58","House_sparrow",3.003,4.5,1,1
"59","Tree_sparrow",1.898,2.17,1,1
"60","Starling",41.667,11.62,1,1
"61","Pied_flycatcher",1,1,1,0
"62","Siskin",1,1,1,1
