"","age","male","survival"
"1",23,1,0
"2",40,0,1
"3",40,1,1
"4",30,1,0
"5",28,1,0
"6",40,1,0
"7",45,0,0
"8",62,1,0
"9",65,1,0
"10",45,0,0
"11",25,0,0
"12",28,1,1
"13",28,1,0
"14",23,1,0
"15",22,0,1
"16",23,0,1
"17",28,1,1
"18",15,0,1
"19",47,0,0
"20",57,1,0
"21",20,0,1
"22",18,1,1
"23",25,1,0
"24",60,1,0
"25",25,1,1
"26",20,1,1
"27",32,1,1
"28",32,0,1
"29",24,0,1
"30",30,1,1
"31",15,1,0
"32",50,0,0
"33",21,0,1
"34",25,1,0
"35",46,1,1
"36",32,0,1
"37",30,1,0
"38",25,1,0
"39",25,1,0
"40",25,1,0
"41",30,1,0
"42",35,1,0
"43",23,1,1
"44",24,1,0
"45",25,0,1
